阿非利加洲	África
乙酸	Ácido acético
安達曼海	Mar de Andamán
前二〇四年	204 a. C.
胡適	Hu Shih
莊子	Zhuangzi
清孝欽顯皇后	Cixí
陝西省	Shaanxi
Template:共享類	Plantilla:Commonscat
三八三年	383
德文維基大典	Wikipedia en alemán
拋物線	Parábola (matemática)
尿素	Urea
平假名	Hiragana
波斯文維基大典	Wikipedia en persa
質數	Número primo
五七二年	572
南北朝	Dinastías Meridionales y Septentrionales
劉宋	Dinastía Liu Song
吾世	Minecraft
罷工	Huelga
李舜臣汝諧	Yi Sun Sin
泰國地方	Provincias de Tailandia
中華人民共和國地方	Organización territorial de la República Popular China
日本都道府縣	Anexo:Prefecturas de Japón por superficie y población
氧化物	Óxido
合數	Número compuesto
因數	Divisibilidad
口琴	Armónica
朝鮮灣	Bahía de Corea
Template:Taxobox	Plantilla:Ficha de taxón
繩文時代	Período Jōmon
魔法少女小圓	Puella Magi Madoka Magica
太極	Taiji
平行	Paralelismo (matemática)
周宣王	Rey Xuan de Zhou
百家姓	Cien apellidos de familia
極品飛車	Need for Speed
海鳥	Ave marina
琉球語	Lenguas ryukyuenses
閩語	Chino min
江西省	Jiangxi
阿卜杜拉·本·阿卜杜勒-阿齊茲·沙特	Abdalá bin Abdelaziz
寧夏回族自治區	Ningxia
揚州市	Yangzhou
鎮江市	Zhenjiang
哈薩克文維基大典	Wikipedia en kazajo
嘉興市	Jiaxing
金華市	Jinhua
衢州市	Quzhou
台州市	Taizhou (Zhejiang)
舟山市	Zhoushan
石家莊市	Shijiazhuang
亞當與夏娃	Adán y Eva
卡金納答	Kakinada
珠海	Zhuhai
韶關市	Shaoguan
東莞市	Dongguan
維吾爾文維基大典	Wikipedia en uigur
俄羅斯正教會	Iglesia ortodoxa rusa
鯢	Andrias davidianus
空師	Fuerza aérea
大名	Daimio
色盲檢測圖	Cartas de Ishihara
威氏鷸	Gallinago delicata
哈布斯堡氏	Casa de Habsburgo
中央銀行	Banco central
福州市	Fuzhou
南平市	Nanping
莆田市	Putian
三明市	Sanming
泉州市	Quanzhou
廈門市	Xiamen
漳州市	Zhangzhou
龍岩市	Longyan
寧德市	Ningde
西寧市	Xining
西遊記	Viaje al Oeste
三國演義	Romance de los Tres Reinos
水滸傳	A la orilla del agua
鄂州市	Ezhou
福島縣	Prefectura de Fukushima
豬油	Manteca de cerdo
新竹縣	Condado de Hsinchu
鞍山市	Anshan
羅馬治世	Paz romana
克羅內克	Leopold Kronecker
康托爾	Georg Cantor
戴德金	Julius Wilhelm Richard Dedekind
寒武紀	Cámbrico
十六元數	Sedeniones
神聖羅馬皇帝腓特烈一世	Federico I Barbarroja
前三八七年	387 a. C.
盲文	Braille (lectura)
千葉縣	Prefectura de Chiba
賽珍珠	Pearl S. Buck
聯合國秘書長	Secretaría General de Naciones Unidas
龐加萊	Henri Poincaré
西北水道	Paso del Noroeste
十進制	Sistema de numeración decimal
烯烴	Alqueno
皇祚	Himno Nacional de Japón
氣壓	Presión atmosférica
箸	Palillos
片假名	Katakana
民之旨	Jana-Gana-Mana
臺北一零一	Taipei 101
化學式	Fórmula química
群 (代數)	Grupo (matemática)
天安門	Puerta de Tian'anmen
水星領航員	ARIA (manga)
三角函數	Función trigonométrica
六四事件	Protestas de la Plaza de Tiananmén de 1989
趙紫陽	Zhao Ziyang
胡耀邦	Hu Yaobang
安樂死	Eutanasia
姓氏	Apellido
醛	Aldehído
規	Compás (instrumento)
物質之量	Cantidad de sustancia
平安北道	P'yŏngan del Norte
咸鏡南道	Hamgyŏng del Sur
島國	País insular
華山	Monte Hua
桃園市	Taoyuan
尺規作圖	Regla y compás
京都府	Prefectura de Kioto
絕對值	Valor absoluto
羅賓漢	Robin Hood
表數法	Sistema de numeración
大阪府	Prefectura de Osaka
瑪瑙	Ágata (mineral)
愛媛縣	Prefectura de Ehime
圓錐曲線	Sección cónica
海平面	Nivel del mar
玄武	Genbu
羅馬皇帝表	Anexo:Emperadores romanos
矢量空間	Espacio vectorial
距	Distancia
臺灣海峽	Estrecho de Taiwán
山口縣	Prefectura de Yamaguchi
市盈率	Price-to-earnings ratio
神奈川縣	Prefectura de Kanagawa
中國地方	Región de Chūgoku
長野縣	Prefectura de Nagano
殷商	Dinastía Shang
色諾芬	Jenofonte
兵庫縣	Prefectura de Hyōgo
廣州恆大淘寶蹴鞠會	Guangzhou Evergrande
關係 (數學)	Relación binaria
等價	Relación de equivalencia
主格	Caso nominativo
泰國灣	Golfo de Tailandia
螳螂	Mantodea
維基大典:書海	Wikipedia:Fuentes de libros
征夷大將軍	Shōgun
春節	Año Nuevo chino
切腹	Harakiri
色盲	Daltonismo
阿什莫爾島與卡捷島	Islas Ashmore y Cartier
農曆	Calendario chino
可樂	Bebida de cola
高知縣	Prefectura de Kōchi
道德經	Dào Dé Jing
萬有引力	Ley de gravitación universal
坐標幾何	Geometría analítica
芬瑟島	Isla Fraser
蹴鞠	Cuju
臺南市	Tainan
阮籍	Ruan Ji
與格	Caso dativo
摩爾質量	Masa molar
滿洲族	Manchú
義大利半島	Península itálica
袁枚	Yuan Mei
汽水	Gaseosa
天象館	Planetario
微積分	Cálculo
岳陽市	Yueyang
東寧	Reino de Tungning
李斯	Li Si
雲林縣	Condado de Yunlin
碗	Cuenco
全等	Congruencia (geometría)
維多利亞港	Puerto de Victoria
義勇軍進行曲	Yiyongjun Jinxingqu
數理物理	Física matemática
紅花	Carthamus tinctorius
庖人	Cocinero
大正天皇	Emperador Taishō
毛納洛峰	Mauna Loa
富牌國際機場	Aeropuerto de Phú Bài
修道院	Abadía
符節	Contraseña
環 (代數)	Anillo (matemática)
環球小姐	Miss Universo
香川縣	Prefectura de Kagawa
曲線	Curva
白求恩	Norman Bethune
中日戰爭	Guerra sino-japonesa
平面幾何	Geometría euclidiana
葉問	Ip Man
基數	Número cardinal
二元運算	Operación binaria
餘弦定理	Teorema del coseno
新幹線	Shinkansen
雙曲線	Hipérbola
星際爭霸	StarCraft
反射	Reflexión (física)
近視	Miopía
代數數	Número algebraico
夏后氏	Dinastía Xia
連續	Función continua
教廷諸屬國	Estados Pontificios
濟南市	Jinan
十一月革命	Revolución de Noviembre
中國抗日戰爭	Segunda guerra sino-japonesa
青島市	Qingdao
PSP	PlayStation Portable
葛利斯五八一丙	Gliese 581 c
官能團	Grupo funcional
世氣公會	Organización Meteorológica Mundial
見即所得	WYSIWYG
新西班牙代王領	Virreinato de Nueva España
織田信長	Oda Nobunaga
向日葵	Helianthus annuus
南昌市	Nanchang
中壢區	Zhongli
玫瑰之名	El nombre de la rosa
幾何原本	Elementos de Euclides
米高·哥連斯	Michael Collins (líder irlandés)
金本位	Patrón oro
直積	Producto cartesiano
艾狄胥	Paul Erdős
四元數	Cuaternión
長沙市	Changsha
有機化合物	Compuesto orgánico
明治天皇	Emperador Meiji
源實朝	Minamoto no Sanetomo
蜉蝣	Ephemeroptera
伊藤博文	Itō Hirobumi
絞刑	Ahorcamiento
門:史	Portal:Historia
電極	Electrodo
阿拉伯數字	Números arábigos
股骨	Fémur
子集	Subconjunto
海東青	Falco rusticolus
日文維基大典	Wikipedia en japonés
繁體字	Caracteres chinos tradicionales
甲午戰爭	Primera guerra sino-japonesa
克里希那穆提	Jiddu Krishnamurti
宦官	Eunuco
汀九橋	Puente Ting Kau
選擇公理	Axioma de elección
行星環	Anillo planetario
青藏高原	Meseta tibetana
拓撲空間	Espacio topológico
古文書	Paleografía
數學符表	Anexo:Símbolos matemáticos
錫克金廟	Templo Dorado
卡奔塔利亞灣	Golfo de Carpentaria
度量空間	Espacio métrico
千分比	Por mil
交換群	Grupo abeliano
高雄市	Kaohsiung
華盛頓歐文	Washington Irving
易經	I Ching
弩	Ballesta
渤海	Mar de Bohai
甑帶瘡	Herpes zóster
西楚霸王	Xiang Yu
戰艦	Acorazado
海倫公式	Fórmula de Herón
昆明市	Kunming
天氣預報	Pronóstico del tiempo
人蔘	Panax ginseng
回族	Etnia hui
蘭州市	Lanzhou
期貨	Contrato de futuros
鰂	Sepiida
林則徐	Lin Hse Tsu
三國	Tres Reinos
春秋時代	Primaveras y Otoños
戰國	Reinos Combatientes
名偵探柯南	Detective Conan
區間	Intervalo (matemática)
清宣統帝	Puyi
併集	Unión de conjuntos
簡化字	Caracteres chinos simplificados
合肥市	Heféi
交集	Intersección de conjuntos
常染色體	Autosoma
啓	Qǐ
簡歷	Currículum vítae
蝴蝶效應	Efecto mariposa
豐臣秀吉	Toyotomi Hideyoshi
假名	Kana
民律大全	Corpus iuris civilis
白鱀豚	Lipotes vexillifer
弦	Cuerda (geometría)
平昌郡	Pyeongchang
泰國國際航空	Thai Airways
北九州市	Kitakyūshū (Fukuoka)
匈奴	Xiongnu
孟子	Mencio
桂林市	Guilin
海口市	Haikou
無機化合物	Compuesto inorgánico
域 (代數)	Cuerpo (matemáticas)
海拔	Altitud
挪威廣播公司	Norsk Rikskringkasting
中原	Llanura Central (China)
道	Tao
世界語維基大典	Wikipedia en esperanto
刺身	Sashimi
中泰國	Tailandia Central
高錳酸鉀	Permanganato de potasio
鴉片戰爭	Primera Guerra del Opio
魔鬼之詩篇	Los versos satánicos
有序對	Par ordenado
金屬鍵	Enlace metálico
書面挪威語維基大典	Wikipedia en noruego
序數	Número ordinal (teoría de conjuntos)
南京大屠殺	Masacre de Nankín
吳廷琰	Ngô Đình Diệm
複式記帳	Partida doble
麵	Fideo
化學符號	Anexo:Elementos químicos por símbolo
路易斯安那購地案	Compra de la Luisiana
扇	Abanico
平安時代	Período Heian
旦	Orto
韓信點兵	Teorema chino del resto
梅涅勞斯定理	Teorema de Menelao
無窮小	Infinitesimal
屏東縣	Condado de Pingtung
單鏡筒反光相機	Cámara réflex
雙城子	Ussuriisk
張飛	Zhang Fei
張衡	Zhang Heng
張遼	Zhang Liao
張騫	Zhang Qian
張三丰	Zhang Sanfeng
張載	Chang Tsai
張仲景	Zhang Zhong Jing
趙	Estado Zhao
鄭成功	Koxinga
鄭玄	Cheng Hsuan
鎮海區	Distrito de Zhenhai
周敦頤	Zhou Dunyi
周公亶父	Rey Tai de Zhou
周瑜	Zhou Yu
周作人	Zhou Zuoren
諸葛亮	Zhuge Liang
慶良間群島	Islas Kerama
壯學	Estudios zhuang
烏克蘭語維基大典	Wikipedia en ucraniano
阿拉伯文維基大典	Wikipedia en árabe
金孟加拉	Himno nacional de Bangladés
希伯來文維基大典	Wikipedia en hebreo
洞里薩湖	Tonlé Sap
賈姆謝德布爾	Jamshedpur
越南文維基大典	Wikipedia en vietnamita
負數	Número negativo
中醫	Medicina china tradicional
高松市	Takamatsu
中華人民共和國憲法	Constitución de la República Popular China
提格兰二世	Tigranes II el Grande
珠江	Río de las Perlas
泰西格致史	Historia de la ciencia
五帝	Tres augustos y cinco emperadores
瑪格麗特一世	Margarita I de Dinamarca
日本國會	Dieta de Japón
先哥倫布	América precolombina
英聯邦王國	Monarquía en la Mancomunidad de Naciones
彼得一世島	Isla Pedro I
墓碑	Lápida
十二銅表法	Ley de las XII Tablas
漢魏武王	Cao Cao
斬首	Decapitación
垂直	Perpendicularidad
無窮集合	Conjunto infinito
冪集	Conjunto potencia
魚鉤	Anzuelo
齊齊哈爾市	Qiqihar
椰蟹	Birgus latro
俄文維基大典	Wikipedia en ruso
平行公理	Quinto postulado de Euclides
春武里府	Provincia de Chon Buri
西線無戰事	Sin novedad en el frente (novela)
嘧啶	Pirimidina
泰王國歌	Phleng Chat
冬至	Solsticio de invierno
中國中央電視臺	Televisión Central de China
圖蘭朵	Turandot
巴列維王朝	Dinastía Pahlaví
天皇	Emperador de Japón
熱帶雨林氣候	Clima ecuatorial
袁世凱	Yuan Shikai
北海市	Beihai
袋鼠島	Isla Canguro
君士坦丁堡普世宗主教區	Iglesia ortodoxa de Constantinopla
辛普生沙漠	Desierto de Simpson
雷曼兄弟公司	Lehman Brothers
娜塔莎·北鼎斐	Natasha Bedingfield
開集	Conjunto abierto
測地線	Geodésica
塞瓦定理	Teorema de Ceva
健陀羅	Gandhara
愛爾蘭共和國總統	Anexo:Presidente de Irlanda
內積空間	Espacio prehilbertiano
金奎植	Kim Kyu-Sik
江戶	Edo
金九	Kim Koo
泰山	Monte Tai
荀況	Xun Zi
九江市	Jiujiang
反氫	Antihidrógeno
占婆	Champa
倒數	Inverso multiplicativo
黃道兇賊	Asesino del Zodiaco
陰陽五行	Wu Xing
盧溝橋事變	Incidente del Puente de Marco Polo
關羽	Guan Yu
龜	Testudines
阮福晪	Bảo Đại
元 (釋義)	Yuan
空集	Conjunto vacío
祖沖之	Zu Chongzhi
羅馬 (釋義)	Roma (desambiguación)
左氏春秋	Zuo Zhuan
連通	Grafo conexo
瀨戶內海	Mar Interior de Seto
自由民主黨	Partido Liberal Democrático (Japón)
環	Loop
利瑪竇	Matteo Ricci
原富	La riqueza de las naciones
技術分析	Análisis técnico
哆啦A夢	Doraemon
宋卡府	Provincia de Songkhla
甲米府	Provincia de Krabi
拉廊府	Provincia de Ranong
伏羲	Fuxi
宜蘭縣	Condado de Yilan (Taiwán)
法家	Legalismo (filosofía china)
九龍	Kowloon
瑪麗·安·尼科爾斯	Mary Ann Nichols
素叻府	Provincia de Surat Thani
成本	Coste
桐艾府	Provincia de Trat
五代	Cinco Dinastías
瑪麗·簡·凱利	Mary Jane Kelly
森理世	Riyo Mori
補集	Complemento de un conjunto
靖國神社	Santuario Yasukuni
博他侖府	Provincia de Phatthalung
鹽田	Salina
班武里府	Provincia de Prachuap Khiri Khan
洛坤府	Provincia de Nakhon Si Thammarat
春蓬府	Provincia de Chumphon
新北市	Nuevo Taipéi
臺中市	Taichung
漢昭烈皇帝	Liu Bei
干支	Ciclo sexagenario
三國志	Registros de los Tres Reinos
金門縣	Kinmen
嘉義市	Chiayi
基隆市	Keelung
副省級市	Ciudad-subprovincia de la República Popular China
從眾	Argumento ad populum
牢不可破之聯盟	Himno nacional de la Unión Soviética
相似	Semejanza (geometría)
大韓高宗	Emperador Gojong
摩托羅拉	Motorola
賢哲賽義巴巴	Sai Baba de Shirdi
雪景球	Bola de nieve (juguete)
淨土宗	Tierra Pura
伊麗莎白·史泰德	Elizabeth Stride
安妮·查普曼	Annie Chapman
聖德太子	Príncipe Shōtoku
沈括	Shen Kuo
貴金屬	Metal precioso
懿德天皇	Emperador Itoku
史記	Memorias históricas
早稻田大學	Universidad de Waseda
孫吳	Wu (reino)
論語	Analectas de Confucio
泰華農民銀行	Banco Kasikorn
尚眞王	Shō Shin
平清盛	Taira no Kiyomori
創意公用授權條款	Licencias Creative Commons
澳洲聯邦銀行	Commonwealth Bank of Australia
拉臘·杜塔	Lara Dutta
小野田寬郎	Hirō Onoda
清太宗	Hung Taiji
楊貴妃	Yang Guifei
蔡琰	Cai Wenji
推古天皇	Emperatriz Suiko
漢孝成班婕妤	Consorte Ban
清德宗	Emperador Guangxu
鎖國	Aislacionismo
戈登	Charles George Gordon
清世祖	Emperador Shunzhi
清太祖	Nurhaci
進數	Número p-ádico
卡拉卡拉敕令	Edicto de Caracalla
明智光秀	Akechi Mitsuhide
綏靖天皇	Emperador Suizei
阮攸	Nguyễn Du
白居易	Bai Juyi
吳大帝	Sun Quan (emperador Da de Wu)
屈原	Qu Yuan
魏世祖文皇帝	Cao Pi
神農	Shennong
小淵惠三	Keizō Obuchi
帝舜	Emperador Shun
安寧天皇	Emperador Annei
發勃耳	Jean Henri Fabre
張國榮	Leslie Cheung
蔣經國	Chiang Ching-kuo
王維	Wang Wei
後醍醐天皇	Emperador Go-Daigo
陶潛	Tao Yuanming
桓武天皇	Emperador Kanmu
林彪	Lin Biao
清世宗	Emperador Yongzheng
呂布	Lü Bu
鴨脷洲	Ap Lei Chau
清穆宗	Emperador Tongzhi
韓愈	Han Yu
王安石	Wang Anshi
德川吉宗	Tokugawa Yoshimune
米芾	Mi-Fei
拓撲閉包	Clausura topológica
閉集	Conjunto cerrado
閉開集	Conjunto clopen
曹魏	Wei (reino)
作格	Caso ergativo
尖竹汶府	Provincia de Chanthaburi
陳省身	Shiing-Shen Chern
第十五屆亞洲運動會	Juegos Asiáticos de 2006
基斯孔哈拉斯	Kiskunhalas
覆蓋	Recubrimiento (matemática)
竭澤而漁	Sobrepesca
通格	Caso absolutivo
清仁宗	Emperador Jiaqing
正親町天皇	Emperador Ōgimachi
董卓	Dong Zhuo
林語堂	Lin Yutang
孫臏	Sun Bin
杜牧	Du Mu
孫堅	Sun Jian
石田三成	Ishida Mitsunari
大韓純宗	Emperador Sunjong de Corea
婆羅多舞	Bharatanatyam
歐陽脩	Ouyang Xiu
清宣宗	Emperador Daoguang
清文宗	Emperador Xianfeng
北柳府	Provincia de Chachoengsao
羅勇府	Provincia de Rayong
袁紹	Yuan Shao
柳宗元	Liu Zongyuan
司馬懿	Sima Yi
福澤諭吉	Fukuzawa Yukichi
安慶市	Anqing
安祿山	An Lushan
六安市	Lu'an
呂不韋	Lü Buwei
武丁	Wu Ding
陳獨秀	Chen Duxiu
蒂邁歐篇	Timeo (diálogo)
魏 (釋義)	Wei
崇明島	Chongming
藤原定家	Fujiwara no Teika
坂本龍馬	Sakamoto Ryōma
王守仁	Wang Yangming
朝鮮太祖	Taejo de Joseon
陸遜	Lu Xun (Tres Reinos)
李鴻章	Li Hongzhang
南唐後主	Li Yu
顧愷之	Gu Kaizhi
中秋	Fiesta del Medio Otoño
李珥	Yi I
光中帝	Nguyễn Huệ
尹鑴	Yun Hyu
墓	Tumba
沙繳府	Provincia de Sa Kaeo
緊集	Espacio compacto
依善	Tailandia del Nordeste
高順	Gao Shun
成都雙流國際機場	Aeropuerto Internacional de Chengdú-Shuangliu
發翔羽	Pluma de vuelo
赤腹蠑螈	Cynops pyrrhogaster
南陽市	Nanyang
秋葉原	Akihabara
徐光啟	Xu Guangqi
虹吸	Sifón
南充市	Nanchong
北條時宗	Hōjō Tokimune
藤原道長	Fujiwara no Michinaga
戚繼光	Qi Jiguang
董仲舒	Dong Zhongshu
托勒密定理	Teorema de Ptolomeo
丸龜市	Marugame
鄧麗君	Teresa Teng
李清照	Li Qingzhao
明成皇后	Myeonseong de Joseon
殷墟	Yin Xu
夏帝履癸	Jié
詩經	Clásico de poesía
秋瑾	Qiu Jin
自斷	Autotomía
足利義量	Ashikaga Yoshikazu
戈公省	Provincia de Koh Kong
效用	Utilidad (economía)
大月氏	Yuezhi
吳三桂	Wu Sangui
甘寧	Gan Ning
元稹	Yuan Zhen
嵇康	Xi Kang
陳納德	Claire Chennault
太史慈	Taishi Ci
山口二矢	Otoya Yamaguchi
商帝辛	Di Xin
商湯	Shāng Tāng
噌汁	Sopa de miso
偏序	Conjunto parcialmente ordenado
康托爾定理	Teorema de Cantor
長島區	Ko Yao
新山一國際機場	Aeropuerto Internacional de Tan Son Nhat
晁衡	Abe no Nakamaro
安重根	An Jung-geun
朝鮮半島	Península de Corea
電車	Unidad eléctrica múltiple
和服	Kimono
遜尼派	Sunismo
朝鮮宣祖	Seonjo de Joseon
白翎島	Baengnyeong
汝矣島純福音教會	Iglesia del Evangelio Pleno de Yoido
哥德巴赫猜想	Conjetura de Goldbach
韓國銀行	Banco de Corea
三國遺事	Samguk Yusa
坤輿萬國全圖	Kunyu Wanguo Quantu
三國史記	Samguk Sagi
國家情報院	Servicio de Inteligencia Nacional de Corea del Sur
鬱陵郡	Condado de Ulleung
朝鮮漢字	Hanja
李埈鎔	Yi Jun-yong
李滉	Yi Hwang
國會議員	Parlamentario
摩爾體積	Volumen molar
傲遊瀏覽器	Maxthon
竹島 (鬱陵郡)	Jukdo
復旦大學	Universidad Fudan
可居島	Gageodo
馬羅島	Marado (isla)
牛島	Isla Udo
世宗文化會館	Centro de Sejong
萌	Moe
琉璃明王	Yuri de Koguryo
廣開土王	Gwanggaeto el Grande de Goguryeo
韓國放送公社	Korean Broadcasting System
涼宮春日系列	Suzumiya Haruhi no Yūutsu
直轄市	Municipio bajo jurisdicción central
莎阿南	Shah Alam
玉山	Yu Shan
大嶼山	Isla Lantau
楚	Chu
梅爾維爾島	Isla Melville (Australia)
北太平洋露脊鯨	Eubalaena japonica
海北藏族自治州	Prefectura autónoma tibetana de Haibei
蒼龍	Seiryū
中庸	Doctrina de la medianía
中國禮儀之爭	Disputa de los Ritos
鳳凰	Fenghuang
中正紀念堂	Salón Conmemorativo de Chiang Kai-shek
吳清源	Go Seigen
塔如濤群島	Tarutao
真言宗	Budismo Shingon
初音未來	Miku Hatsune
餛飩	Wantán
教會羅馬字	Peh-oe-ji
超濾法	Ultrafiltración
司馬相如	Sima Xiangru
吉田松陰	Yoshida Shōin
錢鍾書	Qian Zhongshu
嚴復	Yan Fu
帕覺柯	José Emilio Pacheco
泰文維基大典	Wikipedia en tailandés
猫眼林克	Link (The Legend of Zelda)
蘇通長江大橋	Puente Sutong
尼奧寵物	Neopets
包頭市	Baotou
板橋區	Panch'iao
壬辰倭亂	Invasiones japonesas de Corea (1592-1598)
魏鄧哀王	Cao Chong
小行星三千	(3000) Leonardo
軍曹	Keroro Gunsō
梁羽生	Liang Yu Sheng
原口證	Akira Haraguchi
新界	Nuevos Territorios
武漢天河國際機場	Aeropuerto Internacional de Wuhan-Tianhe
八桂學派	Escuela de Bagui
午餐肉	Spam (alimento)
呂底亞	Lidia
自焚	Quemarse a lo bonzo
廬山	Monte Lu
老撾之歌	Pheng Xat Lao
謝靈運	Xie Lingyun
夏禹	Yu el Grande
藤原氏	Clan Fujiwara
漢 (釋義)	Han
衡山	Monte Heng (Hunan)
杭思朗	Armstrong
香港語言學學會粵語拼音方案	Jyutping
刀	Dao (sable)
水龍頭	Llave de paso
子拓撲	Topología traza
廣州地鐵	Metro de Cantón
車裂	Desmembramiento
嘉定區	Jiading
金山區	Jinshan
性染色體	Alosoma
算術基本定理	Teorema fundamental de la aritmética
存活期	Tiempo de vida (informática)
稠密	Conjunto denso
崑曲	Kunqu
流亡政府	Gobierno en el exilio
古魯特島	Groote Eylandt
中文數字	Numeración china
天主教輔仁大學	Universidad Católica Fu Jen
武器貿易條約	Tratado de comercio de armas
Habanera	El amor es un pájaro rebelde
內田蝲蛄	Pacifastacus leniusculus
龜船	Barco Tortuga
永樂大典	Enciclopedia Yǒnglè
諡	Nombre póstumo
大東諸島	Islas Daitō
中央廣播電臺	Radio Taiwán Internacional
周文王	Rey Wen de Zhou
恆春丙戌地震	Terremoto de Hengchun de 2006
李時珍	Li Shizhen
東沙	Islas Pratas
張勳	Zhang Xun (República de China)
朝鮮八道	Ocho antiguas provincias de Corea
杭州灣	Bahía de Hangzhou
和珅	Heshen
韓服	Hanbok
施琅	Shi Lang
唐景崧	Tang Jingsong
朝香鳩彥	Príncipe Asaka
臭豆腐	Tofu maloliente
泉蓋蘇文	Yeon Gaesomun
王昌齡	Wang Changlin
段祺瑞	Duan Qirui
中國醫藥大學	Universidad China Droga
臺灣高速鐵路	Tren de Alta Velocidad de Taiwán
臺灣問題	Estatus político de la República de China
威化島	Isla Wihwa
富春山居圖	Morada en las montañas Fuchun
賈似道	Jia Sidao
三省六部	Tres departamentos y seis ministerios
黃金坪島	Isla Hwanggumpyong
國立中興大學	Universidad Nacional Chung Hsing
大腸包小腸	Salchicha pequeña en salchicha grande
黃庭堅	Huang Tingjian
彭佳嶼	Islote Pengjia
金農	Jin Nong
黃家駒	Wong Ka Kui
世界新七大奇蹟	Nuevas siete maravillas del mundo moderno
鑒真	Jianzhen
清明上河圖	El festival Qingming junto al río
臺北捷運	Metro de Taipéi
延邊州	Prefectura autónoma coreana de Yanbian
袁崇煥	Yuan Chonghuan
林紓	Lin Shu
日月潭	Lago de Sol y Luna
桃花島	Isla Taohua
貢丸	Bola de cerdo
龜山島	Isla Gueishan
攀牙灣	Bahía de Phang Nga
南漢高祖	Liu Yan
張世傑	Zhang Shijie
色戒	Lust, Caution
日本雅樂	Gagaku
墨家	Moísmo
拓撲量子場論	Teoría topológica cuántica de campo
印地文維基大典	Wikipedia en hindi
琴	Guqin
範空間	Espacio vectorial normado
有界	Acotado
乃蠻	Naimano
帝乙	Di Yi
盤庚	Pan Geng
平知盛	Taira no Tomomori
士燮	Shi Xie
魯	Estado de Lu
倫敦東隅	East End de Londres
申 (地支)	Signo del mono
歐羅巴	Europa (desambiguación)
性	Naturaleza humana
八元數	Octonión
結合代數	Álgebra asociativa
春秋	Anales de primavera y otoño
地級市	Ciudad-prefectura de la República Popular China
泰北	Tailandia del Norte
黃巾之亂	Rebelión de los Turbantes Amarillos
迴文數	Capicúa
水墨畫	Sumi-e
銀魂	Gintama
沖繩縣	Prefectura de Okinawa
香港城市大學	Universidad de la ciudad de Hong Kong
三國志人物列表	Anexo:Personajes de los Tres Reinos
百度大典	Baidu Baike
平衡球	Ballance
盤谷銀行	Banco de Bangkok
基 (拓撲)	Base (topología)
本草綱目	Bencao Gangmu
二虎歌	Frère Jacques
南越	Nanyue
赤壁之戰	Batalla de los Acantilados Rojos
超複數	Número hipercomplejo
奧海鎮	Ojai
天下通言	Lengua auxiliar
博者之謬	Falacia del apostador
古雅典	Antigua Atenas
漢傳佛教	Budismo chino
渭水	Río Wei
阿巴諾湖	Lago Albano
康熙字典	Diccionario de Kangxi
證明論	Teoría de la demostración
石	Koku
族 (數學)	Familia de conjuntos
李賀	Li He
仡佬族	Gelao
光圈	Número f (óptica)
禮記	Libro de los Ritos
內點	Interior (topología)
州際三十五號公路大橋	Puente I-35W del río Misisipi
萬葉假名	Man'yōgana
會計等式	Ecuación de contabilidad
姣童	Bishōnen
元朗區	Yuen Long
尚書	Clásico de historia
雲隙光	Rayos crepusculares
康威數	Número surreal
常用漢字	Jōyō kanji
天命	Mandato del Cielo
周界	Frontera (topología)
漢水	Río Han (Hanshui)
高昌	Ruinas de Gaochang
窮奇	Kamaitachi
文丁	Wen Ding
太甲	Tai Jia
武乙	Wu Yi de Shang
中華民國總統	Anexo:Presidente de la República de China
陸奧國	Provincia de Mutsu
東方計劃	Touhou Project
分液漏斗	Embudo de decantación
晉國	Estado Jin
魏	Estado Wei
單連通	Conjunto simplemente conexo
吳	Estado Wu
藁人之謬	Falacia del hombre de paja
京津城際鐵路	Línea de Alta Velocidad Pekín-Tianjín
地球之年歲	Edad de la Tierra
弗林德斯島 (塔斯曼尼亞)	Isla Flinders
坂上田村麻呂	Sakanoue no Tamuramaro
蘇洵	Su Xun
泰京銀行	Banco Krung Thai
數學科目分類	Mathematics Subject Classification
陸上風帆	Vehículo de vela
雷恩島	Isla Raine
兼六園	Kenroku-en
代數 (代數)	Álgebra sobre un cuerpo
羅勇市	Rayong
儋州市	Danzhou
汶川縣	Wenchuan
馬達納帕利	Madanapalle
越秀	Yuexiu
大都	Janbalic
倉頡	Cangjie
卡羅萊納箱龜	Terrapene carolina
凌遲	Muerte por mil cortes
周公季	Rey Ji de Zhou
美洲殖民	Colonización de los Estados Unidos
日本新字體	Shinjitai
朱鳥	Suzaku
周武王	Rey Wu de Zhou
元維基	Wikimedia Meta-Wiki
泉鏡花	Kyōka Izumi
去衣馳騁	Streaking
燭線	Gráfico de velas
陳	Estado de Chen
加藤清正	Katō Kiyomasa
泰南	Tailandia del Sur
南梁	Dinastía Liang
大學	Gran Saber
陸游	Lu You
閣帕岸島	Ko Pha Ngan
積拓撲	Topología producto
縣級市	Ciudad-condado de la República Popular China
夢蓮湖	Lago Moraine
說文解字	Shuowen Jiezi
白虎	Byakko
祁連山	Montañas Qilian
南華經	Libro de Zhuangzi
西班牙小姐	Miss España
中國共產黨中央政治局	Buró Político del Comité Central del Partido Comunista de China
厓山海戰	Batalla de Yamen
武漢大學	Universidad de Wuhan
亞米利加蝲蛄	Procambarus clarkii
源義仲	Minamoto no Yoshinaka
訓讀	Kun'yomi
中華人民共和國元帥	Yuan Shuai
日本舊字體	Kyūjitai
