ཨ་ཧྥེ་རི་ཁ།	África
ཨམ་མན།	Amán
ཡོན་དྷི།	Yaundé
མ་ལ་བོ།	Malabo
པེ་རུ་ཐེ།	Beirut
ལིབ་རེ་ཝིལ།	Libreville
མི་སི་ཁ་ཁྲི།	Mascate
བང་གུའི།	Bangui
ཀིན་ཤ་ས།	Kinsasa
བ་ར་ཛ་བི་ལི།	Brazzaville
བུ་ཇུམ་བུ་ར།	Buyumbura
ནེ་ཁོ་ཤི་ཡ།	Nicosia
ཀི་ག་ལི།	Kigali
དྷོ་ཧ།	Doha
ནའི་རོ་བི།	Nairobi
ལི་ལོང་ཀུའེ།	Lilongüe
ལུ་ས་ཀ།	Lusaka
མ་ན་མ།	Manama
མ་པུ་ཊོ།	Maputo
ཀམ་པ་ལ།	Kampala
ལའུན་ཌ།	Luanda
མོ་རོ་ནི། (ཁོ་མོ་རོ་སུ།)	Moroni (Comoras)
མ་པ་པན།	Mbabane
མ་སི་རུ།	Maseru
སློབ་གྲྭ།	Escuela
ཨེན་ཊ་ན་ན་རི་བོ།	Antananarivo
སློབ་གྲྭ་ཆེན་མོ།	Universidad
ག་བོ་རོ་ནི།	Gaborone
ཧ་ར་རི།	Harare
ཕི་རི་ཐོ་རི་ཡ།	Pretoria
ལོ་ཡི་སི་གྲུ་ཁ།	Port Louis
ཕིན་ཕང་སྤོ་ལོ།	Tenis de mesa
སའོ་ཊོ་མེ།	Santo Tomé (capital)
ཝིན་ཌི་ཧོཡིཀ།	Windhoek
Wikipedia:Sandbox	Wikipedia:Zona de pruebas
ཝིག་ཐོ་རི་ཡ། (སེ་ཞེལ།)	Victoria (Seychelles)
ནང་།	Casa
ཉི་ཕུའུ་ཏུན།	Neptuno (mitología)
གྲོང་རྡལ།	Villa (población)
ཆུ་རྒྱུན།	Río
གཟི་རྩ་སྡེ་དགུ་	Jiuzhaigou
གི་ཉོལ།	Títeres de cachiporra
ཝུའུ་ལིན་ཡོན།	Wulingyuan
ལུ་ཛེར་ན།	Lucerna (ciudad)
Category:ཉི་ཧུང་གི་ལོ་རྒྱུས།	Categoría:Historia de Japón
ཨེ་མི་ལིས་ཏིས་ཁེན་སིན།	Emily Dickinson
ཁུང་ཙི།	Confucio
Category:རྩིས་རིག	Categoría:Matemáticas
Category:རྒྱ་གར་གི་ལོ་རྒྱུས།	Categoría:Historia de la India
ཀྲུའུ་པི་ཐེ།	Júpiter (mitología)
ཏི་ཀྲུང་ཧའེ་རྒྱ་མཚོ།	Mar Mediterráneo
ཧང་ཀྲོའུ།	Hangzhou
ཡེ་ཤུའི་ཆོས་ལུགས།	Cristianismo
པེར་ལིན་ལྕགས་རི།	Muro de Berlín
གླང་ཆེན་ཁ་བབས།	Ganges
འབྲས།	Arroz
བྷལ་ཏྲི་མོར།	Baltimore
བྱ།	Aves
པོ་ཅུ་གྷལ་གྱི་སྐད།	Idioma portugués
ཟླ།	Mes
ཉི་ཧོང་སྐད།	Idioma japonés
གཙོ་ངོས།	Wikipedia:Portada
Cpu	Unidad central de procesamiento
དེ་སྦེལ།	Decibelio
འབྲི་ཆུ	Yangtsé
སེ་པོ་རི་ཡ།	Siberia
ཧྥུ་རོན་སི་སི་ཀོ་ཀོའོ་ཡ།	Francisco de Goya
ཧི་མ་ལ་ཡ	Himalaya
མཚོ་མོ་ཝེ་ཁེ་ཐོ་རི་ཡ།	Lago Victoria
པེ་གལ་མཚེའུ།	Lago Baikal
སལ་ཝ་ཌོར་དཱ་ལི།	Salvador Dalí
ཝི་ཏོ་རེ་ཁར་པ་ཅིའོ།	Vittore Carpaccio
ཝིན་སན་ཝན་ཀའོ།	Vincent van Gogh
ཧོ་ཀུ་སའི།	Katsushika Hokusai
ཧྥ་རིས་ད་ཀ་ལོ།	Frida Kahlo
མེ་ཀེ་ལན་ཇུ་ལོ།	Miguel Ángel
པ་བུ་ལོ་པི་ཀ་སོ།	Pablo Picasso
ཨན་ཏོ་ནེལ་ལོ་ད་མེ་སི་ན།	Antonello da Messina
ར་ཧྥ་ཨེལ་ལོ་སན་ཛིའོ།	Rafael Sanzio
ཧྥ་ར་ཨན་ཇེ་ལི་ཁོ།	Fra Angelico
སན་ཌོ་པའོ་ཊི་ཅེ་ལི།	Sandro Botticelli
མ་ཏི་སུའོ་བ་ཤོ།	Matsuo Bashō
པི་ཨེར་ཇོ་སེ་ཧྥེ་པུ་རུ་དོང་།	Pierre-Joseph Proudhon
མ་ཁ།	La Meca
མྰ་སྰ་ཅིའོ།	Masaccio
མའོ་ཙེ་ཏུང་།	Mao Zedong
ཤེ་ཨན།	Xi'an
པེ་རུ་ཇི་ནོ།	Pietro Perugino
ཇང་ལུག་མེ་ལང་ཅོང་།	Jean-Luc Mélenchon
ཁ་པུལ།	Kabul
ལྷ་ས།	Lhasa
ཆགས་སྦྱོར་བྱེད་པ།	Relación sexual
ཆགས་པ་མཐོ་རུ་འཕེལ་བ།	Orgasmo
མཚན་ཉིད་རིག་པ།	Filosofía
Category:Candidates for speedy deletion	Categoría:Wikipedia:Borrar (definitivo)
རྣོ་སྦྲེང་།	Piano
ཇ།	Té
མཱར་ཁོ་ཕོ་ལོ།	Marco Polo
གཞུང་མེད་ལམ་སྲོལ།	Anarquismo
ཧྥ་ཤི་སིའི་རིང་ལུགས།	Fascismo
མི་རིགས་རིང་ལུགས།	Nacionalismo
ནུབ་ས་ཧ་ར།	Sahara Occidental
ཅ་ཐའེ་ཅི།	Cartago
ཨ་ཝི་ཉོང་།	Aviñón
Category:གཟའ་སྐར་རིག་པ།	Categoría:Astronomía
ཏ་ཏ་ནེར་མཚོ་འགག	Dardanelos
གདང་ཡ་ཙེ།	Pato Donald
ས་ཧ་ར་བྱེ་ཐང་ཆེན་པོ།	Desierto del Sahara
སི་ཐི་རཱ་སི་བུར།	Estrasburgo
རྒྱུད་དྲུག	Guitarra
མཚན་མཐུན་དགའ་རོགས་སྒྲིག་པ།	Homosexualidad
ཧོ་མུར།	Homero
དི་ཇཱོན།	Dijon
ལུ་ག་ནོ།	Lugano
སངས་རྒྱས། (ཐ་སྙད།)	Buda (concepto)
ལྷ་མེད་སྨྲ་བ་པོ།	Ateísmo
ལི་པའེ།	Li Bai
དཔེ་མཛོད་ཁང་།	Biblioteca
ཁོ་སི་མོ་ཏུ་ར།	Cosimo Tura
ཆབ་སྲིད་ཀྱི།	Política
ཆིན་རྒྱལ་རབས།	Dinastía Qin
ཆིན་ཧྲི་ཧོང་།	Qin Shi Huang
ཨོ་བི་རྡི།	Ovidio
ཧན་རྒྱལ་རབས།	Dinastía Han
ལིའུ་པང་།	Liu Bang
ཧན་ཝུའུ་ཏི།	Emperador Wu
ཐོར་སི་ཐའེ།	León Tolstói
མར་ཁེ་སེ་རིང་ལུགས།	Marxismo
ཧན་གྱི་བརྒྱད་པ་གླེའུ་གོང་བུ་	Liu Xiu
རྒྱལ་སྲིད།	Monarquía
འཁྲབ་སྒྲགས།	Propaganda
བྱ་སྒྲོ་སྤོ་ལོ།	Bádminton
རི་བོ་ཆི་ལི་མ་ཀྲ་ལུའོ།	Kilimanjaro
ཁ་སྐྱེལ་པ།	Beso
ཡོན་རྒྱལ་རབས།	Dinastía Yuan
ཁ་རི་སི་ཐོའོ་ཧྥུ་ཀོ་ལུན་སྤུ་སི།	Cristóbal Colón
སེང་གེ་ཁ་འབབ	Río Indo
ཅིན་རྒྱལ་རབས།	Dinastía Jin (265-420)
རྨ་ཆུ།	Río Amarillo
སྣ།	Nariz
མིག	Ojo
ལུག	Ovis orientalis aries
གཏུམ་ཉ།	Selachimorpha
རྔ་མོང་།	Camelus
འུ་འཐུང་སྲོག་ཆགས།	Mammalia
འབུ་གྲོག་མ།	Formicidae
མར་ག་རེ་ཐ་ཁྲ་ཆེའར།	Margaret Thatcher
སུང་ཐའེ་ཙུའུ།	Song Taizu
མེ་ཚལ་དཀར་པོ།	Brassica oleracea var. botrytis
རྡོ་ལུ་མ།	Solanum melongena
བྱ་གག	Anatidae
ཨ་མ།	Madre
ཨ་ཕ།	Padre
ཕྲུ་གུ	Niño
ཇང་མར་ཀི་ཨེ་རོ།	Jean-Marc Ayrault
ཨུ་རུ་སུའི་སྐད།	Idioma ruso
ཁྲིམས།	Derecho
ཡོ་རོབ་གི་ལོ་རྒྱུས།	Historia de Europa
ཧོའོ་མར་སིམ་བུ་སན།	Homer Simpson
༄༅༎ ཡོངས་ཁྱབ་གསལ་བསྒྲགས་འགྲོ་བ་མིའི་ཐོབ་ཐང༌།	Declaración Universal de los Derechos Humanos
ཆའོ་ཐོ།	Giotto
ཨན་ནི་བ་ལེ་ཁས་ར་ཅི།	Annibale Carracci
རྒྱ་སྐད།	Idioma chino
ཁྲག	Sangre
ཊོའུ་ལོའུ་སེ།	Toulouse
ཆར་པ།	Lluvia
ཟེན།	Zen
རང་བྱུང་གི་ཚན་རིག	Ciencias naturales
འགྲིམ་འགྲུལ་བརྡ་སྒྲོན།	Semáforo
འཕྲེད་བརྒལ་ལམ།	Paso de peatones
ཝིན་སུ་ཏོན་ཆུར་ཆེལ།	Winston Churchill
སན་ཏོ་ཨོའོ་ཀོའོ་སེ་ཐིང་།	Agustín de Hipona
ནེལ་སོན་མཱན་ཌེ་ལ།	Nelson Mandela
མར་ཏིན་ལུ་ཏར་ཁིན།	Martin Luther King
མེ་རི།	Volcán
སྤྲིན།	Nube
དབྱིབས་རྩིས་རིག་པ།	Geometría
བརྡ་སྤྲོད་ཀྱི་གཞུང་།	Gramática
རླུང་།	Viento
དཔལ་འབྱོར་རིག་པ།	Economía
སྐད་བརྡ་རིག་པ།	Lingüística
སྒྲ་ཚན།	Fonema
ཀེ་རི་སིའི་དབྱངས་གསལ་རེའུ་མིག	Alfabeto griego
Category:པུ་ར་ག་རི་ཡ།	Categoría:Bulgaria
རྩོམ་རིག་ཡི་གེའི་རིག་པ།	Literatura
Category:ཧྥ་རན་སི།	Categoría:Francia
Category:རོལ་དབྱངས།	Categoría:Música
Category:རྩོམ་རིག	Categoría:Literatura
ཁང་ཆེན་དམར་པོའི་རྨི་ལམ།	Sueño en el pabellón rojo
མན་གྷ།	Manga
ཨེ་ལི་ཡེ་ཏེ།	Ilíada
༼མ་ཧ་བ་ར་ཏ།༽	Majabhárata
ཝ་དམར།	Vulpes vulpes
འཁྱིལ་ཆུང་།	Trompeta
ཨོག་ལེན།	Violín
ཆགས་སྦྱོར་བྱེད་སྟངས་ཀྱི་ཐོ།	Anexo:Posturas sexuales
ལག་གཡེམ།	Masturbación
བཤང་སྒོའི་ཆགས་སྦྱོར།	Sexo anal
སློབ་གསོ།	Educación
ཁྱིམ་ཚང་།	Familia
ཕོ་གཞོན།	Varón
ཆང་ས།	Matrimonio
བྲན་གཡོག་རིང་ལུགས།	Esclavitud
དམག་དོན།	Militar
ཁོ་ཧྥེ།	Café
སིལ་ཁུ།	Zumo
སུན་ཀྲུང་ཧྲན།	Sun Yat-sen
ཧོང་ཀོང་།	Hong Kong
ཀ་ར་ཆི	Karachi
རིའོ་ཌེ་ཇ་ནེའུ་རའོ།	Río de Janeiro
སེ་ཨུལ།	Seúl
ཧྲང་ཧའེ་གྲོང་ཁྱེར།	Shanghái
རིག་གནས་གསར་བརྗེ་ཆེན་པོ	Revolución Cultural
ཆིང་རྒྱལ་རབས།	Dinastía Qing
ཨར་ཁི་མེའུ་ཏེ་སི།	Arquímedes
ཡོའུ་ཁེ་ལེ་ཏེ།	Euclides
ཨུཀ་རཡི་ནི་སྐད།	Idioma ucraniano
ནམ་ཆོམ་སི་ཀེ།	Noam Chomsky
པུ་ཏིང་།	Budín
ཁཱར་ལ་མར་ཁེ་སི།	Karl Marx
མོ་ཤི།	Moisés
ཧིན་ཏུའི་ཆོས་ལུགས།	Hinduismo
ནུ་མ།	Mama
འོད་རིག་པ་	Luz
ཀེ་རི་སིའི་སྐད།	Idioma griego
ཐེ་ཇི་བང་སོ།	Taj Mahal
བྱ་ཁྱིའུ།	Spheniscidae
གློག་རྡུལ་འཕྲིན་སྒམ།	Correo electrónico
ལྷ་གཅིག་ཆོས་ལུགས།	Monoteísmo
ལྷ་མང་ཆོས་ལུགས།	Politeísmo
ཏ་ཟིག་གི་སྐད།	Idioma persa
ཆོས་ལུགས།	Religión
ཨབ་ར་ཧམ།	Abraham
རོས་ནེ་དེ་ཁར་ཏེ།	René Descartes
རང་དབང་ལྷ་མོའི་འདྲ་བརྙན།	Estatua de la Libertad
ལུམ་བི་ནི་	Lumbini
འབར་མའི་སྐད།	Idioma birmano
གཅེར་བུ་བའི་ཆོས་ལུགས།	Jainismo
སོག་པོའི་སྐད།	Idioma mongol
པཱ་ཁི།	Bakú
ཡིའུ་ཐའེ་ཆོས་ལུགས།	Judaísmo
ཐིམ་ཕུ།	Timbu
སི་རི་པེ་ཀ་མཚོ་ཁུགས་གྲོང་ཁྱེར།	Bandar Seri Begawan
དྷི་ལི།	Dili
སིག་གི་ཆོས་ལུགས།	Sijismo
ཏིན་ཏོ་རེ་ཏོ།	Tintoretto
ཝིན་ཆིའང་	Vientián
ལོའོ་ཙེ།	Lao-Tsé
མ་ལེ།	Malé
ཡོ་ག	Yoga
པི་སི་ཁེག	Biskek
དུ་ཤང་པེ།	Dusambé
སི་མ་ཆན།	Sima Qian
ལུད་ཝིག་ཝིཏ་གེན་སི་ཏེ་ཡིན།	Ludwig Wittgenstein
ཀྲུའུ་ཞི།	Zhu Xi
འདུ་ཤེས།	Emoción
སེམས་ཁམས་རིག་པ།	Psicología
ཐོ་མཱ་སི་ཨ་ཁི་ཝི་ནཱ་སི།	Tomás de Aquino
ཕའོ་ལོ་ཝེ་རོ་ནེ་ཟེ།	Paolo Veronese
བཅོམ་ལྡན་འདས།	Buda Gautama
མུ་ཧ་མད།	Mahoma
ནགས་བྱི།	Sciuridae
བྱ་མ་བྱི།	Pteromyini
ཁུང་ཙིའི་གཞུང་ལུགས།	Confucianismo
ཏོའོ་ཅོའོ་ཆོས་ལུགས།	Taoísmo
ཛོ་ར་སིའི་ཆོས་ལུགས།	Zoroastrismo
མིའི་ཀ་ལི།	Cabeza ósea
སྐེ།	Cuello
ཁ།	Boca
བྲང་ཁོག	Tórax
ཐང་རྒྱལ་རབས།	Dinastía Tang
གནའ་གཞུང་རོལ་དབྱངས།	Música clásica
ཝུའུ་ཙེ་ཐེན།	Wu Zetian
ཐང་ཞོན་ཙུང་།	Emperador Xuanzong de Tang
ཨལ་ཧྥ།	Α
ཨོ་མེ་ག	Ω
མིའུ།	Μ
མིང་རྒྱལ་རབས།	Dinastía Ming
ཀྲུའུ་ཡོན་ཀྲང་།	Zhū Yuánzhāng
ཧྥའེ།	Φ
ཙོ་ལུའུའི་སྐད།	Idioma zulú
ཕའེ་ཐ་གྷོ་ར་ཟི།	Pitágoras
ཕཱར་ཧྥེ་ནན།	Partenón
དབུལ་ཕོངས།	Pobreza
རྩ་རྫས་ཀྱི་དུས་འཁོར་རེའུ་མིག།	Tabla periódica de los elementos
ཅོར་ཅི་ཐོན། (གུ་ཡ་ན།)	Georgetown
རང་ཤི་རྒྱབ་པ།	Suicidio
ཆགས་སྦྱོར་གྱི་མཁོ་ཆས།	Juguete sexual
ཆགས་སྦྱོར་གྱི་ཨ་ལས་པད་གོག	Muñeca sexual
ཤིང་།	Árbol
ལེམ་ད།	Λ
ཆུར་བ།	Queso
རྒུནའབྲུམ།	Uva
ཞོ་ཁོག	Solanum tuberosum
སྲན་སེར།	Glycine max
འཕྲུལ་འཁོར།	Máquina
གཅུ་འཛེར།	Tornillo
གསར་འགོད།	Periodismo
ཚགས་པར།	Prensa escrita
རིག་གནས།	Cultura
ལེགས་སྦྱར་སྐད།	Sánscrito
སྨན།	Medicina
ས་ར་ཇི་བོ།	Sarajevo
ཚྭ།	Sal
Category:པུ་རུ་ཟིལ།	Categoría:Brasil
Category:རོ་མ་ནི་ཡ།	Categoría:Rumania
དབང་ཕྱུག	Shiva
ཁྱབ་​འཇུག	Visnú
ཚངས་པ།	Brahma
རྔ།	Tambor
གླིང་བུ།	Flauta
རོལ་རྩེད།	Juego
མིག་མངས་སྒོར་སྒོར།	Go
ཁ་ར་ཏེ།	Karate
འབོལ་འཇུ།	Judo
རྩེད་ཆས།	Juguete
གློག་བརྙན།	Película
འགུལ་རིས་གློག་བརྙན།	Animación
སོ་ནམ།	Agricultura
སྒྲ་	Sonido
དྲོད་ཚད་	Temperatura
དུས་ཚོད།	Tiempo
ཤོག་བུ།	Papel
གྲངས་ཀ།	Número
སྟོང་ཁེའུ།	Kilogramo
སྨི།	Metro
སྐར་ཆ།	Segundo
ཨ་ཤོམ།	Zea mays
ནས།	Hordeum vulgare
ཁེལ།	Kelvin
སྤྱི་ཧྲན།	Litro
རི་མོ།	Pintura
འོད་པར་རྒྱབ་ཐབས།	Fotografía
ཟློས་གར།	Teatro
ཞབས་བྲོ།	Danza
ཁྲུང་ཆིན་གྲོང་ཁྱེར།	Chongqing
ཐན་ཅིན ་གྲོང་ཁྱེར།	Tianjín
ཝུའུ་ཧན་གྲོང་ཁྱེར།	Wuhan
རྒྱལ་ཁབ་དག་གི་མིང་།	Anexo:Países
ལོ་རྒྱུས་བྱུང་གོང་གི་དུས་མཚམས།	Prehistoria
རྡོ་ཆས་སྤྱོད་པའི་དུས་རབས།	Edad de Piedra
ཟངས་ཆས་སྤྱོད་པའི་དུས་རབས།	Edad del Bronce
ལྕགས་ཆས་སྤྱོད་པའི་དུས་རབས།	Edad del Hierro
གནའ་རབས་ཀེ་རི་སི།	Antigua Grecia
དོམ།	Ursidae
༄༅།། གངས་དཀར་སྲས་མོ།	Blancanieves
༄༅།། ཞྭ་མོ་དམར་ཆུང་།	Caperucita Roja
མིག་གིའི་ཙི་ཙི།	Mickey Mouse
མིན་ནིའི་ཙི་ཙི།	Minnie Mouse
མངལ་སྦུམ་པ།	Embarazo humano
བེ་ཤིང་།	Quercus
ཐང་ཤིང་།	Pinus
འབྲས་སྐྲན།	Cáncer
སྐྱུག་ཤལ་འགོས་ནད།	Cólera
གྲོ་ནག	Secale cereale
གྲི་རྩེད།	Esgrima
ཡུག་པོ།	Avena sativa
གྲོ།	Triticum
འབྲུ་རིགས།	Cereal
འོན་པ	Sordera
ན་ཚ།	Enfermedad
བེ་རེ་སི་ཊི། (ཧྥ་རན་སི།)	Brest (Francia)
གློ་གཅོང་གི་ནད།	Tuberculosis
མ་ཅང་།	Mahjong
ཁང་རྩིག་བཟོ་རིག	Arquitectura
ཟམ་པ།	Puente
མོ་ན་ལི་ས།	La Gioconda
ལྕགས་རི་རིང་པོ།	Gran Muralla China
གློག་རིག་པ།	Electricidad
དཔའ་དམ།	Espada
ཝོ་ཁ་ལུ་ཟེ།	Vaucluse
ཨུམ་བེར་ཏོ་ཨེ་ཀོ།	Umberto Eco
ཁྲབ་ལྡན་འཁོར་ལོ།	Tanque (desambiguación)
ཕོ་ལོ་ཁོའེ་ལོ།	Paulo Coelho
མ་ཇུ་རོ།	Majuro
མ་རིན་ལེ་པེན།	Marine Le Pen
འབྲུག་ཚགས།	Litchi chinensis
བེ་ཏ།	Cocos nucifera
སེ་འབྲུ།	Punica granatum
ཁམ་བུ།	Prunus persica
ཚ་ལུ་མ།	Citrus × sinensis
ཀྲོང་སྐད།	Idioma chuang
ཡུལ་གོར་སྐད།	Idioma uigur
ཀ་རཱ་ར།	Carrara
འབུར་མདའ།	Árbol de levas
ཐའེ་པོ་ཆུ་བོ།	Tíber
ནུ་ཤུབ།	Sostén (prenda de vestir)
ཨན་ཇེ་ལི་ནའ་ཇོའོ་ལི།	Angelina Jolie
ཨ་རབ་སྐད།	Idioma árabe
ཧོན་ཤུ།	Honshū
སྲུང་ཤུབས།	Preservativo
ཥིང་ཏ་ལ་	Arecaceae
མོ་ཟ་རེལ་ལ། (ཆུར་བ།)	Queso mozzarella
ཁོར་སི་ཁ་གླིང་ཕྲན།	Córcega
པིས་ཐ།	Β
གྷེ་མ།	Γ
དེལ་ཐ།	Δ
ཨེ་ཕི་སེ་ལོན།	Ε
ཟེས་ཐ།	Ζ
ཨིས་ཐ།	Η
ཐིས་ཐ།	Θ
ཨའོ་ཐ།	Ι
ཁེ་ཕི།	Κ
ནིའུ།	Nu (Alfabeto Griego)
ཁི་སའེ།	Ξ
ཨོ་མི་ཁི་རོན།	Ο
རོའུ།	Ρ
སིག་མ།	Σ
ཐོ།	Τ
ཡུབ་སི་ལོན།	Υ
ཁའེ།	Χ
ཕི་སའེ།	Ψ
ཀླུ་ཥིང་	Cactaceae
གོ་རེ་ཤིང་འབྲས།	Artocarpus altilis
སྒྲོག་སྟེང་རྐང་རྩེད་སྤོ་ལོ།	Fútbol de mesa
ཧུའུ་ཅིན་ཐོའོ།	Hu Jintao
ཞིས་ཅིན་ཕིང་།	Xi Jinping
ཤ་བ་སྐེ་རིང་།	Giraffa camelopardalis
ཕོ་རོའོ་ཝང་སི་ཝལ་ཕེས་ཁོ་ཏེ་ད་ཟུར།	Provenza-Alpes-Costa Azul
མཆུ།	Labio
ཀོང་ཏུང་ཞིང་ཆེན།	Provincia de Cantón
ཀོའོང་ཤི་ཀྲོང་རིགས་རང་སྐྱོང་ལྗོངས།	Guangxi
པར་ཆས།	Cámara fotográfica
སྲམ་ངང་མཆུ་ཅན།	Ornithorhynchus anatinus
རུ་པོལ།	Rublo
དུ་ཅིའོ།	Duccio
རྩིགས་རྨིགས།	Gekkonidae
རྩངས་པ།	Lacertilia
ཁ་ཏ་ཉ། (ཞིང་ཆེན།)	Provincia de Catania
མེ་སི་ན། (ཞིང་ཆེན།)	Provincia de Mesina
ཕ་ལེར་མོ། (ཞིང་ཆེན།)	Provincia de Palermo
དཔུང་པ།	Hombro
མི་དི་ཕི་རེ་ནེ།	Mediodía-Pirineos
ལི་ཞོའོ་ལུང་།	Bruce Lee
Template:Link FA	Plantilla:Destacado
ཁྲིམས་དཔོན།	Juez
ཀོང་ཀྲོའུ་གྲོང་ཁྱེར།	Cantón (China)
ཅང་རྩེ་མིན།	Jiang Zemin
ཨུ་རུམ་ཆི་གྲོང་ཁྱེར།	Urumchi
ཅང་སུའུ་ཞིང་ཆེན།	Jiangsu
ཀྲེ་ཅང་ཞིང་ཆེན།	Zhejiang
ཨེཏ་ན་རི་བོ།	Etna
རེ་འབྱམས་མཆུ་རིང་།	Gavialis gangeticus
ཇི་ཡོ་ཝ་ནི་བེལ་ལི་ནི།	Giovanni Bellini
བོད་རང་སྐྱོང་ལྗོངས།	Tíbet
བསྟན་འཛིན་རྒྱ་མཚོ།	Tenzin Gyatso
ཨར་ལེ་ཀི་ནོ།	Arlequín
ཀོ་ལོམ་སྦི་ན།	Colombina
ཐང་ཏ་ལོ་ནེ།	Pantaleón (comedia del arte)
འགག་བརྡར་གྱི་སྒྲ།	Consonante africada
ཁང་ཞི། (གོང་མ།)	Emperador Kangxi
བགྲེས་སོང་གི་ལོ་ཚོད།	Mayoría de edad
ཧོ་ནོ་ལུ་ལུ།	Honolulu
ཀོ་རི་ཡ།	Corea
ཀོའོ་ཤིན་ཅན།	Gao Xingjian
སྤྱང་ཀི	Canis lupus
ཕོང་ཡང་།	Pionyang
ཡེ་དེན་གྱི་ལདུམ་རའི་སྐོར།	Edén
༩ (གྲངས་ཀ།)	Nueve
ཆན་ལུང་། (གོང་མ།)	Emperador Qianlong
ཧའེ་ལུང་ཅང་ཞིང་ཆེན།	Heilongjiang
ཁྱུ་དགའ།	Pelecanus
པོ་དོལ་སིག	Podolsk
བོ་ནོ་བོ།	Pan paniscus
པུ་ཁ་རེ་སིད།	Bucarest
ཨཱལ་གྷོར།	Al Gore
ལུའུ་བུ་ཝི་ཕོ་བྲང་།	Museo del Louvre
ཐེམ་ཟི་གཙང་པོ།	Río Támesis
ཐིས་རན།	Tirana
བོང་བུ།	Equus africanus asinus
སི་ཁྲོན་ཞིང་ཆེན།	Sichuan
ཡེ་ཤུའི་འཁྲུངས་སྐར།	Navidad
ལ་ཊིན་ནས་ཆད་པའི་ཡུལ་སྐད།	Lenguas romances
སེ་ཏེའི་ཧྥུ་འོ་པོ་སེ།	Steve Jobs
ཧིན་རྡུ་དང་ཡོ་རོབ་ཀྱི་སྐད།	Lenguas indoeuropeas
སྟག	Panthera tigris
ཅི་སི་ནའུ།	Chisináu
རང་བྱུང་གྲངས།	Número natural
སྤྱི་ཚོགས་རིག་པ།	Sociología
རྒྱལ་སྤྱིའི་སྒྲ་རྟགས།	Alfabeto Fonético Internacional
ཧའོ་པེ་ཞིང་ཆེན།	Hebei
ཨོ་རི་ས།	Orissa
པན་ཇབ།	Punyab (India)
མེ་ཊི་ཛི།	Metz
ཚྭ་མཚོའི་གྲོང་ཁྱེར།	Salt Lake City
༧ (གྲངས་ཀ།)	Siete
༨ (གྲངས་ཀ།)	Ocho
Jean Auguste Dominique Ingres	Jean-Auguste-Dominique Ingres
གཟའ་འཁོར།	Semana
ཤ་བ།	Cervidae
སྒོག་ལོག	Allium sativum
མིའི་རིགས་དཔྱད་པའི་རིག་པ།	Antropología
རྡོ་ཀུབ།	Cucumis sativus
ཝུ་ལན་བ་ཐུར	Ulán Bator
ཨ་ཧྲི་ཁ་པད།	Asjabad
དཀར་པོ།	Blanco (color)
ནག་པོ།	Negro (color)
ཙོང་རིལ།	Allium cepa
༦ (གྲངས་ཀ།)	Seis
ལྡུམ་སྒོང་།	Solanum lycopersicum
ཨ་ཊི་ལཱན་ཊཱ།	Atlanta
ཝེ་ལིང་ཐོན།	Wellington (Nueva Zelanda)
ཇི་མི་ཀར་ཀྲར།	Jimmy Carter
ཝ་ལེ་ཐ།	La Valeta
༡༠ (གྲངས་ཀ།)	Diez
ཇོའོར་ཇེ་ཁ་ལོན་ནེ།	George Clooney
ཨིལ་དཨཱཨུཥ	Lila Downs
ཤ་གཟིག	Acinonyx jubatus
ནམ་དུས།	Estaciones del año
ཝན་ཁུ་ཝེར།	Vancouver
འུག་པ།	Strigiformes
ཝ་ཐི།	Vatio
རྒྱལ་བ་ཐུབ་བསྟན་རྒྱ་མཚོ།	Thubten Gyatso
མཁས་གྲུབ་རྒྱ་མཚོ་	Khedrub Gyatso
ཤིང་སྟག་པ།	Betula
ཚུལ་ཁྲིམ་རྒྱ་མཚོ་	Tsultrim Gyatso
ལུང་རྟོགས་རྒྱ་མཚོ་	Lungtok Gyatso
པུ་ཤུད།	Upupa epops
བྱམས་སྤེལ་རྒྱ་མཚོ་	Jamphel Gyatso
ཝོལ།	Voltio
ངག་དབང་བློ་བཟང་རྒྱ་མཚོ་	Ngawang Lobsang Gyatso
ཡོན་ཏན་རྒྱ་མཚོ་	Yonten Gyatso
དགེ་འདུན་གྲུབ།	Gendun Drup
གནམ་གཤིས་རིག་པ།	Meteorología
སེ་དྲོད།	Grado Celsius
ཅོལ།	Julio (unidad)
པི་རི་སི་ཊི་ན།	Pristina
ཨམ་ཕེར།	Amperio
སྐྱ་ཀ།	Pica pica
སྣ་མའི་མེ་ཏོག	Orchidaceae
བསེ་སྦྲང་།	Blattodea
སོམ་ཤིང་།	Abies
ཕོ་རོག	Corvus corax
ན་གི།	Manis
ཁུ་ལོམ།	Culombio
ཞ་ལུ་དགོན།	Monasterio de Shalu
ཁུ་བྱུག	Cuculidae
རྒྱལ་མོ་རྔུལ་ཆུ།	Río Salween
གཡག	Bos mutus
ལི་ཤི།	Syzygium aromaticum
བྱང་སྣེའི་སྐྱར་རྟ།	Sterna paradisaea
གོ་སྙོད།	Carum carvi
༄༅།། ཨོ་སེ་ལོ།	Otelo
སྟག་ཆུ་སྲིན།	Orcinus orca
ཁོ་ཁེ་གླིང་ཚོམ།	Islas Cook
གྲུམ་བ།	Meles meles
སྐྱར་མོ།	Laridae
