Aphrika	África
Phutuy raphi	Cotiledón
Sergio Badilla Castillo	Sergio Badilla Castillo
Érd	Érd
Chutuchupa ukucha	Cricetidae
Raúl Alfonsín	Raúl Alfonsín
Kunan pacha	Presente (tiempo)
1550 watakuna	Años 1550
Ikitus	Iquitos
Inti lluqsiy	Orto
Kiya	Nestor notabilis
Wislla	Cucharón
Phu Cat antanka pampa	Aeropuerto de Phu Cat
Yura kurku	Tronco (botánica)
Sayakuq rumi	Menhir
1560 watakuna	Años 1560
Marcel Desailly	Marcel Desailly
Carlos Saavedra	Carlos Saavedra Lamas
1570 watakuna	Años 1570
Fidelio	Fidelio
Iñuku hawa	Capa electrónica
Tiqni	Articulación de la cadera
Amanka	Hamaca
Phutuy	Germinación
Kayma	Modelo científico
Chiwayru	Dasyprocta
Buenos Aires Yachay Suntur	Universidad de Buenos Aires
Sirimavo Bandaranaike	Sirimavo Bandaranaike
Billy Joel	Billy Joel
Milan Kučan	Milan Kučan
Hurkay	Salario
Hatun chaha	Philander andersoni
Sinik	Didelphis marsupialis
Siyantpitsu	Caluromys lanatus
Kilampu	Philander opossum
Uqi chikayu	Marmosa murina
Puka chikayu	Marmosa rubra
Aya chaha	Didelphis albiventris
Cantinflas	Cantinflas
160 watakuna kñ	Años 160 a. C.
Enrique Hertzog	Enrique Hertzog
Juan José Torres	Juan José Torres
1620 watakuna	Años 1620
Stefan de Vrij	Stefan de Vrij
Ismael Montes Jatun Yachay Wasi Yachachiqkunaq Wakichikunankupaq	Escuela Superior de Formación de Maestros «Ismael Montes»
Łobez	Łobez
1630 watakuna	Años 1630
1640 watakuna	Años 1640
1650 watakuna	Años 1650
1660 watakuna	Años 1660
1670 watakuna	Años 1670
1690 watakuna	Años 1690
Millmaqara	Pelaje
Zheng Zhi	Zheng Zhi
Morlans	Morlaas
170 watakuna kñ	Años 170 a. C.
1710 watakuna	Años 1710
1720 watakuna	Años 1720
Mexicali	Mexicali
Huwan VI	Juan VI (papa)
Huwan IV	Juan IV (papa)
Huwan VII	Juan VII
Huwan V	Juan V (papa)
1760 watakuna	Años 1760
Siqsiy	Picor (prurito)
Ñawiriy	Lectura
Warak'a	Honda (arma)
Sach'a-sach'amanta Qillqa	El libro de la selva (película de 1967)
Yakumuksi	Hidróxido
Kumamoto	Kumamoto
Taupo Qucha	Lago Taupo
Magdalena suyu	Magdalena (Colombia)
1790 watakuna	Años 1790
Concepción Yachay Suntur	Universidad de Concepción
Awriq mayu	Río Marañón
Biwa qucha	Lago Biwa
Morelia	Morelia
Saqina	Herencia (derecho)
Maria Gaetana Agnesi	Maria Gaetana Agnesi
180 watakuna kñ	Años 180 a. C.
180 watakuna	Años 180
Hatun p'unchaw	Fiesta
24 ñiqin pachakwata kñ	Siglo XXIV a. C.
Piruwanu Puntifisya Kathuliku Yachay Suntur	Pontificia Universidad Católica del Perú
Juan Rulfo	Juan Rulfo
Baltra wat'a	Isla Baltra
Tim Howard	Tim Howard
Quchapampa pruwinsya	Provincia de Cercado (Cochabamba)
Aguascalientes	Aguascalientes (Aguascalientes)
Deodoro da Fonseca	Deodoro da Fonseca
Waskaran rashtaq	Huascarán
Luritu suyu	Departamento de Loreto
Swindon	Swindon
Ukayali	Río Ucayali
Villarrica (Chili)	Villarrica (Chile)
Lana Turner	Lana Turner
Vitacura	Vitacura
Yungay (Chili)	Yungay (Chile)
Ñuñoa (Chili)	Ñuñoa
Isanka	Cesta
Arauco pruwinsya	Provincia de Arauco
Yaracuy suyu	Yaracuy
Biyubiyu pruwinsya	Provincia de Biobío
Delta Amacuro suyu	Delta Amacuro
Kachapuwal pruwinsya	Provincia de Cachapoal
Amarumayu suyu	Departamento de Amazonas (Perú)
Cardenal Caro pruwinsya	Provincia Cardenal Caro
Chinkirma	Electrophorus electricus
Chañaral pruwinsya	Provincia de Chañaral
Kulchawa pruwinsya	Provincia de Colchagua
Francisco de Quevedo	Francisco de Quevedo
Flórián Albert	Flórián Albert
AEK FC	AEK Atenas Fútbol Club
Leymebamba distritu	Distrito de Leymebamba
Kichka	Espina (botánica)
Puma sunkaru	Pseudoplatystoma fasciatum
Rüştü Reçber	Rüştü Reçber
Uchu	Capsicum
Olusẹgun Ọbasanjọ	Olusegun Obasanjo
Kunkalla	Fono
Truhillu suyu	Trujillo (estado)
Falcón suyu	Falcón
Guárico suyu	Guárico
Juditpa qillqasqan	Libro de Judit
Yachaymanta qillqasqa	Libro de la Sabiduría de Salomón
Landon Donovan	Landon Donovan
Bill Haley	Bill Haley
Achi Tayta kimsa ñiqin piti	The Godfather. Part III
23 ñiqin pachakwata kñ	Siglo XXIII a. C.
22 ñiqin pachakwata kñ	Siglo XXII a. C.
Qispichiqkuna Kangurusuyupi	The Rescuers Down Under
Runa suti	Nombre de pila
Pukaq'illu	Rubio
Emre Belözoğlu	Emre Belözoğlu
Lansana Conté	Lansana Conté
Sit'ikira	Auchenorrhyncha
Zilda Arns	Zilda Arns
Kuchipillan	Myrmecophaga tridactyla
Tripanosomiasis africana	Tripanosomiasis africana
Yunta	Yugo
Baja	Baja (Hungría)
Poole	Poole
Phu Quoc antanka pampa	Aeropuerto de Phú Quốc
Saint John (New Brunswick)	Saint John (Nuevo Brunswick)
Pedro de Valdivia	Pedro de Valdivia
Mati upyana	Mate (infusión)
Sunku-sunku	Callicebus
Luton	Luton
Southend-on-Sea	Southend-on-Sea
Akay	Defecación
Carlos Valderrama	Carlos Valderrama
Laqha	Oscuridad
Cuernavaca	Cuernavaca
San Luis Potosí	San Luis Potosí (San Luis Potosí)
San Julián munisipyu	San Julián (Bolivia)
Zinho	Zinho
Sulis	Nuevo sol
Rumipi Khillaychuki (kuyuchisqa siq'isqa)	The Sword in the Stone
Waqracha	Antena (artrópodos)
Bebeto	Bebeto
Hunt'a tullu challwa	Teleostei
Nueva Esparta suyu	Nueva Esparta
Aragun qhapaq suyu	Corona de Aragón
Qusqu suyu	Departamento del Cuzco
Ariqipa suyu	Departamento de Arequipa
Kashamarka suyu	Departamento de Cajamarca
Anqash suyu	Departamento de Áncash
Punu suyu	Departamento de Puno
Ayakuchu suyu	Departamento de Ayacucho
Kashamarka	Cajamarca
Qispi Kay suyu	Departamento de La Libertad
Puhuyu	Inia geoffrensis
Cojedes suyu	Cojedes
Q'illu wakamayu	Ara ararauna
21 ñiqin pachakwata kñ	Siglo XXI a. C.
Fernando Hierro	Fernando Hierro
Eleftherios Venizelos	Eleftherios Venizelos
Kawllay	Sentimiento
Monagas suyu	Monagas
Portuguesa suyu	Portuguesa (Venezuela)
Lara suyu (Winisuyla)	Lara (estado)
Sucre suyu (Winisuyla)	Sucre (Venezuela)
Vargas suyu	Vargas
Hayk'a ñiqin p'unchaw	Fecha
Tirika	Leopardus tigrinus
Phaway	Vuelo
190 watakuna	Años 190
190 watakuna kñ	Años 190 a. C.
26 ñiqin pachakwata kñ	Siglo XXVI a. C.
Pukyumanta willay	Cita
Nøtterøy	Nøtterøy
Adolfo Pérez	Adolfo Pérez Esquivel
Pillan	Myrmecophagidae
Ajka	Ajka
Qispichiy yaya yachay	Teología de la liberación
Neagh qucha	Lago Neagh
Cheltenham	Cheltenham
Laqa	Pizarra (roca)
Zizinho	Tomás Soares da Silva
Þjórsá	Þjórsá
Lisboa distritu	Distrito de Lisboa
Sveinn Björnsson	Sveinn Björnsson
Kurumama	Imago (zoología)
Tokushima	Tokushima (Tokushima)
Yana amaru	Eunectes murinus
Club Social y Deportivo Colo-Colo	Club Social y Deportivo Colo-Colo
Zsa Zsa Gabor	Zsa Zsa Gabor
Mosonmagyaróvár	Mosonmagyaróvár
Elano	Elano Blumer
Vác	Vác
Così fan tutte	Così fan tutte
Taqna suyu	Departamento de Tacna
Bartolomé de Las Casas	Bartolomé de las Casas
Tunkurawa	Volcán Tungurahua
Ukayali suyu	Departamento de Ucayali
Alejandro Toledo	Alejandro Toledo
Tuxtla Gutiérrez	Tuxtla Gutiérrez
Chandrika Kumaratunga	Chandrika Kumaratunga
Cuauhtémoc Blanco	Cuauhtémoc Blanco
Kjell Magne Bondevik	Kjell Magne Bondevik
Diego de Almagro	Diego de Almagro
Poyang qucha	Lago Poyang
Mohammad Najibullah	Mohammad Najibulá
Qachu-qachu	Césped
K'anchaq Ñan	Sendero Luminoso
Chilpancingo de los Bravo	Chilpancingo de los Bravo
Panpa suyu	Forma (figura)
Tepic	Tepic
Sunin suyu	Departamento de Junín
Jonás Gutiérrez	Jonás Gutiérrez
Xabi Alonso	Xabi Alonso
Chakra kamay allinchay	Reforma agraria
Muqiwa suyu	Departamento de Moquegua
Piwra suyu	Departamento de Piura
Apurimaq suyu	Departamento de Apurímac
Ika suyu	Departamento de Ica
Muchi	Cultura moche
Salsa taki	Salsa (género musical)
Eastbourne	Eastbourne
Khalid bin Abdul-Aziz	Jalid bin Abdelaziz
Hatun Chaku	Gran Chaco
28 ñiqin pachakwata kñ	Siglo XXVIII a. C.
Milla	Asco
Tansu Çiller	Tansu Çiller
27 ñiqin pachakwata kñ	Siglo XXVII a. C.
Pau Casals	Pablo Casals
Sardina	Sardina pilchardus
Tarzan (kuyuchisqa siq'isqa)	Tarzán (película de 1999)
Chipika	Cynodon dactylon
Saint-Omer	Saint-Omer
Santa Marta (Kulumbya)	Santa Marta
Toluca de Lerdo	Toluca de Lerdo
José de Espronceda	José de Espronceda
Pitu	Flauta travesera
Willkamayu	Río Urubamba
Wamanripa	Senecio
Tumpis suyu	Departamento de Tumbes
Wallqanqacha usa	Coccoidea
Qun Tiksi Wiraqucha	Viracocha
Thorbjørn Jagland	Thorbjørn Jagland
Francisco de Zurbarán	Francisco de Zurbarán
Jean-Bertrand Aristide	Jean-Bertrand Aristide
Samuelpa iskay ñiqin qillqasqan	II Samuel
Krunikamanta iskay ñiqin qillqasqa	II Crónicas
Qhapaqkunap iskay ñiqin qillqasqan	II Reyes
Makabayop iskay ñiqin qillqasqan	Libro II de los Macabeos
Khasay	Eructo
Arinki	Clupea
Gyöngyös	Gyöngyös
Gödöllő	Gödöllő
Lampalliqi suyu	Departamento de Lambayeque
Milton Obote	Milton Obote
Enzo Francescoli	Enzo Francescoli
Jairzinho	Jairzinho
Ampatu llaqta	Ambato
Usqhullu	Leopardus colocolo
Aveiro distritu	Distrito de Aveiro
Villahermosa	Villahermosa (Tabasco)
Amaru suyu	Departamento de Madre de Dios
Pedro de Alvarado	Pedro de Alvarado
Piruwpi pacha kuyuy (2007)	Terremoto del Perú de 2007
Pasqu suyu	Departamento de Pasco
Piruw Harushakay	Virreinato del Perú
Emmeline Pankhurst	Emmeline Pankhurst
30 ñiqin pachakwata kñ	Siglo XXX a. C.
RBD	RBD
Millp'uy	Deglución
Baruqpa qillqasqan	Libro de Baruc
Culiacán	Culiacán
200 watakuna	Años 200
San Martin suyu	Departamento de San Martín
Lima suyu	Departamento de Lima
David Robinson	David Robinson
Napu marka	Provincia de Napo
Mývatn	Myvatn
Roger Ebert	Roger Ebert
Sonsonate suyu	Departamento de Sonsonate
Valdiviapi pacha kuyuy (1960)	Terremoto de Valdivia de 1960
Joseph Estrada	Joseph Estrada
Brian Laudrup	Brian Laudrup
20 watakuna kñ	Años 20 a. C.
Usqullu	Leopardus jacobitus
Tabla	Tabla (instrumento de percusión)
New Age	New age (música)
Mana Iñinakuna	Los Increíbles
Mayu khuchi	Hippopotamidae
Suchuq waranqaysu	Ranunculus repens
Yana suwaq'ara	Coragyps atratus
Apasanka	Theraphosidae
Waranway yura rikch'aq ayllu	Bignoniaceae
Mirana yawri	Gónada
210 watakuna kñ	Años 210 a. C.
210 watakuna	Años 210
Maria Reiche	Maria Reiche
Augusto César Sandino	Augusto César Sandino
Waskar	Huáscar
Aymuray	Cosecha
Robert FitzRoy	Robert Fitz Roy
Pachakutiq Inka Yupanki	Pachacútec
Puchka	Huso
Bearn	Bearne
Päijänne	Lago Päijänne
Tayta Inti	Inti
Sinta ruqyay yuyana	Magnetófono
Putumayu	Río Putumayo
Tayu	Steatornis caripensis
Parispi Qullananchikpa Qhupuyuqnin (kuyuchisqa siq'isqa)	El jorobado de Notre Dame (película de 1996)
Dudley	Dudley
Gordon Banks	Gordon Banks
Sinru qillqa:Pulitika rakiy (Buliwya)	Organización territorial de Bolivia
Wakamayu	Ara (animal)
Kaarlo Juho Ståhlberg	Kaarlo Juho Ståhlberg
Truhillu	Trujillo (Perú)
La Paz (Baja California Sur)	La Paz (Baja California Sur)
Adolfo Suárez	Adolfo Suárez
Tutuma	Crescentia cujete
Puñuy wayaqa	Saco de dormir
Qunta	Óxido de magnesio
220 watakuna	Años 220
220 watakuna kñ	Años 220 a. C.
Pastasa marka	Provincia de Pastaza
Kachina	Sulfato de hierro (II)
Leticia	Leticia (Colombia)
Yuyayyaku	Volcán Llullaillaco
Apurimaq mayu	Río Apurímac
Gyula	Gyula
Kazincbarcika	Kazincbarcika
Páp'a	Pápa
Cegléd	Cegléd
CA Independiente	Club Atlético Independiente
Machala	Machala
Camagüey pruwinsya	Provincia de Camagüey
Wanuku suyu	Departamento de Huánuco
Awankay	Abancay
Fidel Ramos	Fidel V. Ramos
Ukumari Wawqi	Brother Bear
Hiki p'anqa yura	Lycophyta
Pakasu	Iguana iguana
Kusituy	Agrupación musical
T'inki k'allampa	Zygomycota
Illawi	Boa constrictor
Huckleberry Finn	Las aventuras de Huckleberry Finn
Phusuqu	Espuma
Aladdin (kuyuchisqa siq'isqa)	Aladdín
Qhatuq	Comerciante
Kichkarusachamanta (kuyuchisqa siq'isqa)	La bella durmiente (película de 1959)
Sadi Carnot	Marie François Sadi Carnot
Harrogate	Harrogate
230 watakuna	Años 230
Yuraqchupa luwichu	Odocoileus virginianus
Dunga	Dunga
Max Uhle	Max Uhle
Augusto Weberbauer	Augusto Weberbauer
Stanley Matthews	Stanley Matthews
Añayllup Kawsaynin	Bichos: una aventura en miniatura
Mercedes Sosa	Mercedes Sosa
Alejo Carpentier	Alejo Carpentier
Paul Anka	Paul Anka
Uras	Sistema horario de 24 horas
Francisco Madero	Francisco I. Madero
Cúcuta	Cúcuta
T'ikrasqa yupay	Inverso multiplicativo
Tuqti yura rikch'aq ayllu	Juglandaceae
240 watakuna	Años 240
Quyllurchawwan qallarisqa wakllanwata	Anexo:Año bisiesto comenzando en miércoles
Illapachawwan qallarisqa wakllanwata	Anexo:Año bisiesto comenzando en jueves
240 watakuna kñ	Años 240 a. C.
Killachawwan qallarisqa wakllanwata	Anexo:Año bisiesto comenzando en lunes
K'uychichawwan qallarisqa wakllanwata	Anexo:Año bisiesto comenzando en sábado
Atipachawwan qallarisqa wakllanwata	Anexo:Año bisiesto comenzando en martes
Ch'askachawwan qallarisqa wakllanwata	Anexo:Año bisiesto comenzando en viernes
Intichawwan qallarisqa wakllanwata	Anexo:Año bisiesto comenzado en domingo
Pukallpa	Pucallpa
Bocas del Toro pruwinsya	Provincia de Bocas del Toro
Faisal bin Abdul-Aziz	Faisal bin Abdelaziz
Jaber III	Yaber Al-Ahmad Al-Yaber Al-Sabah
David Letterman	David Letterman
Youri Djorkaeff	Youri Djorkaeff
Alvaro Obregón	Álvaro Obregón
Alfredo Palacio	Alfredo Palacio
Piwin yura rikch'aq ayllu	Araucariaceae
250 watakuna	Años 250
Jama-jama	Conium maculatum
Insina	Quercus ilex
CA San Lorenzo de Almagro	Club Atlético San Lorenzo de Almagro
Pocahontas (kuyuchisqa siq'isqa)	Pocahontas (película)
Kaspian awki	El príncipe Caspian
Andreas Papandreou	Andreas Papandréu
Karal	Caral
260 watakuna kñ	Años 260 a. C.
260 watakuna	Años 260
Ian Rush	Ian Rush
Giacinto Facchetti	Giacinto Facchetti
Hat'alliykuy	Sostenibilidad
Valparaíso suyu	Región de Valparaíso
Naucalpan de Juárez	Naucalpan de Juárez
270 watakuna	Años 270
270 watakuna kñ	Años 270 a. C.
Samora Machel	Samora Machel
Seretse Khama	Seretse Khama
Chirimuyu yura rikch'aq ayllu	Annonaceae
Taraqu yaqa wat'a	Península de Taraco
Resident Evil	Resident Evil
Popol Vuh	Popol Vuh
Pampa sach'awaka	Tapirus terrestris
Roberto Rivelino	Roberto Rivelino
Grand Canyon mamallaqta parki	Parque nacional del Gran Cañón
Ahmed Nazif	Ahmed Nazif
Asway marka	Provincia de Azuay
Ciego de Ávila pruwinsya	Provincia de Ciego de Ávila
Umar Siiwuri ( Sívori)	Omar Sívori
280 watakuna	Años 280
Yuri	Brote (botánica)
Girija Prasad Koirala	Girija Prasad Koirala
Xalapa-Enríquez	Xalapa-Enríquez
DuPont	DuPont Corporation
Antonios Nikopolidis	Antonis Nikopolidis
Angelos Basinas	Angelos Basinas
Anggun	Anggun
Win Kok	Wim Kok
Raphi k'allampa	Agaricales
290 watakuna	Años 290
Marinera	Marinera
Itapúa suyu	Departamento de Itapúa
Nacional Autónoma de México Yachay Suntur	Universidad Nacional Autónoma de México
César Vallejo	César Vallejo
Asamoah Gyan	Asamoah Gyan
Ibagué	Ibagué
Luis Enrique Martínez	Luis Enrique Martínez García
Jumanji	Jumanji (película)
Qarapara	Testudines
Josef Masopust	Josef Masopust
Rinri nanay	Otitis media
300 watakuna	Años 300
300 watakuna kñ	Años 300 a. C.
Urqu sach'awaka	Tapirus pinchaque
Antoine Laurent de Jussieu	Antoine-Laurent de Jussieu
Piwra	Piura
Arches mamallaqta parki	Parque nacional de los Arcos
Achi tayta	Padrino
Patranka	Spheniscus humboldti
30 watakuna kñ	Años 30 a. C.
31 ñiqin pachakwata kñ	Siglo XXXI a. C.
310 watakuna kñ	Años 310 a. C.
310 watakuna	Años 310
Muchik mayu	Río Moche
Portalegre distritu	Distrito de Portalegre
320 watakuna	Años 320
320 watakuna kñ	Años 320 a. C.
330 watakuna	Años 330
330 watakuna kñ	Años 330 a. C.
Freddy Rincón	Freddy Rincón
340 watakuna	Años 340
340 watakuna kñ	Años 340 a. C.
350 watakuna kñ	Años 350 a. C.
360 watakuna kñ	Años 360 a. C.
37 ñiqin pachakwata kñ	Siglo XXXVII a. C.
Champiñun	Agaricus bisporus
Griguryu XII	Gregorio XII
370 watakuna kñ	Años 370 a. C.
Alessandro Nesta	Alessandro Nesta
Huwan IX	Juan IX
Huwan XVII	Juan XVII
Liyun VIII	León VIII
Huwan XIV	Juan XIV
Huwan X	Juan X
Huwan XIX	Juan XIX
Griguryu VI	Gregorio VI
Wichq'ana	Cerradura
380 watakuna kñ	Años 380 a. C.
Liyun IV	León IV (papa)
Tak'a	Tabanidae
Huwan XV	Juan XV
390 watakuna kñ	Años 390 a. C.
Apaxco	Apaxco
Caterina da Siena	Catalina de Siena
San Miyil	San Miguel
Cicero	Cicero
Veronica	Verónica
Santu Dumingu	Santo Domingo (desambiguación)
Sierra	Sierra
Santa Ana	Santa Ana
Salinas	Salinas
Iberia	Iberia (desambiguación)
San Siwastyan	San Sebastián (desambiguación)
Casablanca	Casablanca (desambiguación)
Bolívar	Bolívar (desambiguación)
Palma	Palma
Sucre	Sucre (desambiguación)
Carlos Gardel	Carlos Gardel
Kamachina	Regla
Gianni Rivera	Gianni Rivera
Qallu watana	Trabalenguas
Nariñu suyu	Nariño (Colombia)
Arauca suyu	Arauca (Colombia)
Rachina waqachina	Instrumento de cuerda pulsada
Caravaca de la Cruz	Caravaca de la Cruz
Irene Papas	Irene Papas
Chocó suyu	Chocó
Bolívar suyu (Kulumbya)	Bolívar (Colombia)
Cauca suyu	Cauca (Colombia)
Caldas suyu	Caldas
Anita Ekberg	Anita Ekberg
Atlántico suyu	Atlántico (Colombia)
Cuvier	Cuvier
Llika rump'u	Netball
María de León Bello y Delgado	María de Jesús de León y Delgado
Dakota	Dakota
400 watakuna	Años 400
Chili Yachay Suntur	Universidad de Chile
40 watakuna kñ	Años 40 a. C.
Anku	Tendón
410 watakuna	Años 410
Cundinamarca suyu	Cundinamarca
Punu	Puno
Sintiru	Tayassuidae
Putumayu suyu	Putumayo (Colombia)
Uralan Santander suyu	Norte de Santander
420 watakuna	Años 420
Beni suyu	Departamento del Beni
Denis Law	Denis Law
Johan Neeskens	Johan Neeskens
Ojos del Salado	Nevado Ojos del Salado
430 watakuna	Años 430
Quchapampa suyu	Departamento de Cochabamba
Tarija suyu	Departamento de Tarija
Severo Ochoa	Severo Ochoa
Lê Ðức Thọ	Lê Ðức Thọ
Santiago de Cuba pruwinsya	Provincia de Santiago de Cuba
Wasanchay	Adulterio
440 watakuna	Años 440
Tolima suyu	Tolima
Vaupés suyu	Vaupés
Waylla quncha	Agaricus campestris
Qallapurina	Carro
Baruj Benacerraf	Baruj Benacerraf
Córdoba suyu (Kulumbya)	Córdoba (Colombia)
Cesar suyu	Cesar
Huila suyu	Huila
450 watakuna	Años 450
Willka Chakana suyu	Departamento de Santa Cruz
Chuqichaka suyu	Departamento de Chuquisaca
Killki	Ángel
María Zambrano	María Zambrano
Wamanpallpa	Buteo
Giuseppe Bergomi	Giuseppe Bergomi
Santander suyu	Santander (Colombia)
Sucre suyu (Kulumbya)	Sucre (Colombia)
Manizales	Manizales
Chakra yura	Producto agrícola
Pando suyu	Departamento de Pando
Ana Belén	Ana Belén
460 watakuna	Años 460
Rapa	Llama (química)
Qillqana pirqa	Pizarrón
Iwana	Iguanidae
Carlos Antonio López	Carlos Antonio López
Intichawwan qallarisqa chhasku wata	Anexo:Año común comenzado en domingo
K'uychichawwan qallarisqa chhasku wata	Anexo:Año común comenzado en sábado
Quyllurchawwan qallarisqa chhasku wata	Anexo:Año común comenzado en miércoles
Ch'askachawwan qallarisqa chhasku wata	Anexo:Año común comenzado en viernes
Atipachawwan qallarisqa chhasku wata	Anexo:Año común comenzado en martes
Killachawwan qallarisqa chhasku wata	Anexo:Año común comenzado en lunes
Illapachawwan qallarisqa chhasku wata	Anexo:Año común comenzado en jueves
Yura saywa	Seto (barrera)
Alicia Alonso	Alicia Alonso
Jiang Qing	Jiang Qing
Luísa Diogo	Luisa Diogo
Chavela Vargas	Chavela Vargas
Libertad Lamarque	Libertad Lamarque
470 watakuna	Años 470
Mallki-mallki	Huerto frutal
Tunja	Tunja
480 watakuna	Años 480
Bernardo Houssay	Bernardo Alberto Houssay
490 watakuna	Años 490
René Higuita	René Higuita
Lubin	Lubin
Sanka tullu	Hueso palatino
Marina Silva	Marina Silva
Boris Trajkovski	Boris Trajkovski
Douglas Hyde	Douglas Hyde
P'utuqsi suyu	Departamento de Potosí
Chimpurasu marka	Provincia de Chimborazo
Meta suyu	Meta (Colombia)
Guainía suyu	Guainía
Ima Sumaq	Yma Sumac
Paraguarí suyu	Departamento de Paraguarí
Chichiku	Saguinus
Dixie Carter	Dixie Carter
Edmondo De Amicis	Edmondo De Amicis
500 watakuna	Años 500
Kutupaksi marka	Provincia de Cotopaxi
Mayutata pruwinsya	Provincia de Madre de Dios
Martine Carol	Martine Carol
50 watakuna kñ	Años 50 a. C.
510 watakuna	Años 510
Plasencia	Plasencia
Carmen Amaya	Carmen Amaya
520 watakuna	Años 520
Siraq	Sastre (oficio)
Roh Tae-woo	Roh Tae-woo
530 watakuna	Años 530
540 watakuna	Años 540
550 watakuna	Años 550
Uchu wakamayu	Ara macao
Bucaramanga	Bucaramanga
Antonio Machado	Antonio Machado
Runa warkhuna	Horca
Hump'i ch'añan	Glándula sudorípara
Jean-Marie Vianney	Juan María Vianney
Tapyapillan	Cyclopes didactylus
Chikayu	Marmosa
560 watakuna	Años 560
Madagaskar 3	Madagascar 3: Europe's Most Wanted
Ortès	Orthez
Khuchinilla	Dactylopius coccus
Champira chichiku	Cebuella pygmaea
Santa Rosa Limamanta	Rosa de Lima (santa)
570 watakuna	Años 570
Pete Seeger	Pete Seeger
Santarém distritu	Distrito de Santarém
Coimbra distritu	Distrito de Coímbra
Faro distritu	Distrito de Faro
Lichi hilli	Látex
580 watakuna	Años 580
Wirriy	Virrey
Musuq T'aypik	Nuevo Taipéi
590 watakuna	Años 590
T'aychun	Taichung
Puka uma suyuntu	Cathartes aura
Akwa hirinka	Inyección (medicina)
600 watakuna	Años 600
Pantu	Eira barbara
60 watakuna kñ	Años 60 a. C.
610 watakuna	Años 610
Sataqchi	Celtis
T'uqyaq urqu	Reventador
Liq'ichu	Vanellus resplendens
620 watakuna	Años 620
800 watakuna	Años 800
Q'illu uma suyuntu	Cathartes melambrotus
Álvar Núñez Cabeza de Vaca	Álvar Núñez Cabeza de Vaca
Tawna	Bastón
Sant Martí distritu	Distrito de Sant Martí
Álvaro García Linera	Álvaro García Linera
630 watakuna	Años 630
Ángel Labruna	Ángel Labruna
Hawkay	Costumbre
Providencia distritu	Distrito de Providencia
Halloween	Halloween
Wallatiri	Volcán Guallatiri
Tamarugal pruwinsya	Provincia del Tamarugal
Sach'a Rumi	Árbol de Piedra
640 watakuna	Años 640
José Artigas	José Gervasio Artigas
Emir Spahić	Emir Spahić
650 watakuna	Años 650
Loretta Young	Loretta Young
Domingo Sarmiento	Domingo Faustino Sarmiento
Flora Tristan	Flora Tristán
660 watakuna	Años 660
Wamp'uq	Navegante
Parina Quta (Buliwya-Chili)	Volcán Parinacota
Mataku waykuru rimaykuna	Lenguas mataco-guaicurú
670 watakuna	Años 670
Chuqhata distritu	Distrito de Chojata
La Higuera	La Higuera (Bolivia)
Uqshapampa distritu	Distrito de Oxapampa
Gilmar	Gylmar dos Santos Neves
Paqay	Inga feuilleei
Shapumpa	Pteridium
690 watakuna	Años 690
Diego Simeone	Diego Simeone
Qhampu k'usillu	Ateles
Granada suyu	Departamento de Granada
Naranjal kiti	Naranjal (cantón)
Bon Jovi	Bon Jovi
Yusof bin Ishak	Yusof bin Ishak
Layqa	Brujería
Sinru qillqa: Llaqtakuna (Buliwya)	Anexo:Municipios de Bolivia por población
Pultumarka distritu	Distrito de Baños del Inca
Manawa suyu	Departamento de Managua
Tapaqucha distritu	Distrito de Tapacocha
Chiklayu	Chiclayo
Bolívar marka	Provincia de Bolívar (Ecuador)
Gamitana	Colossoma macropomum
700 watakuna	Años 700
Diego Forlán	Diego Forlán
Intibucá suyu	Intibucá
Chinkasqa Churi	Parábola del hijo pródigo
70 watakuna	Años 70
70 watakuna kñ	Años 70 a. C.
710 watakuna	Años 710
Nikos Anastopoulos	Nikolaos Anastopoulos
Hilderaldo Bellini	Hilderaldo Luiz Bellini
Suqtawask'a	Ortoedro
720 watakuna	Años 720
730 watakuna	Años 730
Waranta	Guaranda
Anqas Walla mamallaqta wari kancha	Parque nacional Cordillera Azul
Pullukuku	Megascops choliba
740 watakuna	Años 740
Alqamari	Phalcoboenus megalopterus
Raimundo Orsi	Raimundo Orsi
Tullu	Hueso
Jaime Zudáñez pruwinsya	Provincia de Jaime Zudáñez
750 watakuna	Años 750
Anallaqsi	Nevado Anallajsi
Pachamama	Pachamama
José María Arguedas	José María Arguedas
760 watakuna	Años 760
Pinchikilla pila	Batería eléctrica
Pipil	Pipil
Manchunka	Tamandua tetradactyla
Hatun Chaku pruwinsya	Provincia del Gran Chaco
770 watakuna	Años 770
Luya pruwinsya	Provincia de Luya
Ch'amanaku	Trabajo (sociología)
Tiha	Teja
Sara Montiel	Sara Montiel
Isqhayllu	Dermatitis atópica
Vichada suyu	Vichada
780 watakuna	Años 780
Hugo Banzer	Hugo Banzer Suárez
Rioja distritu	Distrito de Rioja
790 watakuna	Años 790
Emmanuel Petit	Emmanuel Petit
Mama Llaqtap San Markus Hatun Yachay Sunturnin	Universidad Nacional Mayor de San Marcos
José de Uriburu	José Evaristo de Uriburu
Luis Suárez Miramontes	Luis Suárez Miramontes
Arturo Illia	Arturo Umberto Illia
Carlos Pellegrini	Carlos Pellegrini
Pantimayu	Río Bermejo
Pillku Mayu	Río Pilcomayo
Piruwpa umalliqnin	Anexo:Presidentes del Perú
CA Mineiro	Clube Atlético Mineiro
Hercules (kuyuchisqa siq'isqa)	Hércules (película de 1997)
