अफ्रीका	África
अन्तर्राष्ट्रीय आर्थिक कोष	Fondo Monetario Internacional
सन् १७९२	1792
सन् १८८०	1880
सन् १७९३	1793
सन् १८८१	1881
युनेस्को	Unesco
होमर सिम्प्सन	Homer Simpson
सन् १७९४	1794
सन् १८८२	1882
मानव अधिकार सम्बन्धी विश्वव्यापी घोषणा पत्र १९४८	Declaración Universal de los Derechos Humanos
सन् १७९५	1795
सन् १८८३	1883
विश्व स्वास्थ्य संगठन	Organización Mundial de la Salud
सन् १७९६	1796
सन् १८८४	1884
सन् १७९७	1797
सन् १८८५	1885
सन् १८८६	1886
सन् १७९८	1798
विश्व व्यापार संगठन	Organización Mundial del Comercio
सन् १८८७	1887
सन् १७९९	1799
सन् १८८८	1888
सन् १८८९	1889
सन् १८९०	1890
सन् १८९१	1891
सन् १८९२	1892
सन् १८९३	1893
सन् १८९४	1894
सन् १८९५	1895
सन् १८९६	1896
सन् १८९७	1897
सन् १८९८	1898
चीनियाँ भाषा	Idioma chino
सन् १८९९	1899
शौचालय	Inodoro
मनोरोग विज्ञान	Psiquiatría
कोशिका	Célula
रगत	Sangre
फोक्सो	Pulmones
श्वासप्रस्वास प्रणाली	Aparato respiratorio
पिउने पानी	Agua potable
शिक्षण विधि	Pedagogía
वर्षा	Lluvia
हिम पहिरो	Alud
भूमण्डलीय उष्मीकरण	Calentamiento global
भुँइचालो	Terremoto
खनिज	Mineral
माउस	Ratón (informática)
प्राकृतिक विज्ञान	Ciencias naturales
विन्स्टन चर्चिल	Winston Churchill
नेल्सन मन्डेला	Nelson Mandela
मार्टिन लूथर किंग(जुनियर)	Martin Luther King
प्रोटिन	Proteína
बाढी	Inundación
सुनामी	Tsunami
ज्वालामुखी	Volcán
बादल	Nube
भूमरी	Tornado
ज्यामिति	Geometría
व्याकरण	Gramática
उष्णदेशीय चक्रवात	Ciclón tropical
तेलगु भाषा	Idioma télugu
वायुमण्डल	Atmósfera
अर्थशास्त्र	Economía
उद्योग	Industria
भाषाविज्ञान	Lingüística
लिपि	Sistema de escritura
रोमन लिपि	Alfabeto latino
साक्षरता	Alfabetización
साहित्य	Literatura
विराटनगर उपमहानगरपालिका	Biratnagar
धरान उपमहानगरपालिका	Dharan
श्रेणी:संगीत	Categoría:Música
श्रेणी:साहित्य	Categoría:Literatura
उपन्यास	Novela
महाभारत	Majabhárata
रातो फ्याउरो	Vulpes vulpes
फेडेरल व्यूरो अफ इन्भेस्टिगेशन	FBI
ह्यारी पोटर	Harry Potter
अल्गोरिदम	Algoritmo
हस्तमैथुन	Masturbación
गुदा मैथुन	Sexo anal
अलेक्जेन्डर द ग्रेट	Alejandro Magno
शिक्षा	Educación
ह्युगो चाभेज	Hugo Chávez
ओट्टो बिस्मार्क	Otto von Bismarck
विवाह	Matrimonio
कर्ट कोबेन	Kurt Cobain
गर्भपतन	Aborto
मानव अधिकार	Derechos humanos
पीटर महान	Pedro I de Rusia
कफी	Café
दूध	Leche
पहाड	Montaña
मरुभूमि	Desierto
सन यात सेन	Sun Yat-sen
श्रोडिङ्गर्विडाल	Gato de Schrödinger
सम्राट अशोक	Aśoka
अकबर	Akbar
पिएरी ट्रुडो	Pierre Elliott Trudeau
हङकङ	Hong Kong
कराची	Karachi
कोरियाई युद्ध	Guerra de Corea
रियो दी जेनेरियो	Río de Janeiro
रियल म्याड्रिड	Real Madrid Club de Fútbol
शाङ्घाई	Shanghái
चीनको सांस्कृतिक क्रान्ति	Revolución Cultural
वाल्ट डिज्नी	Walt Disney
आर्किमिडिज	Arquímedes
थोमस एल्वा एडिसन	Thomas Alva Edison
माइकल फराडे	Michael Faraday
हेनरी फोर्ड	Henry Ford
अर्मेनियाली भाषा	Idioma armenio
न्याय प्रथम	Primero Justicia
एच.टी.एम.एल.	HTML
युनिकोड	Unicode
सत्यजित राय	Satyajit Ray
हंस तारामंडल	Cygnus (constelación)
तारामण्डल	Constelación
जोन गुटेन्बर्ग	Johannes Gutenberg
जेम्स प्रेस्कट जुल	James Prescott Joule
निकोला टेस्ला	Nikola Tesla
जेम्स वाट	James Watt
चाणक्य	Chanakia
बागमती अञ्चल	Zona de Bagmati
चेक भाषा	Idioma checo
भेरी अञ्चल	Zona de Bheri
कार्ल मार्क्स	Karl Marx
धौलागिरी अञ्चल	Zona de Dhawalagiri
हिन्दू धर्म	Hinduismo
होसे मुहीका	José Mujica
जेम्स क्लर्क माक्सवेल	James Clerk Maxwell
स्तन	Mama
अणु	Átomo
प्रकाश	Luz
गण्डकी अञ्चल	Zona de Gandaki
ताजमहल	Taj Mahal
कम्प्युटर भाषा	Lenguaje de programación
जनकपुर अञ्चल	Zona de Janakpur
इमेल	Correo electrónico
कर्णाली अञ्चल	Zona de Karnali
आत्मा	Alma
फारसी भाषा	Idioma persa
कोशी अञ्चल	Zona de Kosi
लुम्बिनी अञ्चल	Zona de Lumbini
धर्म	Religión
महाकाली अञ्चल	Zona de Mahakali
मेची अञ्चल	Zona de Mechi
नारायणी अञ्चल	Zona de Narayani
राप्ती अञ्चल	Zona de Rapti
सगरमाथा अञ्चल	Zona de Sagarmatha
सेती अञ्चल	Zona de Seti
लुम्बिनी	Lumbini
जैन धर्म	Jainismo
जर्ज विल्हेम फ्रेडरिक् हिगल	Georg Wilhelm Friedrich Hegel
इण्डोनेशियाई भाषा	Idioma indonesio
देवयानी तारामण्डल	Andrómeda (constelación)
विश्व सम्पदा क्षेत्र	Patrimonio de la Humanidad
सलाद	Ensalada
यहुदी धर्म	Judaísmo
थिम्पू	Timbu
बन्दर सेरी बेगवान	Bandar Seri Begawan
इमानुएल क्यान्ट	Immanuel Kant
लुफ्थान्सा	Lufthansa
लाओत्से	Lao-Tsé
जीमेल	Gmail
माले	Malé
योग	Yoga
फ्रेडरिक नीत्शे	Friedrich Nietzsche
एडम स्मिथ	Adam Smith
अण्डकोष	Testículo
मनोविज्ञान	Psicología
वर्द्धमान महावीर	Mahavira
महारानी भिक्टोरिया	Victoria del Reino Unido
गौतम बुद्ध	Buda Gautama
प्रिमियर लिग	Premier League
सरदार बल्लभ भाई पटेल	Sardar Vallabhbhai Patel
नैतिकता	Ética
प्रमाणशास्त्र	Epistemología
मुक्त कर्म	Libre albedrío
लोखर्के	Sciuridae
सचिन तेन्दुलकर	Sachin Tendulkar
राजपंखी लोखेर्के	Pteromyini
वास्तविकता	Realidad
अब्दुल कलाम	Abdul Kalam
बिबिसी	BBC
शाहरूख खान	Shahrukh Khan
सलमान खान	Salman Khan (actor)
टोनी ब्लेयर	Tony Blair
क्याटरिना कैफ	Katrina Kaif
मार्टिन लूथर	Martín Lutero
आमिर खान	Aamir Khan
जोन मेजर	John Major
अमिताभ बच्चन	Amitabh Bachchan
जेम्स क्यालेगन	James Callaghan
रोमन क्याथोलिक चर्च	Iglesia católica
त्रिमूर्ति	Trimurti
पेट	Abdomen
ताओ धर्म	Taoísmo
शिरा	Vena
बङ्गाली भाषा	Idioma bengalí
पाठेघर	Útero
अग्न्याशय	Páncreas
प्रोस्टेट	Próstata
डिम्बाशय	Ovario
फकल्याण्ड टापु	Islas Malvinas
एलिजाबेथ दोश्रो	Isabel II del Reino Unido
युवराज्ञी डायना	Diana de Gales
भारतीय शास्त्रीय संगीत	Música clásica
अक्षर	Letra
सेलम	Salem (Tamil Nadu)
कोयंबतूर	Coimbatore
ऊटी	Udhagamandalam
मिंग राजवंश	Dinastía Ming
फ्यान्टा	Fanta
राहुल गान्धी	Rahul Gandhi
भारतीय जनता पार्टी	Bharatiya Janata Party
होली	Holi
महाकुम्भ	Kumbhamela
कोलोसियम	Coliseo
हृदयशास्त्र	Cardiología
कराइना तारामण्डल	Carina
डेभिड बेक्ह्याम	David Beckham
गर्डन ब्राउन	Gordon Brown
आवर्त सारणी	Tabla periódica de los elementos
आत्महत्या	Suicidio
ड्वेन जोनसन ‘रक’	Dwayne Johnson
सुँगुर	Sus
सरीसृप	Reptilia
यौन खेलौना	Juguete sexual
ढुकुर	Columbidae
अन्धोपन	Ceguera
जीवाणु	Bacteria
रूख	Árbol
क्रान्ति	Revolución
अङ्गूर	Uva
मह	Miel
मासु	Carne
टाइगर वुड्स	Tiger Woods
आलु	Solanum tuberosum
भटमास	Glycine max
रोबोट	Robot
प्रविधि	Tecnología
इन्जिनियरिङ	Ingeniería
सञ्चार	Comunicación
सूचना	Información
पत्रकारिता	Periodismo
समाचार पत्र	Prensa escrita
टेलिफोन	Teléfono
द रोलिङ्ग स्टोन्स	The Rolling Stones
संस्कृति	Cultura
संस्कृत	Sánscrito
अल्जाइमर	Enfermedad de Alzheimer
पार्किनसन	Enfermedad de Parkinson
विधायिका	Poder legislativo
अंकगणित	Aritmética
विन्डोज ७	Windows 7
प्रतिशत	Porcentaje
नून	Sal
फिडेल कास्ट्रो	Fidel Castro
माइक्रोसफ्ट एक्सल	Microsoft Excel
रसायनिक तत्व	Elemento químico
कोण	Ángulo
कार्बोहाइड्रेट	Glúcido
आर्यभट	Aryabhata
हर्मोन	Hormona
युनिक्स	Unix
इन्टरनेट सेवा प्रदायक	Proveedor de servicios de Internet
प्रवेग	Aceleración
शिव	Shiva
ऊर्जा	Energía
विष्णु	Visnú
विद्युतचुम्बकीय विकिरण	Radiación electromagnética
ब्रह्मा	Brahma
रक संगीत	Rock
बल	Fuerza
चुम्बकीय क्षेत्र	Campo magnético
गुरुत्व बल	Gravedad
जुडो	Judo
चुम्बक	Imán
खेलौना	Juguete
पिण्ड	Masa
चलचित्र	Película
धातु	Metal
नाभिकीय विखण्डन	Fisión nuclear
ग्यास	Gas
तरल	Líquido
ठोस	Sólido
साईकल	Bicicleta
पानी जहाज	Buque
कृषि	Agricultura
सेरेना विलियम्स	Serena Williams
ध्वनि	Sonido
हलो	Arado (agricultura)
गति	Velocidad
तापक्रम	Temperatura
समय	Tiempo
कागज	Papel
क्षेत्रफल	Área
पाइथागोरस साध्य	Teorema de Pitágoras
अंक	Número
क्रिष्टियानो रोनाल्डो	Cristiano Ronaldo
मिटर	Metro
मकै	Zea mays
जौ	Hordeum vulgare
केल्भिन	Kelvin
इकर क्यासिलास	Iker Casillas
नृत्य	Danza
निर्भाना	Nirvana (banda)
इलेक्ट्रोनिक्स	Electrónica
विद्युत धारा	Corriente eléctrica
डायोड	Diodo
सूचना प्रविधि	Tecnología de la información
मौसम	Tiempo atmosférico
मारिया सारापोभा	María Sharápova
शेयर	Acción (finanzas)
लाहोर	Lahore
अर्फा करिम	Arfa Karim
सार्वभौम सम्पन्न राष्ट्रहरूको सूची	Anexo:Países
पाषाण युग	Edad de Piedra
कांस्य युग	Edad del Bronce
लौह युग	Edad del Hierro
भालु	Ursidae
जोन एडम्स	John Adams
थोमस जेफर्सन	Thomas Jefferson
जेम्स म्याडिसन	James Madison
जेम्स मुनरो	James Monroe
जोन क्विन्से एडम्स	John Quincy Adams
एन्ड्रयु ज्याक्सन	Andrew Jackson
मार्टिन भान बरेन	Martin Van Buren
राजकोट	Rajkot
जूनागढ	Junagadh
विलियम हेनरी ह्यारिसन	William Henry Harrison
जोन टेलर	John Tyler
जेम्स के. पोल्क	James K. Polk
गन एन’ रोजेज	Guns N' Roses
ज्याचरी टेलर	Zachary Taylor
वदोदरा	Vadodara
माइकल बालाक	Michael Ballack
ब्रिट्नी स्पेयर्स	Britney Spears
पाचन प्रणाली	Digestión
प्रकाश संश्लेषण	Fotosíntesis
प्रजनन (पुनरुत्पादन)	Reproducción
गर्भावस्था	Embarazo humano
सल्ला	Pinus
क्यान्सर	Cáncer
हैजा	Cólera
तरवारबाजी	Esgrima
गहुँ	Triticum
सन् २०४०	2040
सन् २०३८	2038
सन् २०३७	2037
रुघा खोकी	Resfriado común
सन् २०३५	2035
पात्रो	Calendario
बहिरोपना	Sordera
मानसिक रोग	Enfermedad mental
रोग	Enfermedad
ग्रेगोरियन क्यालेण्डर	Calendario gregoriano
स्वस्थ	Salud
औलो	Malaria
कुपोषण	Malnutrición
मोटोपन	Obesidad
मित्र तारा	Alfa Centauri
एन्टिबायोटिक	Antibiótico
अगस्ति तारा	Canopus (estrella)
न्युमोनिया	Neumonía
एड्स	Sida
क्षयरोग	Tuberculosis
मधुमेह	Diabetes mellitus
ढाँचा:Location map Sweden	Plantilla:Mapa de localización de Suecia
ढाँचा:Location map United Kingdom	Plantilla:Mapa de localización de Reino Unido
ढाँचा:Location map Belgium	Plantilla:Mapa de localización de Bélgica
ढाँचा:Location map Italy	Plantilla:Mapa de localización de Italia
ढाँचा:Location map Poland	Plantilla:Mapa de localización de Polonia
पुल	Puente
नहर	Canal de navegación
ढाँचा:Location map Croatia	Plantilla:Mapa de localización de Croacia
ढाँचा:Location map Bosnia	Plantilla:Mapa de localización de Bosnia y Herzegovina
ढाँचा:Location map Greece	Plantilla:Mapa de localización de Grecia
मिलार्ड फिलमोर	Millard Fillmore
फ्र्यांकलिन पार्स	Franklin Pierce
बाँध	Represa
जेम्स बुकानान	James Buchanan
ढाँचा:Location map Israel	Plantilla:Mapa de localización de Israel
ढाँचा:Location map Jordan	Plantilla:Mapa de localización de Jordania
ढाँचा:Location map Iraq	Plantilla:Mapa de localización de Irak
ढाँचा:Location map Saudi Arabia	Plantilla:Mapa de localización de Arabia Saudita
ढाँचा:Location map Pakistan	Plantilla:Mapa de localización de Pakistán
ढाँचा:Location map India	Plantilla:Mapa de localización de India
ढाँचा:Location map नेपाल	Plantilla:Mapa de localización de Nepal
ढाँचा:Location map Bangladesh	Plantilla:Mapa de localización de Bangladés
ढाँचा:Location map Japan	Plantilla:Mapa de localización de Japón
ढाँचा:Location map Philippines	Plantilla:Mapa de localización de Filipinas
ढाँचा:Location map Indonesia	Plantilla:Mapa de localización de Indonesia
ढाँचा:Location map Australia	Plantilla:Mapa de localización de Australia
ढाँचा:Location map New Zealand	Plantilla:Mapa de localización de Nueva Zelanda
ढाँचा:Location map Fiji	Plantilla:Mapa de localización de Fiyi
ढाँचा:Location map Colombia	Plantilla:Mapa de localización de Colombia
मोना लिजा	La Gioconda
ढाँचा:Location map Peru	Plantilla:Mapa de localización de Perú
नाप	Medición
तथ्याङ्क	Estadística
बुर्ज खलिफा	Burj Khalifa
चीनको विशाल पर्खाल	Gran Muralla China
ह्यागिया सोफिया	Santa Sofía
भर्याङ्ग	Escalera
ल्याटिन अमेरिका	América Latina
कुल घरेलु उत्पादन	Producto interno bruto
बेडेन पावेल	Robert Baden-Powell
जाँ जोर	Jean Jaurès
नविकरणीय उर्जा	Energía renovable
म्याक्सिम गोर्की	Máximo Gorki
जीवावशेष ऊर्जा	Combustible fósil
वाष्प इन्जिन	Máquina de vapor
सन् २०३४	2034
सन् २०३३	2033
सन् २०३२	2032
सन् २०३०	2030
परमाणु बम	Arma nuclear
सन् २०२९	2029
सन् २०२८	2028
सन् २०२७	2027
बारूद	Pólvora
विस्फोटक	Explosivo
पाउलो कोहेल्हो	Paulo Coelho
पेले	Pelé
वास्तविक सङ्ख्या	Número real
स्वाति तारा	Arturo (estrella)
प्रस्वा तारा	Procyon (estrella)
नाभिकीय संलयन	Fusión nuclear
मिसेल ओबामा	Michelle Obama
वर्डप्रेस	WordPress
जूमला	Joomla
कालो ऐँसेलु	Mora (fruta)
लिची	Litchi chinensis
किसमिस	Pasa
नरिवल	Cocos nucifera
दारिम	Punica granatum
आरू	Prunus persica
रोमानी	Idioma romaní
सिन्हाला भाषा	Idioma cingalés
केक	Pastel
दही	Yogur
डेबिट कार्ड	Tarjeta de débito
ढाँचा:Location map Canada	Plantilla:Mapa de localización de Canadá
ढाँचा:Location map Mexico	Plantilla:Mapa de localización de México
ढाँचा:Location map Earth	Plantilla:Mapa de localización de Tierra
ल्वाङकसानी	Mirabilis jalapa
ब्रेसियर	Sostén (prenda de vestir)
एन्जेलिना जोली	Angelina Jolie
मेरो सानु साथी	OLPC XO-1
अरबी भाषा	Idioma árabe
कण्डम	Preservativo
खजुर	Arecaceae
विकिनी	Bikini
प्रधानमन्त्री	Primer ministro
इन्टरनेट शीर्षस्तर क्षेत्राधिकार	Dominio de nivel superior
उल्लू नीहारिका	Nebulosa del Búho
सन माइक्रो सिस्टमस्	Sun Microsystems
सिसाकलम	Lápiz
घर भँगेरा	Passer domesticus
मकाउ	Macao
बगलिस	Calzador
हु जिन्ताओ	Hu Jintao
सि जिनपिङ	Xi Jinping
जिराफ	Giraffa camelopardalis
ओठ	Labio
सोभियत संघ	Unión Soviética
आदिलाबाद जिल्ला	Distrito de Adilabad
द लर्ड अफ द रिङ्ग्स	El Señor de los Anillos
नगरपालिका	Municipio
क्यामरा	Cámara fotográfica
करीमनगर	Distrito de Karimnagar
अंजा जिल्ला	Distrito de Anjaw
लिल व्यान	Lil Wayne
सि	C (lenguaje de programación)
एचआइभी	Virus de la inmunodeficiencia humana
पाइताला	Pie
छेपारो	Lacertilia
एमी वाइनहाउस	Amy Winehouse
मेटालिका	Metallica
क्यानी वेस्ट	Kanye West
शार्ल लुई मोन्टेस्क्ये	Montesquieu
काँध	Hombro
ब्रुस ली	Bruce Lee
थाइरोइड	Glándula tiroides
ढाँचा:Link FA	Plantilla:Destacado
हाइपरथाइरोडिजम	Hipertiroidismo
हाइपोथाइरोडिजम	Hipotiroidismo
विश्व	Mundo
विकिपीडिया:चौतारी	Wikipedia:Café
कमल	Nelumbo nucifera
भर्मांट	Vermont
सान होसे,क्यालिफोर्निया	San José (California)
ह्युस्टन	Houston
जियाङ जेमिन	Jiang Zemin
वेन जियाबाओ	Wen Jiabao
ग्वाम	Guam
अमेरिकी सामोआ	Samoa Americana
अस्पताल	Hospital
गिर्जाघर	Iglesia (edificio)
ग्वाडलप	Guadalupe (Francia)
ओकल्याण्ड	Oakland (California)
ब्याकस्ट्रीट ब्वाईज	Backstreet Boys
कार्लोस पुयोल	Carles Puyol
वृत	Circunferencia
चौधौं दलाई लामा	Tenzin Gyatso
वैश्विक डाक संघ	Unión Postal Universal
जावी हर्नान्डेज	Xavi Hernández
जेरार्ड पिके	Gerard Piqué
जोसे म्यानुअल पिन्टो	José Manuel Pinto
डिएगो म्याराडोना	Diego Armando Maradona
अनुशेह अन्सारी	Anousheh Ansari
अस्ट्रिच	Struthio camelus
स्टिफन हकिङ	Stephen Hawking
अरागत्सोत्न प्रान्त	Aragatsotn
कोरिया	Corea
सन् १९२५	1925
सन् १९२७	1927
ली कच्याङ	Li Keqiang
म्यानचेस्टर	Mánchester
भिटामिन ए	Vitamina A
जु रोङजी	Zhu Rongji
ई.पू. १०००	1000
ई.पू. ९९९	999
ब्वाँसो	Canis lupus
भकुण्डो	Pelota
सन् १९५५	1955
सन् १९५४	1954
सन् १९५३	1953
सन् १९५१	1951
सन् १९५०	1950
सन् १९४६	1946
सन् १९४३	1943
सन् १९४२	1942
सन् १९४०	1940
सन् १९३९	1939
सन् १९३८	1938
सन् १९३७	1937
सन् १९३६	1936
म्यानचेष्टर यूनाइटेड (फुटबल क्लब)	Manchester United Football Club
१९३५	1935
सन् १९३४	1934
न्युक्यासल युनाइटेड फुटबल क्लब	Newcastle United Football Club
सन् १९३३	1933
सन् १९३२	1932
टाडी निरबिरालो	Paradoxurus hermaphroditus
सन् १९३१	1931
सन् १९३०	1930
बकुल्लो	Ardeidae
सन् १९२९	1929
फ्रान्स मेरिङ	Franz Mehring
प्योङ्गयाङ्ग	Pionyang
नयाँ करार	Nuevo Testamento
जेस्सी जे	Jessie J
गंगाचीलठुँडे फ्यालफ्याले	Gelochelidon nilotica
फुस्रे सर्षपी	Pluvialis squatarola
सानो गट्टेबट्टाई	Turnix sylvaticus
वन सुड्सुडिया	Tringa glareola
टिमटिमा	Tringa nebularia
मलगुझा	Limosa limosa
बगाले सिमकुखुरा	Gallinula chloropus
चञ्चले सुड्सुडिया	Actitis hypoleucos
लघु राजपुत्रिका	Charadrius dubius
आँसीठुँडे	Numenius arquata
अलकचन्द्र राजपुत्रिका	Charadrius alexandrinus
फालीठुँडे सुड्सुडिया	Xenus cinereus
बडा राजपुत्रिका	Charadrius leschenaultii
सानो आँसीठुँडे	Numenius phaeopus
लालखुट्टे टिमटिमा	Tringa totanus
जलअप्सरा	Hydrophasianus chirurgus
प्रशान्त सर्षपी	Pluvialis fulva
वायु फ्यालफ्याले	Sterna hirundo
ओस्कार	Premios Óscar
प्रोक्यारियोटिक कोशिका	Prokaryota
ओसामा बिन लादेन को अन्त्य	Muerte de Osama bin Laden
सह-सेनानी	Capitán
शक्ति (देवी)	Sakti
बिच्छी	Scorpiones
जर्ज बर्नाड शा	George Bernard Shaw
चेस्टर बेनिंगटन	Chester Bennington
ई.पू. १०१८	1018
ई.पू. १०२०	1020
ई.पू. १०२१	1021
ई.पू. १०२२	1022
ई.पू. १०२३	1023
ई.पू. १०२४	1024
ई.पू. १०२५	1025
फुटबल विश्वकप	Copa Mundial de Fútbol
ई.पू. १०३३	1033
ई.पू. १०७५	1075
पोडोल्स्क	Podolsk
अधातु	No metal
५	5
३	3
२	2
बुखारेस्ट	Bucarest
लुभ्र दरवार	Museo del Louvre
पुएर्टो रिको स्वातन्त्र पार्टी	Partido Independentista Puertorriqueño
टिराना	Tirana
सन् १९२८	1928
सन् ६	6
पुरानो करार	Antiguo Testamento
क्रिसमस	Navidad
त्रिभुज	Triángulo
स्टिभ जब्स	Steve Jobs
लेडी गागा	Lady Gaga
भारोपेली भाषा परिवार	Lenguas indoeuropeas
कर्णेल मुअम्मर गद्दाफी	Muamar el Gadafi
बाघ	Panthera tigris
लण्डन अण्डरग्राउण्ड	Metro de Londres
भिल्हेल्म लिबक्नेख्त	Wilhelm Liebknecht
साई	PSY
सामसुङ	Samsung
कम्प्युटर विज्ञान	Ciencias de la computación
प्राकृतिक सङ्ख्या	Número natural
समाजशास्त्र	Sociología
अरुबा	Aruba
अन्तर्राष्ट्रीय ध्वन्यात्मक लिपि	Alfabeto Fonético Internacional
ओडिशा	Orissa
पञ्जाब (भारत)	Punyab (India)
खनिज तेल	Petróleo
भौगोलिक निर्देशाङ्क प्रणाली	Coordenadas geográficas
यूरोकप २०१२	Eurocopa 2012
बैंक	Banco
इन्टरनेट सेन्सरसीप	Censura en Internet
जनसंख्या घनत्व	Densidad de población
सन् १	1
१०	10
एड्ली (गायिका)	Adele
गोफ विट्ल्याम	Gough Whitlam
सन् ९	9
एडमण्ड बार्टन	Edmund Barton
७	7
कृस वाट्सन	Chris Watson
सन् ८	8
स्टेन्ली ब्रुस	Stanley Bruce
जोन कर्टिन	John Curtin
१२	12
हप्ता	Semana
हरिण	Cervidae
बरफ	Hielo
लसुन	Allium sativum
रातो सागर	Mar Rojo
बोउभेट टापु	Isla Bouvet
ई.पू. ९३०	930
१३	13
ई.पू. ९८५	985
ई.पू. ९८१	981
ई.पू. ९३९	939
काँक्रो	Cucumis sativus
उलानबटोर	Ulán Bator
अर्नेस्ट हेमिङ्वे	Ernest Hemingway
सेतो	Blanco (color)
कालो	Negro (color)
ई.पू. ९५०	950
ई.पू. ९९६	996
ई.पू. ९८०	980
ई.पू. ९८६	988
प्याज	Allium cepa
पुरातत्त्वशास्त्र	Arqueología
गोलभेडा	Solanum lycopersicum
जर्ज एच डब्लु बुश	George H. W. Bush
सन् ११	11
भूमध्य रेखा(भूगोल)	Ecuador terrestre
नासा	NASA
हाउस (टेलिभिजन श्रृङ्खला)	House M. D.
ई.पू. ९६३	963
ई.पू. ९६२	962
ई.पू. ९९७	997
ई.पू. ९७२	972
ई.पू. ९५५	955
ई.पू. ९३६	936
ई.पू. ९५३	953
ई.पू. ९५८	958
सन् ९०३	903
बर्मुडा	Bermudas
ई.पू. ९८७	987
ई.पू. ९६५	965
ई.पू. ९२४	924
ई.पू. ९५१	951
ई.पू. ९३२	932
बेलायत	Gran Bretaña
जिम्मी कार्टर	Jimmy Carter
राष्ट्रगान	Himno nacional
ई.पू. ९६७	967
ई.पू. ९८९	989
ई.पू. ९६०	960
ई.पू. ९६९	969
ई.पू. ९५७	957
ई.पू. ९७१	971
ई.पू. ९३७	937
ई.पू. ९९२	992
ई.पू. ९९०	990
ई.पू. ९७५	975
ई.पू. ९४२	942
ई.पू. ९६६	966
ई.पू. ९७३	973
चुनढुङ्गा	Caliza
रोवान एटकिनसन	Rowan Atkinson
ई.पू. ९८२	982
ई.पू. ९७४	974
ई.पू. ९७६	976
ई.पू. ९७९	979
ई.पू. ९९८	998
प्यालेस्टाइन	Palestina (región)
ई.पू. ९९५	995
ई.पू. ९७७	977
ई.पू. ९३४	934
परमाणु क्रमांक	Número atómico
अल्फ्रेड नोबेल	Alfred Nobel
ई.पू. ९४०	940
काइँयो	Peine
ई.पू. ९८४	984
ई.पू. ९५४	954
मानव शरीर	Cuerpo humano
ई.पू. ९६१	961
एन्ड्र्यु गारफिल्ड	Andrew Garfield
ई.पू. ९४६	946
ई.पू. ९६८	968
ई.पू. ९८३	983
ई.पू. ९६४	964
ई.पू. ९७०	970
ई.पू. ९९१	991
ई.पू. ९९४	994
ई.पू. ९४४	944
ई.पू. ९४३	943
ई.पू. ९४१	941
ई.पू. ९४८	948
ई.पू. ९४७	947
ई.पू. ९४९	949
ऋतु	Estaciones del año
ई.पू. ९३८	938
लिभरपुल	Liverpool
वर्तिका भारद्वाज	Calandrella brachydactyla
अवतार (२००९ चलचित्र)	Avatar (película)
लाटोकोसेरो	Strigiformes
नेदरल्याण्डस एन्टिलस	Antillas Neerlandesas
एन्गुला	Anguila (dependencia)
गुर्न्जी	Guernsey
केराउ	Pisum sativum
सउर	Betula
सन् २०१६	2016
फाप्रे चरा	Upupa epops
अन्तर्राष्ट्रिय अन्तरिक्ष स्टेशन	Estación Espacial Internacional
आईएसओ ३१६६-१	ISO 3166-1
उप्साला	Upsala
सन् २०१७	2017
सन् २०१८	2018
छोकडाको बोट	Phoenix dactylifera
भाषा परिवार	Familia de lenguas
ई.पू. २	2 a. C.
ई.पू. १	1 a. C.
सुनगाभा	Orchidaceae
साङ्ला	Blattodea
झिँगा	Diptera
फूल फुल्ने वनस्पति	Magnoliophyta
गोठे लाटोकोसेरो	Tyto alba
पाँचथोप्ले खपटे कीरा	Coccinellidae
मलाहा चील	Pandion haliaetus
सन् २०२०	2020
बहुरुपी मलसाँप्रो	Mustela erminea
हरियो टाउके	Anas platyrhynchos
बलाकांक्ष वनबाज	Accipiter gentilis
ई.पू. १२३	123 a. C.
ई.पू. २३४	234 a. C.
मरुल	Fulica atra
खैरो गौंथली	Apus apus
वनबाज	Accipiter nisus
चित्रकचरी	Fringilla coelebs
लामकाने लाटोकोसेरो	Asio otus
श्येनबाज	Buteo buteo
जुरे हुटिट्याउँ	Vanellus vanellus
सालक	Manis
कालो गरुड	Ciconia nigra
सेतो टिकटिके	Motacilla alba
रक्तमुहार पीतचरी	Carduelis carduelis
डुबुल्कीचरा	Podiceps cristatus
ई.पू. ३४५	345 a. C.
कङ्कम चील	Haliaeetus albicilla
सुइरोपुच्छ्रे	Anas acuta
ई.पू. ४५६	456 a. C.
स्यामसङ ग्यालेक्सी एस एडभान्स	Samsung Galaxy S Advance
चल्लाचोर भुइँचील	Circus cyaneus
महाराज हंस	Cygnus cygnus
कालोटाउके गंगाचील	Chroicocephalus ridibundus
श्वेताँखीभौं	Anas querquedula
खरलाहाँचे	Jynx torquilla
पानी चाहा	Gallinago gallinago
विजुलागैरी	Anas crecca
कैलो पहाडी उल्लू	Strix aluco
लालठुँडे चखेवा	Tadorna tadorna
लघुकर्ण लाटोकोसेरो	Asio flammeus
जुंगे चिरान्तक बाज	Falco subbuteo
कलहाँस	Anser anser
खडखडे हाँस	Anas strepera
सिपी चरा	Haematopus ostralegus
बेल्चाठुँडे हाँस	Anas clypeata
रूख भँगेरा	Passer montanus
पहेंलो टिकटिके	Motacilla flava
ठूलो वनपरेवा	Columba palumbus
