非洲	África
Séu Sùn-thâ Khiùn-tó	Islas menores de la Sonda
Sû-lâ-vî-sî-tó	Célebes
Mô-lu̍k-kâ Khiùn-tó	Islas Molucas
Chûng Kâ-lî-man-tân-sén	Borneo Central
Tûng Kâ-lî-man-tân-sén	Kalimantan Oriental
Nàm Kâ-lî-man-tân-sén	Borneo Meridional
Kâ-li-sî-â	Galicia
Sî Kâ-lî-man-tân-sén	Borneo Occidental
Thai-ho̍k	Universidad
Pretoria	Pretoria
Chok-khiù	Tenis de mesa
Â-sṳ̂-thù-lî-â-sṳ̂	Asturias
Wikipedia:Sandbox	Wikipedia:Zona de pruebas
Astrakhan-chû	Óblast de Astracán
Kham-thap-pu-lî-â	Cantabria
Kalmykia Khiung-fò-koet	Kalmukia
Weimar	Weimar
Osasco	Osasco
Â-là-kung	Aragón
Kak-là-sṳ̂-kô	Glasgow
Thùng-hói Kî-chhòng	Aeropuerto de Đồng Hới
Vú-lîn-ngièn Fûng-kín Miàng-sṳn-khî	Wulingyuan
分類:Thòi-vân li̍t-sṳ́	Categoría:Historia de Taiwán
Curitiba	Curitiba
Chloë Grace Moretz	Chloë Grace Moretz
Khûng-chṳ́	Confucio
Corbin Bleu	Corbin Bleu
分類:Sṳ-ho̍k	Categoría:Matemáticas
分類:Ngìn-kûng ngî-ngièn	Categoría:Lenguas artificiales
Pâ-lî-sén	Bali
Mî-kîm	Dólar estadounidense
Thi-chûng-hói	Mar Mediterráneo
Hông-chû-sṳ	Hangzhou
Kî-tuk-kau	Cristianismo
Tûng Nú-sâ Tên-kâ-là-sén	Islas menores de la Sonda orientales
Sî Nú-sâ Tên-kâ-là-sén	Islas menores de la Sonda occidentales
Chûng Sû-lâ-vî-sî-sén	Célebes Central
Kô-lùn-tá-lo̍k-sén	Gorontalo
Pet Sû-lâ-vî-sî-sén	Célebes Septentrional
Tûng-nàm Sû-lâ-vî-sî-sén	Célebes Suroriental
Nàm Sû-lâ-vî-sî-sén	Célebes Meridional
Sî Sû-lâ-vî-sî-sén	Célebes Occidental
Vò-é	Arroz
Mâ-lû-kú-sén	Molucas (provincia)
Pet Mâ-lû-kú-sén	Molucas septentrionales
Pâ-pu-â-sén	Papúa (provincia)
Sî Pâ-pu-â-sén	Provincia de Papúa Occidental
Dagestan Khiung-fò-koet	Daguestán
Sú-tû	Capital (política)
Monzón	Monzón (Huesca)
Phù-thò-ngà-ngî	Idioma portugués
Ngie̍t	Mes
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
Makhachkala	Majachkalá
Chechnya Khiung-fò-koet	Chechenia
Grozny	Grozni
Almazán	Almazán
Vòng Hien-fàm	Huang Xianfan
Ingushetia Khiung-fò-koet	Ingusetia
Magas	Magás
Pet Ossetia–Alania Khiung-fò-koet	Osetia del Norte-Alania
Kabardino-Balkaria Khiung-fò-koet	Kabardia-Balkaria
Tson-sa̍k	Diamante
Bill Gates	Bill Gates
Ngi̍t-ngî	Idioma japonés
Pak-khô-chhiòn-sû	Enciclopedia
頭頁	Wikipedia:Portada
Karachay-Cherkessia Khiung-fò-koet	Karacháyevo-Cherkesia
Saratov	Sarátov
Saratov-chû	Óblast de Sarátov
Orenburg-chû	Óblast de Oremburgo
Mordovia Khiung-fò-koet	Mordovia
Saransk	Saransk
Yâ-khiù	Béisbol
Làm-khiù	Baloncesto
Kirov-chû	Óblast de Kírov
Udmurtia Khiung-fò-koet	Udmurtia
Sî-pak-li-â	Siberia
Mari El Khiung-fò-koet	Mari-El
Yoshkar-Ola	Yoshkar-Olá
Stellenbosch	Stellenbosch
Sverdlovsk-chû	Óblast de Sverdlovsk
Cape Town	Ciudad del Cabo
Chuvash Khiung-fò-koet	Chuvasia
Durban	Durban
Cheboksary	Cheboksary
Tat-tat-sṳ̂-thán Khiung-fò-koet	Tartaristán
Penza-chû	Óblast de Penza
Là-fî-ngì	Rafael Sanzio
Pí-tet Lû-pún-sṳ̂	Peter Paul Rubens
Ulyanovsk-chû	Óblast de Uliánovsk
Gung-gung-hi-tsaa	Autobús
Kâ-thai-lò-nì-â	Cataluña
Bashkortostan Khiung-fò-koet	Baskortostán
Chelyabinsk-chû	Óblast de Cheliábinsk
Pâ-lùn-sî-â Chhṳ-chhṳ-khî	Comunidad Valenciana
Khà-sṳ̂-tì-li-â lâu Lòi-ngong	Castilla y León
Kurgan-chû	Óblast de Kurgán
Mô Chhe̍t-tûng	Mao Zedong
Tyumen-chû	Óblast de Tiumén
Omsk-chû	Óblast de Omsk
Thai-mí-ngì-ngî	Idioma tamil
Chet-ho̍k	Filosofía
分類:Candidates for speedy deletion	Categoría:Wikipedia:Borrar (definitivo)
Altai Khiung-fò-koet	República de Altái
Kòng-khìm	Piano
Gorno-Altaysk	Gorno-Altaisk
Kemerovo-chû	Óblast de Kémerovo
Hebe Camargo	Hebe Camargo
Chṳ̂-pún chú-ngi	Capitalismo
Koet-kâ	País
Mìn-chhu̍k	Nación
Khanty-Mansi Chhṳ-chhṳ-khî	Janty-Mansi
Yamalo-Nenets Chhṳ-chhṳ-khî	Yamalia-Nenetsia
Montpellier	Montpellier
