Աֆրիկա	África
Դեյվիս շրջան (Այովա)	Condado de Davis (Iowa)
Դուբյուք շրջան (Այովա)	Condado de Dubuque
Բրեմեր շրջան (Այովա)	Condado de Bremer
Բատլեր շրջան (Այովա)	Condado de Butler (Iowa)
Կազանի Դաշնային համալսարան	Universidad Estatal de Kazán
Ուեյն շրջան (Իլինոյս)	Condado de Wayne (Illinois)
Չիկասո շրջան (Այովա)	Condado de Chickasaw (Iowa)
Ֆելիքս Էրմակորա	Felix Ermacora
Քլեյտոն շրջան (Այովա)	Condado de Clayton (Iowa)
Քրոուֆորդ շրջան (Այովա)	Condado de Crawford (Iowa)
Վան Զանդտ շրջան (Տեխաս)	Condado de Van Zandt
Ջոնսոն շրջան (Տեխաս)	Condado de Johnson (Texas)
Թրոկմորտոն շրջան (Տեխաս)	Condado de Throckmorton
Ալեքսանդրովկա (այլ կիրառումներ)	Aleksándrovka
Թերի շրջան (Տեխաս)	Condado de Terry
Ստոնուոլ շրջան (Տեխաս)	Condado de Stonewall
Լամպասաս շրջան (Տեխաս)	Condado de Lampasas
Ապտոն շրջան (Տեխաս)	Condado de Upton
Փրեսիդիո շրջան (Տեխաս)	Condado de Presidio
Մևերիկ շրջան (Տեխաս)	Condado de Maverick
Նոլան շրջան (Տեխաս)	Condado de Nolan
Լայվ Օկ շրջան (Տեխաս)	Condado de Live Oak
Չուչժոու	Chuzhou
Ծանրության կենտրոն	Centro de gravedad
Կալիկրատես	Calícrates
Ուարդ շրջան (Տեխաս)	Condado de Ward (Texas)
Լին շրջան (Տեխաս)	Condado de Lynn
Եվրոպական ճնճղաճուռակ	Accipiter brevipes
Ուիլբարգեր շրջան (Տեխաս)	Condado de Wilbarger
Կարմիր Կոնգո	Rojo Congo
Ամորտիզացիա	Depreciación
Շերման շրջան (Տեխաս)	Condado de Sherman (Texas)
Ռոբերտս շրջան (Տեխաս)	Condado de Roberts (Texas)
Փեկոս շրջան (Տեխաս)	Condado de Pecos
Ընդհանուր մենամարտեր	Artes marciales mixtas
Վինկլեր շրջան (Տեխաս)	Condado de Winkler
Ուիլասի շրջան (Տեխաս)	Condado de Willacy
Ստիֆենս շրջան (Տեխաս)	Condado de Stephens (Texas)
Շեքելֆորդ շրջան (Տեխաս)	Condado de Shackelford
(675) Լյուդմիլա	(675) Ludmilla
(422) Բերոլինա	(422) Berolina
Գեոմագնիսականություն	Geomagnetismo
(655) Բիսեիս	(655) Briseïs
(676) Մելիտա	(676) Melita
(736) Հարվարդ	(736) Harvard
Թռչող հոլանդացի (օպերա)	El holandés errante (ópera)
(696) Լենորա	(696) Leonora
(600) Մուսա	(600) Musa
(661) Կլելիա	(661) Cloelia
(581) Տաուտոնիա	(581) Tauntonia
(660) Կրեսցենցիա	(660) Crescentia
(755) Կվինտիլլա	(755) Quintilla
Ահմեդ I	Ahmed I
Սապրոֆիտներ	Saprotrofia
(690) Վրատիսլավիա	(690) Wratislavia
(492) Գիսմոնդա	(492) Gismonda
Շտեմարան	Granero
Էրի շրջան (Նյու Յորք)	Condado de Erie (Nueva York)
Օտսեգո շրջան (Նյու Յորք)	Condado de Otsego (Nueva York)
Քլինտոն շրջան (Նյու Յորք)	Condado de Clinton (Nueva York)
Օնոնդագա շրջան (Նյու Յորք)	Condado de Onondaga
Քատարոգաս շրջան (Նյու Յորք)	Condado de Cattaraugus
Համիլտոն շրջան (Նյու Յորք)	Condado de Hamilton (Nueva York)
Արտյոմ Ռուդնև	Artjoms Rudņevs
Թքուարչալի շրջան	Distrito de Tkvarcheli
Նիագարա շրջան (Նյու Յորք)	Condado de Niágara
Էսեքս շրջան (Նյու Յորք)	Condado de Essex (Nueva York)
Ջենեսի շրջան (Նյու Յորք)	Condado de Genesee (Nueva York)
Օնտարիո շրջան (Նյու Յորք)	Condado de Ontario (Nueva York)
Խուվենտուդ	Isla de la Juventud
Օնեյդա շրջան (Նյու Յորք)	Condado de Oneida (Nueva York)
Չոտոկվա շրջան (Նյու Յորք)	Condado de Chautauqua (Nueva York)
Լուիս շրջան (Նյու Յորք)	Condado de Lewis (Nueva York)
Մոնրո շրջան (Նյու Յորք)	Condado de Monroe (Nueva York)
Օռլեանս շրջան (Նյու Յորք)	Condado de Orleans (Nueva York)
Դաչես շրջան (Նյու Յորք)	Condado de Dutchess
Մադիսոն շրջան (Նյու Յորք)	Condado de Madison (Nueva York)
Քայուգա շրջան (Նյու Յորք)	Condado de Cayuga
Կոլումբիա շրջան (Նյու Յորք)	Condado de Columbia (Nueva York)
Գրին շրջան (Նյու Յորք)	Condado de Greene (Nueva York)
Ջեֆերսոն շրջան (Նյու Յորք)	Condado de Jefferson (Nueva York)
Ֆրանկլին շրջան (Նյու Յորք)	Condado de Franklin (Nueva York)
Ֆուլտոն շրջան (Նյու Յորք)	Condado de Fulton (Nueva York)
Նիկոլաևկա	Nikolaevka
Փատնեմ շրջան (Նյու Յորք)	Condado de Putnam (Nueva York)
Դոջ շրջան (Ջորջիա)	Condado de Dodge (Georgia)
Սենտ Քլեր շրջան (Միչիգան)	Condado de St. Clair (Míchigan)
Դելավեր շրջան (Այովա)	Condado de Delaware (Iowa)
Դելավեր շրջան (Նյու Յորք)	Condado de Delaware (Nueva York)
Քլարկ շրջան (Այովա)	Condado de Clarke (Iowa)
Կոլումբիա շրջան (Ջորջիա)	Condado de Columbia (Georgia)
Ադեր շրջան (Այովա)	Condado de Adair (Iowa)
Մեյկոն շրջան (Իլինոյս)	Condado de Macon (Illinois)
Կամագուեյ	Camagüey
Գալլատին շրջան (Իլինոյս)	Condado de Gallatin (Illinois)
Համիլթոն շրջան (Իլինոյս)	Condado de Hamilton (Illinois)
Յունիոն շրջան (Միսսիսիպի)	Condado de Union (Misisipi)
Քլարկ շրջան (Միսսիսիպի)	Condado de Clarke (Misisipi)
Բոլիվար շրջան (Միսսիսիպի)	Condado de Bolivar
Դե Մոյն շրջան (Այովա)	Condado de Des Moines
Բյուկենան շրջան (Այովա)	Condado de Buchanan (Iowa)
Մադիսոն շրջան (Այովա)	Condado de Madison (Iowa)
Ուոլթհոլ շրջան (Միսսիսիպի)	Condado de Walthall
Քենդալ շրջան (Տեխաս)	Condado de Kendall (Texas)
Ուիչիտա շրջան (Տեխաս)	Condado de Wichita (Texas)
Իվան Ռակիտիչ	Ivan Rakitić
Շիլկա (գետ)	Río Shilka
Լապիր շրջան (Միչիգան)	Condado de Lapeer
Թեոդոր Կոխեր	Emil Theodor Kocher
Շայավասի շրջան (Միչիգան)	Condado de Shiawassee
Մաքս Ֆրիշ	Max Frisch
Ժոան Գամպեր	Hans Gamper
Վիկտորիա դե լաս Տունաս	Las Tunas (ciudad)
Բիլ Գոլդբերգ	Bill Goldberg
Իգլ շրջան (Կոլորադո)	Condado de Eagle
Դուգլաս շրջան (Կոլորադո)	Condado de Douglas (Colorado)
Էլբերտ շրջան (Կոլորադո)	Condado de Elbert (Colorado)
Գարֆիլդ շրջան (Կոլորադո)	Condado de Garfield (Colorado)
Գիլպին շրջան (Կոլորադո)	Condado de Gilpin
Ֆրիմոնտ շրջան (Կոլորադո)	Condado de Fremont (Colorado)
Գրանդ շրջան (Կոլորադո)	Condado de Grand (Colorado)
Կեռնեխներ	Turdus
Մարսել Գրոսման	Marcel Grossmann
Խիժաճարճատուկ	Chondrilla
Հիդրոինքնաթիռ	Hidroavión
Ալֆրեդ Դենի Կորտո	Alfred Cortot
Ծվծվուկ	Silene
Կասկեր	Kaskas (Anatolia)
Սիլիցիումի երկօքսիդ	Óxido de silicio (IV)
(531) Զերլինա	(531) Zerlina
Նիկողայոս Մառ	Nikolái Marr
Ակուաֆոնդատա	Acquafondata
Ակուտո	Acuto
Ալվիտո	Alvito (Italia)
Ամազենո	Amaseno
Անանյի	Anagni
Ակվինո	Aquino
(1712) Անգոլա	(1712) Angola
Արչե	Arce (Italia)
Արնարա	Arnara
Դամոկլյան սուր	Damocles
Օպպիանոս	Opiano de Anazarbo
Աթինա	Atina
Աուզոնիա	Ausonia (Italia)
Բելմոնտե Կաստելլո	Belmonte Castello
Բովիլե Էրնիկա	Boville Ernica
Բրոկոստելլա	Broccostella
Կամպոլի Ապենինո	Campoli Appennino
Կազալատիկո	Casalattico
Կազալվիերի	Casalvieri
Կասինո	Cassino
Կաստելիրի	Castelliri
Առցանց խաղ	Videojuego en línea
Կաստելնուովո Պարանո	Castelnuovo Parano
Կաստրո դեյ Վոլշի	Castro dei Volsci
(3548) Էվրիբատես	(3548) Euríbates
Թանա	Lago Tana
Կաստրոկյելո	Castrocielo
Չեկանո	Ceccano
Չեպրանո	Ceprano
Չերվարո	Cervaro
Կոլֆելիչե	Colfelice
Կոլլե Սան Մանյո	Colle San Magno
Կոլեպարդո	Collepardo
Կորենո Աուզոնիո	Coreno Ausonio
Amerika	Amerika (canción)
Սամիր Ջավաձադե	Samir Cavadzadə
Ich will	Ich will
Ռոբերտո Բելլարոսա	Roberto Bellarosa
Էսպերիա	Esperia
Ֆալվատերա	Falvaterra
Ֆիլետինո	Filettino
Ֆյուջի	Fiuggi
Ֆոնտանա Լարի	Fontana Liri
Հույսի շողերի հավաքածուն	Silver Linings Playbook
Ֆոնտեկիարի	Fontechiari
Ֆումոնե	Fumone
Գալինարո	Gallinaro
Մթնշաղ. Նորալուսին	The Twilight Saga: New Moon
ՎԿ	Vkontakte
Ջուլիանո դի Ռոմա	Giuliano di Roma
Գուարչինո	Guarcino
Իզոլա դել Լիրի	Isola del Liri
(84522) 2002 TC302	(84522) 2002 TC302
Մոնտե Սան Ջովաննի Կամպինո	Monte San Giovanni Campano
Մորոլո	Morolo
Պալյանո	Paliano
Պաստենա	Pastena
Պատրիկա	Patrica
Պեսկոսոլիդո	Pescosolido
Պիչինիսկո	Picinisco
Յոկո Օնո	Yoko Ono
Պիկո (Լացիո)	Pico (Italia)
Սանտյագո դե Կուբա	Santiago de Cuba
Սղոցի	Ilex
Պյեդիմոնտե Սան Ջերմանո	Piedimonte San Germano
Պիգլիո	Piglio
Պինյատերո Ինտերամնա	Pignataro Interamna
Վիզ Խալիֆա	Wiz Khalifa
Միկլոշ Հորթի	Miklós Horthy
Պոֆի	Pofi
Պոստա Ֆիբրենո	Posta Fibreno
Ռիփի	Ripi
Ռոկա դ'Արչե	Rocca d'Arce
Չեռնոգորիան Եվրատեսիլ երգի մրցույթում	Montenegro en el Festival de la Canción de Eurovisión
Աֆրիկայի ազգերի գավաթ 1978	Copa Africana de Naciones 1978
Ռոկասեկա	Roccasecca
Սան Բյաջո Սարաչինիսկո	San Biagio Saracinisco
Սան Դոնատո Վալ դի Կոմինո	San Donato Val di Comino
Սան Ջորջո ա Լարի	San Giorgio a Liri
Ներդրմամբ տեսակավորում	Ordenamiento por inserción
Սան Ջովաննի Ինկարիկո	San Giovanni Incarico
Ֆարմակոպեա	Farmacopea
Դեմոսթենես	Demóstenes
Պատանի պարողների Եվրատեսիլ 2013	Festival de Eurovisión de Jóvenes Bailarines 2013
Սան Վիտորե դել Լացիո	San Vittore del Lazio
Սանտ Ամբրջո սուլ Գարիլյանո	Sant'Ambrogio sul Garigliano
(689) Զիտա	(689) Zita
Սանտ Անդրեա դել Գարլյանո	Sant'Andrea del Garigliano
Սանտ Ապոլինարե	Sant'Apollinare
Սանտ Էլիա Ֆյումերապիդո	Sant'Elia Fiumerapido
Սանտոպադրե	Santopadre
Սերոնե	Serrone
Սետեֆրատի	Settefrati
Զգուրգոլա	Sgurgola
Սորա (Իտալիա)	Sora (Italia)
Ստրանգոլագալլի	Strangolagalli
Սուպինո	Supino (Italia)
Տերելլե	Terelle
Տորե Կաետանի	Torre Cajetani
Ղրիմի թաթարներ	Tártaros de Crimea
Տորիչե	Torrice
Տրավի նել Լացիո	Trevi nel Lazio
Գլխի թեփոտում	Caspa
Տրիվիլյանո	Trivigliano
Վալեկորսա	Vallecorsa
Վալեմայո	Vallemaio
Յիգևա (քաղաք, Էստոնիա)	Jõgeva
Վալերոտոնդա	Vallerotonda
(18) Մելպոմենե	(18) Melpómene
Վիկալվի	Vicalvi
Վիկո նել Լացիո	Vico nel Lazio
Վիլլա Լատինա	Villa Latina
Վիլլա Սանտա Լուչիա	Villa Santa Lucía (Italia)
Վիլլա Սանտո Ստեֆանո	Villa Santo Stefano
Վիտիկուզո	Viticuso
Իվոձիմայի վրա դրոշ բարձրացնելը	Alzando la bandera en Iwo Jima
Լորին Մաազել	Lorin Maazel
Կիրիբատիի դրոշ	Bandera de Kiribati
Մարկոս Գաբիոս Ապիցիոս	Marco Gavio Apicio
Այզենբախ (Վերին Շվարցվալդ)	Eisenbach (Alta Selva Negra)
Վայրի բնության համաշխարհային հիմնադրամ	Fondo Mundial para la Naturaleza
Լիոն շրջան (Կենտուկի)	Condado de Lyon (Kentucky)
Էստոնիայում ՅՈՒՆԵՍԿՕ-ի համաշխարհային ժառանգության ցանկ	Anexo:Patrimonio de la Humanidad en Estonia
Կելեստինոս V	Celestino V
Կոլի սուլ Վելինո	Colli sul Velino
Արծպա	Serratula
Վեզեր (գետ, Ֆրանսիա)	Río Vézère
Հարավային Սանդվիչյան կղզիներ	Islas Sandwich del Sur
Մադեյրա (գետ)	Río Madeira
Կարոլինյան կղզիներ	Islas Carolinas
(1023) Թոմանա	(1023) Thomana
Մահվան հովիտ	Valle de la Muerte
Զոնդյան փողրակ	Fosa de Java
Հաֆեզ ալ-Ասադ	Hafez al-Asad
Թաքեր շրջան (Արևմտյան Վիրջինիա)	Condado de Tucker
Մագնիսական շղթա	Circuito magnético
Մենամ Չաո Պրայա	Río Chao Phraya
Բրազիլական սարահարթ	Meseta brasileña
Ընկերության կղզիներ	Islas de la Sociedad
(1025) Ռիեմա	(1025) Riema
Լյովեն	Lovaina
Մենանդրոս	Menandro
Մուշ	Muş
Լատերա	Latera
Ծովակալության կղզիներ	Islas del Almirantazgo
(1026) Ինգրիդ	(1026) Ingrid
(1027) Էսկուլապիա	(1027) Aesculapia
(1028) Լիդինա	(1028) Lydina
(1029) Լա Պլատա	(1029) La Plata
Ալեուտյան կղզիներ	Islas Aleutianas
(103) Հերա	(103) Hera
Թամա շրջան (Այովա)	Condado de Tama
Սերխիո Ագուերո	Sergio Agüero
Մայքլ Դուգլաս	Michael Douglas
Լինկոլն շրջան (Լուիզիանա)	Parroquia de Lincoln
Կոլուբարա (գետ)	Río Kolubara
Ալեքսանդր III	Alejandro III de Rusia
Էֆիմերտե	Efemérides
Մագնոլիազգիներ	Magnoliaceae
Մարտին Օմելլի	Martin O'Malley
(210) Իզաբելլա	(210) Isabella
Կամիլ Կլոդել	Camille Claudel
(1082) Պիրոլա	(1082) Pirola
Սուրբ Էրազմուսի կրակներ	Fuego de San Telmo
Միկհաուզեն	Mickhausen
Կլոնավորում	Clonación
Ֆակտորիալ	Factorial
Ամեդեո Մոդիլիանի	Amedeo Modigliani
Որդանման ելունի բորբոքում	Apendicitis
Գերհամակարգիչ	Supercomputadora
Մաշհադ	Mashhad
Տեղեկատվական համակարգ	Sistema de información
Քուլշարիֆ մզկիթ	Mezquita Qol Šärif
(1030) Վիտյա	(1030) Vitja
Ինֆրակառուցվածք	Infraestructura urbana
Կերկիրա	Corfú
Դիսկրետ մաթեմատիկա	Matemáticas discretas
(1031) Արկտիկա	(1031) Arctica
(1032) Պաֆուրի	(1032) Pafuri
(1033) Սիմոնա	(1033) Simona
(1034) Մոցարտիա	(1034) Mozartia
(1035) Ամատա	(1035) Amata
Ալիշա Քիզ	Alicia Keys
(1036) Գանիմեդ	(1036) Ganymed
(1037) Դևիդվեյլա	(1037) Davidweilla
(1038) Տուկիա	(1038) Tuckia
(1039) Զոնեբերգա	(1039) Sonneberga
(104) Կլիմենե	(104) Clímene
(1040) Կլամպկեա	(1040) Klumpkea
(1041) Աստա	(1041) Asta
(1042) Ամազոնե	(1042) Amazone
Պրոֆեսոր	Profesor
(1043) Բիտե	(1043) Beate
Սիմբիոզ	Simbiosis
Փոլ Փիրս	Paul Pierce
Եղինջ	Urtica
Իսպանիայի դրոշ	Bandera de España
Ասեղնաբուժություն	Acupuntura
Պետրովսկի շրջան (Կիրովոգրադի մարզ)	Raión de Petrove
Հսկա մոլորակ	Gigante gaseoso
Լոս Անջելես Լեյքերս	Los Angeles Lakers
Ֆրանսիացիներ	Pueblo francés
(78) Դիանա	(78) Diana
Հանրի Լուի լը Շատեկիե	Henry Le Châtelier
Էրոս	Eros
(1628) Շտրոբել	(1628) Strobel
Խուլիո Իգլեսիաս	Julio Iglesias
Հիլարի Դաֆ	Hilary Duff
Լևուլոզ	Fructosa
Այծյամ	Capreolus capreolus
Ժակ Ֆեյդեր	Jacques Feyder
Հերակլես	Heracles
Ժան Պոլ Մարատ	Jean-Paul Marat
Էդուար Կլապարեդ	Édouard Claparède
Մասարի	Massari
Գոտֆրիդ Կելլեր	Gottfried Keller
Բրեստ-Լիտովսկի պայմանագիր	Tratado de Brest-Litovsk
Միշելին Կալմի-Ռեյ	Micheline Calmy-Rey
Ատտիկե	Ática
Մեքսիկայի դրոշ	Bandera de México
Իներցիա	Inercia
Չարլզ II Ստյուարտ	Carlos II de Inglaterra
Բոտնիկի ծոց	Golfo de Botnia
Փառքի շքանշան (ԽՍՀՄ)	Orden de la Gloria
Ռենե Զելվեգեր	Renée Zellweger
Հաշվարկման համակարգ (մաթեմատիկա)	Sistema de numeración
Վիլյամ Թոմսոն	William Thomson
(864) Աաս	(864) Aase
Կարին	Erzurum
Ֆրանսուա Էժեն Վիդոկ	Eugène-François Vidocq
Պլանկի հաստատուն	Constante de Planck
Անագրամա	Anagrama
Տերևատ	Daphne
Պոլինա Վիարդո-Գարսիա	Pauline Viardot-García
Կաբալա	Cábala
Ալֆրեդ Վեռներ	Alfred Werner
Ֆելիքս Բլոխ	Felix Bloch
Շառլ Էդուար Գիյոմ	Charles Edouard Guillaume
Մանկաբուժություն	Pediatría
Մոսադեղ	Mohammad Mosaddeq
Անն Լուիզ Ժերմեն դը Ստալ	Anne-Louise Germaine Necker
Պալմիրա (օղակակղզի)	Atolón Palmyra
Ռոբերտ Հայնլայն	Robert A. Heinlein
Բենժամեն Անրի Կոնստան դը Ռեբեկ	Benjamin Constant de Rebecque
Պարկավոր գայլ	Thylacinus cynocephalus
Արթուր Հոնեգեր	Arthur Honegger
Վանեսսա Հադջենս	Vanessa Hudgens
Լեհական զլոտի	Złoty
Ֆուկուոկա (պրեֆեկտուրա)	Prefectura de Fukuoka
Կանգուն ալիքներ	Onda estacionaria
Ագաթ	Ágata (mineral)
Մայքլ Քեյն	Michael Caine
Հեբրիդյան կղզիներ	Islas Hébridas
Սթրես	Estrés
Արիստոկրատիա	Aristocracia
Էնդեմիկ	Endemismo
Կլարա Հասկիլ	Clara Haskil
Հայնրիխ Վյոլֆլին	Heinrich Wölfflin
Ժակ Շառլ Ֆրանսուա Շտուրմ	Jacques Charles François Sturm
Գյուտ	Invento
Ագուլիանո	Agugliano
Նիկոլա Բուվյե	Nicolas Bouvier
Արևադարձեր	Solsticio
Արչեվիա	Arcevia
Բարբարա (քաղաք)	Barbara (Italia)
Լիզա Դելա Կազա	Lisa Della Casa
ԱՄՆ թենիսի բաց առաջնություն	Abierto de Estados Unidos
Լենինգրադ	Leningrado (desambiguación)
Բելվենդերե Օստրենսե	Belvedere Ostrense
Նուկլեինաթթուներ	Ácido nucleico
Կամերանո	Camerano
Կիբեռնետիկա	Cibernética
Կամերատա Պիչենա	Camerata Picena
Դանդի	Dundee
Էմմի	Premios Emmy
Ամերիկյան պետությունների կազմակերպություն	Organización de los Estados Americanos
Կաստել Կոլոննա	Castel Colonna
Կաստելբելինո	Castelbellino
Պողոս առաքյալի երկրորդ նամակը Կորնթացիներին	Segunda epístola a los corintios
Ջորջ Գերշվին	George Gershwin
Կաստելֆիդարդո	Castelfidardo
Կաստելեոբե դե Սուեզա	Castelleone di Suasa
Մարկիզ դե Սադ	Marqués de Sade
Կաստելպլանիո	Castelplanio
Չերետո դ'Էզի	Cerreto d'Esi
Ռադովան Կարաջիչ	Radovan Karadžić
Մուղլայի նահանգ	Provincia de Muğla
Կիարվալլե	Chiaravalle
Կորինալդո	Corinaldo
Սեզարո	Claudio Castagnoli
Կուպրամոնտանա	Cupramontana
Տափաստան	Estepa
Ձայնի դիսպերսիա	Velocidad del sonido
Ֆալկոնարա Մարտիմա	Falconara Marittima
Շվեյցարիայի դրոշ	Bandera de Suiza
Ֆիլոտրանո	Filottrano
Ջենգա (կոմունա)	Genga
Ժան Շարլ Լեոնար Սիմոնդ դը Սիսմոնդի	Jean-Charles-Léonard Simonde de Sismondi
Վեսլի Սնեյդեր	Wesley Sneijder
Բոդիբիլդինգ	Culturismo
Նիլս Հենրիկ Աբել	Niels Henrik Abel
Գերհաղորդականություն	Superconductividad
Մայոլատի Սպոնտինի	Maiolati Spontini
Սքորպիոնս	Scorpions
Մերգո	Mergo
Կիսաանապատ	Clima semiárido
Մոնսանո	Monsano
Մոնտե Ռոբերտո	Monte Roberto
Կոնական հատույթ	Sección cónica
Մոնտե Սան Վիտո	Monte San Vito
Ազիմուտ	Acimut
Մոնտեկարատո	Montecarotto
Անգոլայի դրոշ	Bandera de Angola
Մոնտեմարչանո	Montemarciano
Բաուհաուզ	Escuela de la Bauhaus
Մոնտերադո	Monterado
Մորո դ'Ալբա	Morro d'Alba
Նումանա	Numana
Բռնություն	Violencia
Օֆանյա	Offagna
Օզիմո	Osimo
Օստրա (մունիցիպալիտետ)	Ostra (Italia)
Օստրա Վետերե	Ostra Vetere
Գեորգի Ժուկով	Gueorgui Zhúkov
Պոջո Սան Մարչելլո	Poggio San Marcello
Սյուարդ շրջան (Նեբրասկա)	Condado de Seward (Nebraska)
Տոբոլ (գետ)	Río Tobol
Պոլվերիջի	Polverigi
Մոմանյութեր	Cera
Աղբյուր	Manantial
Ռիպե	Ripe (Italia)
Կիպրոսի զինանշան	Escudo de Chipre
Ռոզորա	Rosora
Սան Մարչելլո	San Marcello (Italia)
Սան Պաոլո դի Էզի	San Paolo di Jesi
Սանտա Մարիա Նուովա	Santa Maria Nuova
Մինդանաո	Mindanao
Սասոֆերատո	Sassoferrato
Տափակ որդեր	Platyhelminthes
Սերա դե Կոնտի	Serra de' Conti
Ժերոմ Կոջիա	Jérôme Eugène Coggia
Կոալիցիա	Coalición
Սառապուու (գյուղ, Սանգաստե շրջան)	Corylus avellana
Սերա Սան Կվիրիկո	Serra San Quirico
Պունիական պատերազմներ	Guerras púnicas
Սիրոլո	Sirolo
Բրուքլինի կամուրջ	Puente de Brooklyn
Ստաֆոլո	Staffolo
Ումա Թուրման	Uma Thurman
Յունոնա	Juno (mitología)
Միլիոնատերը ետնախորշից	Slumdog Millionaire
Սալմա Հայեկ	Salma Hayek
Վիլյամ Ջեյմս	William James
Մանդարին	Citrus reticulata
Սղոց	Sierra (herramienta)
Լուսոն	Luzón
Գնեոս Պոմպեոս	Cneo Pompeyo Magno
Երկնքի տաճար	Templo del Cielo
Բարձրություն ծովի մակարդակից	Nivel del mar
Տիյտ Սոկ	Tiit Sokk
Ցոլակերտի նահանգ	Provincia de Iğdır
Շնագայլ	Chacal
Պարմենիդես	Parménides de Elea
Պապիրուս	Papiro
Վիլհելմ III Լյուքսեմբուրգցի	Guillermo III de los Países Bajos
Հռոմի կայսրերի ցանկ	Anexo:Emperadores romanos
Քաղաքացիական ավիացիայի միջազգային կազմակերպություն	Organización de Aviación Civil Internacional
(457) Ալլեգենիա	(457) Alleghenia
Էդվարդ Նորթոն	Edward Norton
Կլիմայի փոփոխություն	Cambio climático
Վեկտորական տարածություն	Espacio vectorial
Սեն Մարտեն (Ֆրանսիա)	San Martín (Francia)
Տանժեր	Tánger
Գառնանգղ	Gypaetus barbatus
Պանկետալ	Panketal
Կվակվա	Nycticorax nycticorax
Կոնկիստադոր	Conquistadores españoles
Վուլվերհեմպտոն	Wolverhampton
Վանա լիճ	Lago de Van
(1486) Մարիլին	(1486) Marilyn
Այզենշտադ	Eisenstadt
Էրի Բեյհոքս	Erie BayHawks
Մոթիլին	Motilina
Թոմաս Փեյն	Thomas Paine
.so	.so
Ֆիլիպպո Ինձագի	Filippo Inzaghi
Սթիվ Իրվին	Steve Irwin
Նոյան տապան	Arca de Noé
Քրիստեն Ստյուարտ	Kristen Stewart
Իրանի դրոշ	Bandera de Irán
Մարժան Սատրապի	Marjane Satrapi
Իվան Պասկևիչ	Iván Paskévich
Ավստրիայի օրհներգ	Bundeshymne
Պրագմատիզմ	Pragmatismo
Բասկեր	Vasco
Խիզախը (անիմացիոն ֆիլմ)	Brave (película)
Սենթ Քաթարինս	St. Catharines
Մանկապարտեզ	Educación preescolar
Aerosmith	Aerosmith
Իրավունքի փիլիսոփայություն	Filosofía del Derecho
Քյութահյա (նահանգ)	Provincia de Kütahya
Անթիբ	Antibes
Միներվա	Minerva
Գալիլեյան ծով	Mar de Galilea
Մկանային կծկում	Contracción muscular
М (ֆիլմ)	M (película)
Թայվանի նեղուց	Estrecho de Taiwán
Վիտամին B9	Ácido fólico
Կարս	Kars
Հալվե	Aloe
Չեխիայի դրոշ	Bandera de la República Checa
Արևելյան Քեյփ	Provincia Occidental del Cabo
Ժան Օնորե Ֆրագոնար	Jean-Honoré Fragonard
Բանգլադեշի դրոշ	Bandera de Bangladés
Ալբերտ Մայքելսոն	Albert Abraham Michelson
Ջեքսոն շրջան (Միսսուրի)	Condado de Jackson (Misuri)
Բեղմնավորում	Fecundación
Ճառագայթալողակ ձկներ	Actinopterygii
Կլովիս Դարտանդոր	Los viajes de Clovis Dardentor
Հարավային Կորեայի դրոշ	Bandera de Corea del Sur
Շառլոթ Բրոնտե	Charlotte Brontë
Մատանիների տիրակալը. Մատանու եղբայրություն	El Señor de los Anillos: la Comunidad del Anillo
Մայմոնիդ	Maimónides
Դուգլաս Մակարթուր	Douglas MacArthur
Ալյանց Արենա	Allianz Arena
Դանիել Կարվախալ	Dani Carvajal
Միրանդա Քեր	Miranda Kerr
Հոլոթուրիաներ	Holothuroidea
Էշլի Թիսդեյլ	Ashley Tisdale
Սլոտ	Slot (banda)
Ասիեր Իլիարամենդի	Asier Illarramendi
Պիքսար	Pixar
Միթենվալդ	Mittenwald
Էքստրավերսիա	Introversión y extraversión
Պերկեսազգիներ	Perciformes
Օբերշտաուֆեն	Oberstaufen
Վիտուս Բերինգ	Vitus Bering
Վակուոլ	Vacuola
Ալ և Սպիտակ վարդերի պատերազմ	Guerra de las Dos Rosas
Կործանիչ	Avión de caza
Հնգանկյուն	Pentágono
Լորենի	Tilia
Տյուգոկու (տարածաշրջան)	Región de Chūgoku
Սերբեր	Serbios
Պարանա (գետ)	Río Paraná
Լակտոզ	Lactosa
Արթուր Քոմփթոն	Arthur Compton
Իզոմերիա	Isomería
Լարիմեր շրջան (Կոլորադո)	Condado de Larimer
Քիովա շրջան (Կոլորադո)	Condado de Kiowa (Colorado)
Ուերֆանո շրջան (Կոլորադո)	Condado de Huérfano
Ուկրաինայի դրոշ	Bandera de Ucrania
Ջեքսոն շրջան (Կոլորադո)	Condado de Jackson (Colorado)
Ջեֆերսոն շրջան (Կոլորադո)	Condado de Jefferson (Colorado)
Գանիսոն շրջան (Կոլորադո)	Condado de Gunnison
Օդեդ Ֆեր	Oded Fehr
Գետակինճեր	Tapirus
Ջորջո Վազարի	Giorgio Vasari
Դինամիկա (մեխանիկա)	Dinámica
Ապրիլիա	Aprilia (Italia)
Բասիանո	Bassiano
Կամպոդիմելե	Campodimele
Կաստելֆորտե	Castelforte
Չիստերնա դի Լատինա	Cisterna di Latina
Լաս Անիմաս շրջան (Կոլորադո)	Condado de Las Ánimas
Էսեքս շրջան (Նյու Ջերսի)	Condado de Essex (Nueva Jersey)
Քիտ Քարսոն շրջան (Կոլորադո)	Condado de Kit Carson
