आफ्रिकाखण्डः	África
हान्स बेथे	Hans Bethe
एरण्डसस्यम्	Ricinus communis
आजाद हिन्द फौज्	Ejército Nacional Indio
काकमाची	Atropa belladonna
तक्षशिलाविश्वविद्यालयः	Taxila
मन्ना दे	Manna Dey
जे. बि. एस्. हाल्डेन्	John Burdon Sanderson Haldane
वास्तुकम्	Amaranthus
लता मङ्गेशकरः	Lata Mangeshkar
सर्वपल्ली राधाकृष्णन्	Sarvepalli Radhakrishnan
काफीसस्यम्	Coffea
लकुचम्	Moraceae
मोहम्मद रफी	Mohammad Rafi
पूगवृक्षः	Areca catechu
साम्युयेल् हानिमन्	Samuel Hahnemann
वामनी	Acorus calamus
भेडाघाट्	Bhedaghat
ग्वालियर	Gwalior
जूही चावला	Juhi Chawla
दीपिका पडुकोणे	Deepika Padukone
नागवल्लीपत्रम्	Piper betle
जपापुष्पम्	Hibiscus rosa-sinensis
सिंहराशिः	Leo (astrología)
ह्यूगो द व्रीस्	Hugo de Vries
रामः	Rama (dios indio)
हेनरी ६	Enrique VI de Inglaterra
एडवर्ड ४	Eduardo IV de Inglaterra
थियोफ्रास्टस्	Teofrasto
पुतिहासस्यम्	Mentha arvensis
पारसीकयवानी	Hyoscyamus niger
अरग्वदवृक्षः	Cassia fistula
प्रियङ्गुः	Setaria italica
कर्कटराशिः	Cáncer (astrología)
आम्रम्	Mangifera
वितुन्नः	Celosia argentea
एडवार्ड गिबन	Edward Gibbon
हेनरी ४	Enrique IV de Inglaterra
कुम्भराशिः	Acuario (astrología)
महानिम्बिसस्यम्	Melia azedarach
स्पन्दमापिनी	Estetoscopio
जेन	Juana Grey
प्रयागः	Allahabad
ओन्कोलोजी	Oncología
सी टी आर विल्सन	Charles Wilson
सोनिया गान्धी	Sonia Gandhi
विलियम शाक्ली	William Bradford Shockley
निमेन्या विडिच	Nemanja Vidić
द डार्क् नैट्	The Dark Knight
श्यामाकः	Echinochloa
वृषभराशिः	Tauro (astrología)
मकरराशिः	Capricornio (astrología)
आल्बर्ट् स्याबिन्	Albert Bruce Sabin
साङ्ख्यदर्शनम्	Samkhya
हरितगृहम्	Invernadero
मरीचिका (शाकम्)	Chile (pimiento)
चित्रदुर्गमण्डलम्	Distrito de Chitradurga
मधुरकूष्माण्डम्	Calabaza gigante
उन्नतकूर्दनम्	Salto de altura
स्टार् वार्स्:दि फ़ांटम् मेनस्	Star Wars: Episode I - The Phantom Menace
परावर्तनम् (भौतविज्ञानम्)	Reflexión (física)
इसिडोर ऐजक रबि	Isidor Isaac Rabi
बैटमेन बिगिंस्	Batman Begins
मध्यमा	Dedo medio
विजयनगरसाम्राज्यम्	Imperio vijayanagara
तिरुवनन्तपुरम्	Thiruvananthapuram
गुल्फः	Tobillo
कार्ल् डी एन्डरसन्	Carl David Anderson
धूमनीहारः	Esmog
दार्जिलिङ्ग	Darjeeling
श्रीनगरम्	Srinagar
डिमीटार बरबाटोव	Dimitar Berbatov
आण्ड्रियेस् वेसेलियस्	Andrés Vesalio
ओलम्पिक् ज्वाला	Llama olímpica
अगर्तला	Agartala
निम्बः	Azadirachta indica
एडवर्ड ५	Eduardo V de Inglaterra
पार्वती	Párvati
प्रलम्बकूर्दनम्	Salto de longitud
जानुवातः सन्धिवातश्च	Artritis
रोबर्ट वूड्रो विल्सन	Robert Woodrow Wilson
मृदुकन्दुक-क्रीडा	Sóftbol
बाणभट्टः	Bana Bhatta
शतद्रुनदी	Río Sutlej
भुवनेश्वरम्	Bhubaneshwar
रक्तदुर्गम् (आग्रा)	Fuerte de Agra
भारतस्य राष्ट्रियचिह्नम्	Emblema nacional de la India
जार्ज् क्युव्ये	Georges Cuvier
पर्सी ब्रिजमन	Percy Williams Bridgman
स्टीवन चू	Steven Chu
कटनी	Katni
डैरेन फ्लेचर	Darren Fletcher
मरे गेलमन	Murray Gell-Mann
प्योट्र कापिट्सा	Piotr Kapitsa
एमिलियो गीनो सेग्रे	Emilio Gino Segrè
स्वामी चिन्मयानन्दः	Chinmayananda
कनीनिका	Pupila
मनोरञ्जनं	Entretenimiento
प्रेमचन्दः	Premchand
हिब्रूविश्वविद्यालयः (येरुशलम्)	Universidad Hebrea de Jerusalén
अंटोनियो वालेंसिया	Antonio Valencia
पार्ष्णिः	Talón
रेमन्ड डेविस जुनियर	Raymond Davis Jr.
थामस् हण्ट् मार्गन्	Thomas Hunt Morgan
गाब्रियोलो फालोपियस्	Gabriel Falopio
सेसिल पावेल	Cecil Frank Powell
लुइ अल्वारेज़	Luis Walter Álvarez
अन्ताराष्ट्रियः व्यापारः	Comercio internacional
खजुराहो	Khajuraho
खण्डकाव्यानि	Oda
फतेह्-पुर्-सिक्री	Fatehpur Sikri
डा. जयन्त नारळीकर	Jayant Narlikar
जिद्दु कृष्णमूर्ति	Jiddu Krishnamurti
स्टीवन वैनबर्ग	Steven Weinberg
जोर्ज एफ स्मूट	George F. Smoot
लीयो एसाकी	Leo Esaki
पुनर्गमनवाद	Recursión
वर्गिस् कुरियन्	Verghese Kurien
सुवर्णमन्दिरम्	Templo Dorado
आदिशङ्कराचार्यः	Adi Shankara
स्टार् वार्स्:अटाक् आफ़् दि क्लोन्स्	Star Wars: Episode II - Attack of the Clones
साञ्चीस्तूपः	Sanchi
ब्रायन जोसेफसन	Brian David Josephson
चेन निंग यांग	Chen Ning Yang
महाथिर मोहमद	Mahathir bin Mohamad
तन्त्रशास्त्रम्	Tantra
कर्पूरम्	Alcanfor
अगस्टा, जार्जिया	Augusta (Georgia)
प्लास्टिक शल्यचिकित्सा	Cirugía plástica
अलङ्काराः	Figuras literarias
आडुबान् जान् जेम्स्	John James Audubon
रेखिचिकित्सा	Reiki
श्रीरामकृष्णपरमहंसः	Ramakrishna
जलमालिन्यम्	Contaminación hídrica
हंस:	Anser (animal)
मोक्षः	Moksha (hinduismo)
जीवविकासवादः	Darwinismo
ॐ	Om
थामस् हेन्रि हक्स्लि	Thomas Henry Huxley
अजन्तागुहाः	Ajantā
पेट्रिक एम एस ब्लाकेट	Patrick Maynard Stuart Blackett
सिन-इतिरो तोमोनागा	Shin'ichirō Tomonaga
चार्ल्स् एच् टाउन्स्	Charles Hard Townes
गेरार्डस 'टी हूफ्ट	Gerardus 't Hooft
मारीस् एच् विल्किन्स्	Maurice Wilkins
तर्जनी	Dedo índice
हास्टिंग्स बान्डा	Hastings Kamuzu Banda
दण्डकूर्दनम्	Salto con pértiga
ब्राह्मीलिपिः	Brahmi
मणिबन्धः	Muñeca (anatomía)
अर्जुनः	Arjuna
मिग्नेल् सर्वेटस्	Miguel Servet
वैश्यः	Vaisia
अयोध्या	Ayodhya
गङ्गटोक्	Gangtok
धर्मशाला, हिमाचलप्रदेशः	Dharamsala
जुलियन श्विंगर	Julian Schwinger
विलिस इ लाम्ब	Willis Eugene Lamb
राष्ट्रियध्वजः	Bandera nacional
दाहोदमण्डलम्	Distrito de Dahod
कार्लो रुबिया	Carlo Rubbia
त्रिः कूर्दनम्	Triple salto
राबर्ट १	Roberto I de Escocia
कुतुब् मिनार्	Qutab Minar
डैनी वेल्बेक	Danny Welbeck
चन्द्रगुप्तमौर्यः	Chandragupta Maurya
पुराणानि	Purana
हनुमान्	Hánuman
शिक्षकदिनम् (भारतम्)	Día del maestro
राष्ट्रियपुस्तकालयः (इजरायल्)	Biblioteca Nacional de Israel
नेविल एफ मोट्ट	Nevill Francis Mott
एल्लोरागुहाः	Ellora
पाणिनिः	Panini (gramático)
मेल्विन श्वार्ट्ज	Melvin Schwartz
निकोलास ब्लोम्बर्गन	Nicolaas Bloembergen
इस्कान् संस्था	Asociación Internacional para la Conciencia de Krishna
हिब्रूभाषा-अकादमी	Academia del Idioma Hebreo
आर्थर एल शालो	Arthur Leonard Schawlow
मेमेन्टो	Memento
जेम्स रेनवाटर	Leo James Rainwater
विलियम डी फिलिप्स	William Daniel Phillips
मार्टिन राइल	Martin Ryle
फिलिप दबल्यु एन्डरसन	Philip Warren Anderson
फ्रान्सिस् गाल्टन्	Francis Galton
लुक्रेजिया बोर्गिया	Lucrecia Borgia
सीता	Sita
गोदावरीनदी	Río Godavari
प्राकृतम्	Prácrito
श्री अरविन्दः	Sri Aurobindo
अनामिका	Dedo anular
ऐजोल	Aizawl
छन्दः	Métrica
लीयोन एम लीडरमन	Leon Max Lederman
चार्ल्स बार्क्ले	Charles Barkley
भारतस्य प्रधानमन्त्री	Primer ministro de la India
ए जे लेगेट	Anthony J. Leggett
काजीराङ्गाराष्ट्रियोद्यानम्	Parque nacional de Kaziranga
वर्नियरमापकम्	Nonio
उष्णरक्तप्राणिनः	Sangre caliente
जेम्स क्रोनिन	James Cronin
कृष्णा	Río Krishná
केनेथ् जी विल्सन्	Kenneth Geddes Wilson
हीनयानम्	Hinayana
सत्याग्रहः	Satyagraha
ऋतम्	Ritá (hinduismo)
शशि थरूर	Shashi Tharoor
मौलाना अबुल कलाम आजाद	Abul Kalam Azad
भरतमुनिः	Bharata Muni
राजेन्द्र प्रसाद	Rajendra Prasad
देहरादून	Dehradun
गुवाहाटी	Guwahati
विश्वपरिसरदिनम्	Día Mundial del Medio Ambiente
बार्बर मेक्लिन्टाक्	Barbara McClintock
उपमालङ्कारः	Símil
विशाखपट्टणमण्डलम्	Visakhapatnam
विजयवाडा	Vijayawada
जोधपुरम्	Jodhpur
अजमेर	Ajmer
जोनास् एड्वर्ड् साक्	Jonas Salk
उज्जैन	Ujjain
लुधियाना	Ludhiāna
मेरठ	Meerut
मथुरा	Mathura
उदयपुरम्	Udaipur
लाल्बाग्	Jardín Botánico Lal Bagh
औरङ्गाबाद् (महाराष्ट्रम्)	Aurangabad (Maharashtra)
बीकानेर	Bikaner
जबलपुरम्	Jabalpur
कास्सोवारिस्	Casuarius
रिचार्ड इ टेलर	Richard Edward Taylor
विज्ञानेतिहासः	Historia de la ciencia
अलिगढ, उत्तरप्रदेशः	Aligarh (Uttar Pradesh)
अमृतसरमण्डलम्	Distrito de Amritsar
ग्यास्पर्डड-गुस्ताव डि कोरियोलिस	Gaspard Coriolis
सामाजिकमाध्यमानि	Medios sociales
ब्रह्मगुप्तः	Brahmagupta
प्लासीयुद्धम्	Batalla de Plassey
गुरुग्रन्थसाहिब	Gurú Granth Sahib
पोर्ट्ब्लेरः	Port Blair
रिचर्ड क्रामवेल	Richard Cromwell
जेर्टि थेरेसा कोरि	Gerty Cori
सिरोहीमण्डलम्	Distrito de Sirohi
सन्धिः	Sandhi
गाझियाबाद्, उत्तरप्रदेशः	Ghaziabad
उडुपचालनक्रीडा	Descenso de ríos
कटकम्	Cuttack
शिलाङ्ग	Shillong
ट्रिचिमलैदुर्गम्	Tiruchirappalli
जगन्नाथपुरी	Puri
इन्द्रियनिग्रहः	Castidad
महाबलिपुरम्	Mahabalipuram
इम्फाल	Imfal
मु अम्मर् गडाफ़ि	Saif al Islam Gadafi
पटियाला	Patiala
फेडेरिको माकेडा	Federico Macheda
भारतचीनयुद्धम्	Guerra sino-india
दूर्वा	Cynodon dactylon
जलियान्वालाबाग हत्याकाण्डः	Masacre de Amritsar
सूत्रम्	Sutra (budismo)
चन्दनम्	Santalum album
गङ्गानद्याः डोल्फिन	Platanista gangetica
चेरापूञ्जी	Cherrapunji
मियाण्डर्	Río Menderes
काञ्चिपुरम्	Kanchipuram
बरेली	Bareilly
वारङ्गल् दुर्गम्	Warangal
तबला (वाद्यम्)	Tabla (instrumento de percusión)
प्रकृतिचिकित्सा	Medicina natural
पणजी	Panaji
वितस्ता	Río Jhelum
एड्डिङ्गटन् सर् अर्थर् स्ट्यान्ले	Arthur Stanley Eddington
नारिकेलतैलम्	Aceite de coco
कावेरीनदी	Río Kaveri
नालन्दाविश्वविद्यालयः	Nalanda
चम्पा	Champa
चन्द्रभागा	Río Chenab
हर्षवर्धनः	Jarsha Vardhana
रागः	Raga
मोरारजी देसाई	Morarji Desai
नडियाद	Nadiad
नारङ्गफलरसः	Zumo de naranja
दलितजनः	Paria (casta)
आर् लेनेक् मानारल्	René Laënnec
नाविकनीलः	Azul ultramar
डैरेन गिब्सन	Darron Gibson
ध्रुवीय उपग्रह प्रक्षेपण यानम्	Polar Satellite Launch Vehicle
कन्याकुमारी	Kanyakumari
जेम्स ३	Jacobo III de Escocia
श्वेतपत्रम्	Libro blanco
स्वामी दयानन्दसरस्वती	Dayananda Sarasvati
काजल् अगरवाल्	Kajal Aggarwal
मेरी १	María I
एलिजाबेथ	Elizabeth
कनिष्ठिका	Meñique de la mano
हिप्पोक्रेटस	Hipócrates (desambiguación)
मधुरै	Madurai
कलियुगम्	Kali-iuga
भारतस्य राष्ट्रियपञ्चाङ्गम्	Calendario shaka
भारतीय-अन्तरिक्ष-अनुसन्धान-सङ्घटनम् (ISRO)	Agencia India de Investigación Espacial
कस्तूरिमृगः	Moschus
लोकसभा	Lok Sabha
अण्णा हजारे	Anna Hazare
पतञ्जलिः	Patañjali
भीमराव रामजी अम्बेडकर	B.R. Ambedkar
बोअ क्वोन्	BoA
माधुरी दीक्षित	Madhuri Dixit
जम्बूफलम्	Syzygium cumini
कोशातकी	Luffa
अटल बिहारी वाजपेयी	Atal Behari Vajpayee
अक्षय कुमार	Akshay Kumar
पञ्चतन्त्रम्	Panchatantra
नर्मदानदी	Río Narmada
मगधदेश:	Magadha
कोहिमा	Kohima
बिल्वः	Aegle marmelos
शिग्रुः	Moringa oleifera
श्रीविजयराजवंशः	Srivijaya
भारतीयसाम्यवादिपक्षः(मार्क्सवादी)	Partido Comunista de la India (Marxista)
एलिजबेत् ब्ल्याक्वेल्	Elizabeth Blackwell
आल्लाह्	Alá
भक्तिवेदान्तस्वामी प्रभुपादः	Bhaktivedānta Swami
शुष्कफलानि	Fruta seca
जेम्स १ (स्काटलैंड)	Jacobo I de Escocia
के आर् नारायणन्	Kocheril Raman Narayanan
रुत् प्रवर् जब्वाला	Ruth Prawer Jhabvala
केवलादेव्-राष्ट्रियोद्यानम्	Parque nacional de Keoladeo
छत्रपतिशिवाजीटर्मिनस्	Estación Chhatrapati Shivaji
गोकुरासस्यम्	Tribulus terrestris
अथर्ववेदः	Átharva-veda
पाण्डवाः	Pándava
सामवेदः	Sama-veda
कटिः	Cintura
सुरेन्द्रनगरमण्डलम्	Distrito de Surendranagar
सोलापुरम्	Solapur
कल्पना चावला	Kalpana Chawla
दाण्डीयात्रा	Marcha de la sal
डेविड २	David II de Escocia
ॐ मणि पद्मे हूँ	Om mani padme hum
मिन्दौगः	Mindaugas
सहारनपुरम्	Saharanpur
जैसलमेर	Jaisalmer
भावनगरम्	Bhavnagar
झान्सी	Jhansi
लाल बहादूर शास्त्री	Lal Bahadur Shastri
कृष्णनिम्बपत्रम्	Murraya koenigii
महर्षि महेश योगी	Maharishi Mahesh Yogi
ऐन्डर्स लिनडेगार्ड	Anders Lindegaard
भारतद्वारम्	Puerta de la India
इन्द्र कुमार गुजराल	I. K. Gujral
विचिटा	Wichita
गया	Gaya (India)
कोडैक्यानल्	Kodaikanal
यष्टी	Glycyrrhiza glabra
अमरेलीमण्डलम्	Distrito de Amreli
गोराणी	Cyamopsis tetragonoloba
कस्तूरबा	Kasturba Gandhi
आरण्यकम्	Araniaka
अस्थि	Hueso
पीठम्	Plinto
जार्ज ५	Jorge V del Reino Unido
बेळगावी	Belgaum
इन्दोनेशिया राष्ट्रपति सूची	Anexo:Presidentes de Indonesia
कवरत्ती	Kavaratti
विन्ध्यः	Cordillera de Vindhya
दिसपुर	Dispur
बाष्पस्थाली	Olla a presión
जेम्स २ (स्काटलैंड)	Jacobo II de Escocia
हरिद्वारम्	Haridwar
पी वी नरसिंह राव्	P. V. Narasimha Rao
ग्रन्थसम्पादनप्रविधिः	Ecdótica
सीताफलम्	Annona
आम्ब्रोस् पारे	Ambroise Paré
कारैकल्	Karaikal
यानम्, पाण्डीचेरी	Yanam
माहे	Mahe (Puducherry)
चरकः	Cháraka
वन्दे मातरम्	Vande Mataram
प्राचीनविमानशास्त्रम्	Vaimanika-shastra
श्वेताम्बरः सम्प्रदायः	Svetambara
जार्ज ६	Jorge VI del Reino Unido
शिवमोग्गामण्डलम्	Shimoga
चम्पावतमण्डलम्	Distrito de Champawat
रमणमहर्षिः	Ramana Maharshi
कोटो (वाद्यम्)	Koto
राबर्ट ३	Roberto III de Escocia
लियाण्डर् पेस्	Leander Paes
जार्ज् वाशिङ्ग्टन् कार्वर्	George Washington Carver
डयोस्कोरिडीस्	Dioscórides
मडिकेरी	Madikeri
भरतः	Bharata
इडुक्की मण्डलम्	Distrito de Idukki
वलसाड	Valsad
पुरुलियामण्डलम्	Distrito de Purulia
मरीचिका (भौतविज्ञानम्)	Espejismo
धात्री	Phyllanthus emblica
जाह्न बालियोल	Juan de Balliol
पुनर्नवा	Boerhavia diffusa
आम्रातकम्	Spondias
बलासस्यम्	Sida (planta)
बेन अमोस	Ben Amos
हीरोफिलस्	Herófilo
परमहंसयोगानन्‍दः	Paramahansa Yogananda
कबीरदासः	Kabir
अश्वघोषः	Asvaghosa
महेशभूपतिः	Mahesh Bhupathi
बालगङगाधरतिलकः	Bal Gangadhar Tilak
वि वि गिरि	Varahagiri Venkata Giri
राबर्ट २	Roberto II de Escocia
खान् अब्दुल् गफार् खान्	Khan Abdul Ghaffar Khan
गुरु गोविन्द सिंह	Gurú Gobind Singh
तुलसीदासः	Tulsidas
अनिलकपूरः	Anil Kapoor
जगदीश चन्द्र बसु	Jagdish Chandra Bose
बिन्दुसारः	Bindusara
गुलजारीलाल नन्दा	Gulzarilal Nanda
फखरुद्दीन अली अहमद	Fakhruddin Alí Ahmed
इरावती	Río Ravi
सिलवासा	Silvassa
जिरोलावो फ्राकास्टोरो	Girolamo Fracastoro
जमशेदजी टाटा	Jamsetji Tata
देवानन्दः	Dev Anand
बीजपूरफलम्	Psidium
अभिनवगुप्तः	Abhinavagupta
अश्वत्थवृक्षः	Árbol de Bodhi
कोल्लम्	Kollam
मनुस्मृतिः	Leyes de Manu
भारतरत्नम्	Bharat Ratna
घृतम्	Ghee
भारतीयसंस्कृतिः	Cultura de la India
सारनाथम्	Sarnath
राकेश शर्मा	Rakesh Sharma
मावेन् अन्तरिक्षयानम्	MAVEN
उत्पतनी	Cama elástica
मत्स्यावतारः	Matsia (dios)
वेदव्यासः	Viasa
कोटा	Kotah
मोरादाबाद्	Moradabad
भारतीयवायुसेना	Fuerza Aérea India
भीमबेट्का-शिलाश्रयाः	Abrigos rupestres de Bhimbetka
लूथर् बर्ब्याङ्क्	Luther Burbank
भरतनाट्यम्	Bharatanatyam
काजी नजरुल इसलाम	Kazi Nazrul Islam
मसानबु फ़ुकोका	Masanobu Fukuoka
जयदेव आचार्यः	Yaiádeva
मध्वाचार्यः	Madhva
गीर अभयारण्यम्	Parque nacional del Bosque de Gir
एरण्डतैलम्	Aceite de ricino
उत्तर २४ परगणामण्डलम्	Distrito de 24 Parganas norte
नोबल पुरस्कार-विजेतानां सूची	Anexo:Ganadores del Premio Nobel
पोप बेनेडिक्ट	Anexo:Pontífices Benedicto
जेम्स १	Jacobo I
औरङ्गाबाद	Aurangabad
भारतीयभूसेना	Ejército de la India
भारतीयनौसेना	Armada India
हिन्दुस्थानवैमानिकसंस्था (HAL)	Hindustan Aeronautics Limited
आदिवासिनः	Adivasi
जरनैल सिंह भिण्डरांवाले	Jarnail Singh Bhindranwale
माषः	Vigna mungo
गुरु अर्जुन दास	Gurú Arjan
अमरसिंहः	Amara Simja
रामदुर्गम्	Ramdurg
रायपुर	Raipur
एरासिस्ट्राटस्	Erasístrato
दिलीप कुमार	Dilip Kumar
राजेन्द्रकुमारः पचौरि	Rajendra K. Pachauri
एच्. डी. देवे गौडा	H. D. Deve Gowda
बङ्किमचन्द्र चट्टोपाध्याय	Bankim Chandra Chattopadhyay
मेघनाद साहा	Meghnad Saha
चक्रवर्ती राजगोपालाचारी	Chakravarti Rajagopalachari
उशीरसस्यम्	Chrysopogon zizanioides
धर्मेन्द्र	Dharmendra
बिस्मिल्ला खान	Bismillah Khan
विक्रम सेठ	Vikram Seth
अजीम प्रेमजी	Azim Premji
विकिपीडिया:वैज्ञानिक-शब्दावलिः/V	Eficiencia energética
कार्तिकेयः	Karttikeya
राजसर्षपः	Brassica nigra
मङ्गल पाण्डेय	Mangal Pandey
दुर्गा	Durga
सुश्रुतः	Súsruta
महाभाष्यम्	Majá-bhashia
गीतगोविन्दम्	Guitá Govinda
पाटना	Pataliputra
अग्निः	Agni
जेम्स २	Jacobo II
जाह्न	John
अहमदाबादमण्डलम्	Distrito de Ahmedabad
अहमदनगरमण्डलम्	Distrito de Ahmednagar
कारगिलयुद्धम्	Guerra de Kargil
शरत् चन्द्र चट्टोपाध्याय	Sharat Chandra Chattopadhyay
अजमेरमण्डलम्	Distrito de Ajmer
यवाग्रजः	Trachyspermum ammi
सुशील कोइराला	Sushil Koirala
खाद्यतैलम्	Aceite de cocina
रामनगरमण्डलम्	Distrito de Ramanagara
कारवेल्लम्	Momordica charantia
बळ्ळारीमण्डलम्	Bellary
पाटलः	Rosa (color)
उत्तरपूर्वदेहलीमण्डलम्	Distrito de Delhi noreste
कृष्णजन्माष्टमी	Janmashtami
काल्मेट् लियान् चारल्स् आल्बर्ट्	Albert Calmette
अलवरमण्डलम्	Distrito de Alwar
अमर गोपाल बोस	Amar Bose
अम्बाला	Ambala
अम्बेडकरनगरमण्डलम्	Distrito de Ambedkar Nagar
आमेर	Fuerte Amber
बीदरनगरम्	Bidar
महाबळेश्वरम्	Mahabaleshwar
सायना नेहवाल	Saina Nehwal
एनी बेसन्ट्	Annie Besant
एम् एस् सुब्बुलक्ष्मी	M. S. Subbulakshmi
माता अमृतानन्‍दमयी	Mata Amritanandamayi
1.4 वृत्तिसारूप्यमितरत्र …	Baniano
मीराबाई	Mirabai
होय्सळवंशः	Hoysala
आसनम्	Asana
भारतीयलिपयः	Alfabetos bráhmicos
विजय् अमृतराज्	Vijay Amritraj
धीरूभाई अम्बाणी	Dhirubhai Ambani
श्री श्री रविशङ्करः	Ravi Shankar (gurú)
प्रथम कुमारगुप्तः	Kumaragupta I
विनायक दामोदर सावरकर	Vinaiak Dámodar Savarkar
एडवर्ड बालियोल	Eduardo de Balliol
लवनीयम्	Annona reticulata
कूर्मावतारः	Kurmá
भारतस्य संविधानम्	Constitución de la India
चार्वाकदर्शनम्	Chárvaka
गोमतीनदी	Río Gomti
लुईस नानी	Nani (futbolista)
मानवरहितविमानम्	Vehículo aéreo no tripulado
मुहम्मद इकबाल	Muhammad Iqbal
मुद्गः	Vigna radiata
औरङ्गजेबः	Aurangzeb
आणन्दमण्डलम्	Distrito de Anand
नद्यावली विस्तारः च	Anexo:Ríos más largos del mundo
हुमायून्	Humayun
शक्तिदेवी	Deví
२०१४ एशिया क्रीडाः	Juegos Asiáticos de 2014
है हे नदी	Río Hai
हृषीकेशः	Rishikesh
अ	Vocal casi abierta central
सन्तूर् (वाद्यम्)	Santur
मानसवन्यजन्तुधाम	Parque nacional de Manas
ज्	Fricativa alveolar sonora
मणिपुरीनृत्यम्	Manipuri
एजिकील् फ्रैएर्स्	Ezekiel Fryers
दादा साहेब फाळके	Dhundiraj Govind Phalke
अकोलामण्डलम्	Distrito de Akola
गदग	Gadag-Betageri
अर्कसस्यम्	Calotropis gigantea
आजमगढ-नगरम्	Azamgarh
रीवामण्डलम्	Distrito de Rewa
दक्षिणदिनाजपुर-मण्डलम्	Distrito de Dakshin Dinajpur
सबाधधावनम्	Carreras de vallas
दक्षिणभारतम्	India del Sur
बृहदारण्यकोपनिषत्	Brijad-araniaka-upanishad
कगायान	Río Grande de Cagayán
हुगलिमण्डलम्	Distrito de Hugli
पश्चिमदेहलीमण्डलम्	Distrito de Delhi occidental
नाट्यशास्त्रम् (ग्रन्थः)	Natia-shastra
प्राचीनगोवा	Goa Vieja
बि.के.एस्. अय्यङ्गार्	B. K. S. Iyengar
दिङ्नागः	Dignāga
अनुपम खेर	Anupam Kher
लालूप्रसाद यादव	Lalu Prasad Yadav
झार्सुगुड मण्डलम्	Distrito de Jharsuguda
उशनाः	Sukrá
के.एस्.सुदर्शनजी	K. S. Sudarshan
वडोदरामण्डलम्	Distrito de Vadodara
उत्तरकन्नडमण्डलम्	Distrito de Uttara Kannada
पाटण	Patan (Guyarat)
कूर्मपुराणम्	Kurmá-purana
अलीराजपुरम्	Alirajpur
वैश्विकहस्तक्षालनदिनम्	Día Mundial del Lavado de Manos
अथणी (कर्णाटकम्)	Athani
उडुपीमण्डलम्	Udupi
अम्रोहा	Amroha
बलियामण्डलम्	Distrito de Ballia
आनॆकल्	Anekal
बदरीनाथः	Badrinath
अमरकण्टक	Amarkantak
अनूपपुरम्	Anuppur
अशोकनगरम्	Ashok Nagar
अमरेली	Amreli
एडवर्ड ८	Eduardo VIII del Reino Unido
अरोविले	Auroville
बादामी	Badami
मैसूरुमण्डलम्	Distrito de Mysore
औरङ्गाबादमण्डलम्	Distrito de Aurangabad
बुरहानपुरम्	Burhanpur
कुरुक्षेत्रम्	Kurukshetra
पन्ना	Panna
न्यायदर्शनम्	Niaia (hinduismo)
राजसमन्दमण्डलम्	Distrito de Rajsamand
सिन्धुलिपिः	Escritura del Indo
भारतीयमानकसमयः	Zona horaria de la India
मण्डला	Mandla
कुसुमकन्दरराष्ट्रियोद्यानम्	Parque nacional del Valle de las Flores
हितोपदेशः	Jitopadesa
आग्रामण्डलम्	Distrito de Agra
सोनभद्रमण्डलम्	Distrito de Sonbhadra
रमाबायीनगरमण्डलम्	Distrito de Ramabai Nagar
पश्चिमसिक्किममण्डलम्	Distrito de Sikkim occidental
धार	Dhar
सेवफलरसः	Jugo de manzana
भारतस्य राष्ट्रियग्रन्थालयः	Biblioteca Nacional de la India
श्योपुरमण्डलम्	Distrito de Sheopur
अङ्गुली	Dedos de la mano
उमरियामण्डलम्	Distrito de Umaria
होशङ्गाबादमण्डलम्	Distrito de Hoshangabad
होशङ्गाबाद	Hoshangabad
कन्नौजमण्डलम्	Distrito de Kannauj
साबरमतीनदी	Río Sabarmati
दीव	Diu
जबलपुरमण्डलम्	Distrito de Jabalpur
तुवरी	Cajanus cajan
बाराबङ्कीमण्डलम्	Distrito de Barabanki
नारिकेलजलम्	Agua de coco
कारैकलमण्डलम्	Distrito de Karaikal
माहेमण्डलम्	Distrito de Mahe
वराहपुराणम्	Varaja-purana
पाण्डीचेरीनगरम्	Puducherry (ciudad)
बालाघाट	Balaghat
बालाघाटमण्डलम्	Distrito de Balaghat
एलिफेण्टागुहाः	Grutas de Elefanta
शुङ्गवंशः	Imperio Sunga
वैशेषिकदर्शनम्	Vaisesika
चणकपिष्टम्	Harina de garbanzo
फीरोजपुर	Firozpur
कूष्माण्डम्	Benincasa hispida
रतलाम	Ratlam
श्रीरङ्गपट्टणम्	Srirangapatna
सिर्मौरमण्डलम्	Distrito de Sirmaur
स्थिरवलयलम्	Anillas
बाबरी मस्जिद	Babri Masjid
गान्धिजयन्ती	Gandhi Jayanti
खोर्धा मण्डलम्	Distrito de Khordha
वेष्ट्-इण्डीस्	Caribe (región)
देहलीविश्वविद्यालयः	Universidad de Delhi
मसूरी	Mussoorie
रागीपानीयम्	Gruel
तापीमण्डलम्	Distrito de Tapi
बून्दीमण्डलम्	Distrito de Bundi
श्रीकाकुलम्	Srikakulam
जोग जलपातः	Cataratas Jog
हेन्री ७	Enrique VII de Inglaterra
तेलङ्गाणाराज्यम्	Telangana
राष्ट्रपतिभवनम्	Rashtrapati Bhavan
श्रीमद्भागवतपुराणम्	Bhagavata-purana
पिप्पली	Piper longum
भद्रक् मण्डलम्	Distrito de Bhadrak
भरद्वाजमहर्षिः	Bharadvaya
शौचम्	Limpieza
युग्मदण्डम्	Barras paralelas
नान्देडमण्डलम्	Distrito de Nanded
