अफ़्रीका	África
थॉर हेयरडाह्ल	Thor Heyerdahl
खोज का युग	Era de los descubrimientos
हावर्ड कार्टर	Howard Carter
अनावृतबीजी	Gymnospermae
कार्बनी कल्प	Carbonífero
विलियम हेनरी ब्रैग	William Henry Bragg
दन्त-क्षय	Caries
प्लेग	Peste
माइग्रेन	Migraña
बजरी	Grava
जॉर्ज पेजेट थॉमसन	George Paget Thomson
एशमोर और कार्टियर द्वीप समूह	Islas Ashmore y Cartier
विवर्तन	Difracción (física)
प्रतिऑक्सीकारक	Antioxidante
इलूमिनाती	Iluminados de Baviera
वाईमैक्स	WiMAX
प्राथमिक चिकित्सा	Primeros auxilios
स्तंभन	Erección
हीमोफीलिया	Hemofilia
कन्या राशि	Virgo (astrología)
माइक्रोसॉफ्ट विजुअल स्टूडियो	Microsoft Visual Studio
नवाज़ शरीफ़	Nawaz Sharif
रेचल वाइज़	Rachel Weisz
जां बाप्टिस्टे पेरिन	Jean Perrin
अल जौफ़, लीबिया	Al Yauf
मेरापी पर्वत	Monte Merapi
जोसे डे सन मार्टिन	José de San Martín
संयुक्त पूँजी कम्पनी	Sociedad por acciones
मिनोआई सभ्यता	Civilización minoica
ब्यूटेन	Butano
दाँत का बुरुश	Cepillo de dientes
पोलो	Polo (deporte)
बहुशर्करा	Polisacárido
डी मोनार्किया	De Monarchia
अर्दबील प्रांत	Provincia de Ardebil
जोनास ब्रदर्स	Jonas Brothers
वर्गमूल	Raíz cuadrada
फेनूर्ड	Feyenoord Rotterdam
संयुक्त अरब अमीरात का ध्वज	Bandera de los Emiratos Árabes Unidos
बर्कीना फासो का ध्वज	Bandera de Burkina Faso
तना	Tallo
धर्म	Dharma
चित्र (पोर्ट्रेट)	Retrato
कुर्दिस्तान प्रांत (ईरान)	Provincia de Kurdistán
तुला राशि	Libra (astrología)
वॄश्चिक राशि	Escorpio (astrología)
पश्चिम अज़रबैजान प्रांत	Azerbaiyán Occidental
सिनोप	Provincia de Sinop
मर्कज़ी प्रांत	Markazí
ताओ-ते-चिंग	Dào Dé Jing
स्थलाकृति	Topografía
नाभिकीय ऊर्जा संयंत्र	Central nuclear
न्यूटन का सार्वत्रिक गुरुत्वाकर्षण का सिद्धान्त	Ley de gravitación universal
अजाक्स (प्रोग्रामिंग)	AJAX
बलख़श झील	Baljash (lago)
पोर्ट सईद	Puerto Saíd
भूटान का ध्वज	Bandera de Bután
द ब्लैक आइड पिस	The Black Eyed Peas
लिप्यन्तरण	Transliteración
तुला	Balanza
पम्प	Bomba hidráulica
टाल्क	Talco
परागण	Polinización
फ़िलीपीन्स का ध्वज	Bandera de Filipinas
एरिक एक्सेल कार्लफेल्ट	Erik Axel Karlfeldt
विसेण्टि अलेक्ज़ान्द्रे	Vicente Aleixandre
डिप्थीरिया	Difteria
नाइयासिन	Vitamina B3
जॉर्ज बूल	George Boole
मेसिना जलसन्धि	Estrecho de Mesina
मार्टिना हिंगिस	Martina Hingis
कुलीनवर्ग	Nobleza
रेशम कीट	Bombyx mori
फॉरेस्ट गंप	Forrest Gump (película)
स्तरिकी	Estratigrafía
वैश्‍लेषिक ज्यामिति	Geometría analítica
टीका (वैक्सीन)	Vacuna
फादर्स डे (पितृ दिवस)	Día del Padre
महाद्वीपीय जलसीमा	Plataforma continental
कार्बोक्सिलिक अम्ल	Ácido carboxílico
कुक्कुर खाँसी	Tos ferina
डैनी बॉयल	Danny Boyle
बोलीविया का ध्वज	Bandera de Bolivia
थाईलैंड का ध्वज	Bandera de Tailandia
उरुग्वे राष्ट्रीय फुटबॉल टीम	Selección de fútbol de Uruguay
सेनेगल का ध्वज	Bandera del Senegal
तस्मानियाई डैविल	Sarcophilus harrisii
डेविड लौय्ड जार्ज	David Lloyd George
पुखराज	Topacio
हिपोक्रीत्ज़ की शपथ	Juramento hipocrático
ग्रंथसूची	Bibliografía
युद्ध अपराध	Crimen de guerra
गैम्बिया का ध्वज	Bandera de Gambia
उष्ट्रगण	Camelidae
नुबिया	Nubia
एंटीगुआ का ध्वज	Bandera de Antigua y Barbuda
जॉन कॉर्नफोर्थ	John Cornforth
बिहारी भाषाएँ	Lenguas bihari
सप्तपर्ण	Alstonia scholaris
चारी नदी	Río Chari
गूगल अनुवाद	Google Translate
मुखजली	Drosera burmannii
उष्णकटिबन्धीय जलवायु	Clima tropical
जेड रूपान्तर	Transformada Z
जिब्राल्टर सोशल डैमोक्रैट्स	Socialdemócratas de Gibraltar
पथरचटा (खरपतवार)	Trianthema
एबीवर्ड	AbiWord
उच्च शिक्षा	Educación superior
व्यतिकरण (तरंगों का)	Interferencia
गुलबकावली	Hedychium
संक्षारण	Corrosión
हेलो ३	Halo 3
फिलाडेल्फिया सेवेंटी सिक्सर्स	Philadelphia 76ers
जुब्बा नदी	Río Juba
सेमर	Ceiba pentandra
चित्रलिपि	Ideograma
ख्मेर	Jemer
मरतबन की खाड़ी	Golfo de Martaban
नैट जियो वाइल्ड	Nat Geo Wild
रेन-इन-द-फ़ेस	Lluvia en la cara
बार्बी ऑफ़ स्वान लेक	Barbie en el lago de los cisnes
त्रिपिटक कोरिया	Tripitaka Coreana
फ़ोर्स इंडिया	Sahara Force India F1 Team
गंधराल	Colofonia
ज़ाबोल	Zabol
सॅन फ्रेन्सिस्को क्रॉनिकल	San Francisco Chronicle
ज़ाबुल प्रान्त	Provincia de Zābul
१,२५-डाईहाईड्रॉक्सीकॉलेकैल्सिफेरॉल	Calcitriol
एर्गोकैल्सिफेरॉल	Ergocalciferol
अकसूम राज्य	Reino de Aksum
फासिस्ट पार्टी	Partido Nacional Fascista
एकातेअर प्रान्त	Équateur
पानीपत	Panipat
क्विन्वा	Chenopodium quinoa
गोल्ड कोस्ट, क्वींसलैंड	Gold Coast (Australia)
2008 ग्रीष्मकालीन ओलंपिक में ग्रेट ब्रिटेन	Reino Unido en los Juegos Olímpicos de Pekín 2008
ज़ाहेदान	Zahedán
काचीन राज्य	Estado Kachin
रीडिफ.कॉम	Rediff
अंक विद्या	Numerología
भुगतान शेष	Balanza de pagos
सैमसंग गैलेक्सी एस III	Samsung Galaxy S III
ग्रहण	Eclipse
एडवर्ड बर्नेट टाइलर	Edward Burnett Tylor
एन्क्रिप्शन	Cifrado (criptografía)
समता (भौतिकी)	Paridad (física)
विटामिन ई	Vitamina E
इष्टतमकरण	Optimización (matemática)
किमची	Kimchi
शेबेल्ले नदी	Río Shebelle
रज्जुरेल	Funicular
महान इण्डोनेशिया	Indonesia Raya
टोरंटो अर्गोनाउटस	Argonautas de Toronto
ड्रॉपबॉक्स	Dropbox
इल्यूशिन आईएल-७६	Ilyushin Il-76
ऑस्ट्रेलिया राष्ट्रीय क्रिकेट टीम	Selección de críquet de Australia
अग्नि प्रक्षेपास्त्र	Agni (misil)
सूई	Aguja (costura)
पर्ल जैम	Pearl Jam
नेय्मर	Neymar
प्लवमान पिंड	Miodesopsias
पुर्तगाली तिमोर	Timor portugués
मलय-पोलेनीशियाई भाषाएँ	Lenguas malayo-polinesias
टेफ्लान	Politetrafluoroetileno
पॉलीएथिलीन	Polietileno
स्टेरॉल	Esterol
पूर्वी ग्रीनलैण्ड धारा	Corriente de Groenlandia Oriental
दंत प्रत्यारोपण	Implante dental
मधुमोम	Cera estampada
संपीडित वायु	Aire comprimido
डेलावेअर नदी	Río Delaware
नाइट्रोसेलूलोज	Nitrato de celulosa
पीरु धारा	Corriente de Humboldt
फाकलैंण्ड धारा	Corriente de las Malvinas
विपरीत विषुवतरेखीय जलधारा	Contra-Corriente Ecuatorial
दंतवल्क	Esmalte dental
दंत-लोमक	Hilo dental
शीतोष्ण शंकुधारी वन	Bosque templado de coníferas
हिस्टीरिया	Histeria
मुद्रणालय	Imprenta
हरबर्ट स्पेंसर	Herbert Spencer
तमारीन तनासुगरन	Tamarine Tanasugarn
ज़ाकिर हुसैन (संगीतकार)	Zakir Hussain
कील नहर	Canal de Kiel
सूर्यवंशी	Dinastía solar (hinduismo)
ग्रेट विक्‍टोरिया	Gran Desierto de Victoria
१९९९ फ़्रेंच ओपन टेनिस प्रतियोगिता - महिला एकल	Anexo:Torneo de Roland Garros 1999 (individual femenino)
रेज़िन	Resina
जगरनॉट	Juggernaut
अर्यमन	Aryaman
मान्छु लोग	Manchú
इतालवी प्रायद्वीप	Península itálica
दक्षिण एशियाई क्षेत्रीय सहयोग संगठन	Asociación Sudasiática para la Cooperación Regional
यूनुस (सूरा)	José (patriarca)
आईपैड मिनी	IPad Mini
हरिणपदी कुल	Convolvulaceae
ज़मींदारी प्रथा	Zamindar
अधोबिंदु	Nadir
खरबानक	Burhinidae
रैननकुलेसी	Ranunculaceae
फली (लैग्यूम)	Legumbre
एवियन सार्कोमा ल्यूकोसिस वाइरस	Virus de la leucosis aviar
रूटेसी	Rutaceae
मिस्र का अठारहवां वंश	Dinastía XVIII de Egipto
पोलिप्रोपाइलिन	Polipropileno
पिताह	Ptah
पर्यावरण इंजीनियरिंग	Ingeniería ambiental
पॉलीविनाइल क्लोराइड	Policloruro de vinilo
मकोय	Solanum nigrum
कृत्रिम रबर	Caucho estireno-butadieno
सिलिकोन	Silicona
ब्रांडी	Brandy
दण्डविधि	Derecho penal
विलायक	Disolvente
छोटी दुद्धी	Euphorbia
बैकेलाइट	Baquelita
सेलुलॉइड	Celuloide
महावृत्त	Gran círculo
ज़न्जान	Zanyán
गुरदासपुर जिला	Distrito de Gurdaspur
ज़ंजन प्रांत	Provincia de Zanyán
डलिच वुड	Dulwich
लिंगुआ फ़्रांका नोवा	Lingua Franca Nova
2008 ग्रीष्मकालीन ओलंपिक में फ्रांस	Francia en los Juegos Olímpicos de Pekín 2008
वेम्बली	Wembley
सहस्वानिकी	Alófono
उपभाषा विज्ञान	Dialectología
थोथ	Tot
अजय देवगन	Ajay Devgan
देवदार	Cedrus deodara
ज़ांस्कर	Zanskar
प्रोसायोनिडाए	Procyonidae
स्वर सहयोग	Armonía vocálica
२०१२ ग्रीष्मकालीन ओलम्पिक में भारत	India en los Juegos Olímpicos de Londres 2012
युआन मेइ	Yuan Mei
हाउ आई मेट योर मदर	How I Met Your Mother
वितरण इकाई	Surtidor de combustible
काजोल देवगन	Kajol
जादुई यथार्थवाद	Realismo mágico
शीतल पेय	Gaseosa
कूट फल	Pseudofruto
गेंदा	Tagetes
ज़रफ़शान	Zarafshon
ज़रांद	Zarand
पल्सेटिला निग्रिकेस	Pulsatilla
लीवर सिरोसिस	Cirrosis hepática
आन्ना करेनिना	Ana Karenina
कटुकी	Helleborus niger
शिरोमणि अकाली दल	Partido Akali
सुब्रह्मण्यन् चन्द्रशेखर	Subrahmanyan Chandrasekhar
एडगर राइस बरोज	Edgar Rice Burroughs
आचार्य रजनीश	Osho (Bhagwan Shri Rajnísh)
ताराघर	Planetario
ज़थुरा (फिल्म)	Zathura
जादू (भ्रमजाल/इंद्रजाल)	Ilusionismo
छुइमुइ पौधा	Mimosa pudica
कबड्डी	Kabaddi
स्पाइरोगाइरा	Spirogyra
अप्सरा	Apsará
सम्मिलन (भाषाविज्ञान)	Asimilación (lingüística)
मानव हत्या	Homicidio
गुरु दत्त	Guru Dutt
अफ़्रीका की संस्कृति	Cultura de África
उत्तर अमेरिका का इतिहास	Historia de América del Norte
ज़िला	Distrito
ईस्ट फ़िंचली	East Finchley
कॉकफ़ॉस्टर्स	Cockfosters
मिराबॅल आलू बुख़ारा	Prunus domestica var. syriaca
अफ़्रीका का इतिहास	Historia de África
संचार उपग्रह	Satélite de comunicaciones
कलन	Cálculo
अवकलन	Cálculo diferencial
जमुना नदी, बांग्लादेश	Jamuna
फ़िंचली	Finchley
बॉक्सर विद्रोह	Levantamiento de los bóxers
न्कोसाज़ना दलामिनी-ज़ुमा	Nkosazana Dlamini-Zuma
आईपैड 2	IPad 2
आईपैड (तीसरी पीढ़ी)	IPad (3.ª generación)
पेन्टेन	Pentano
हेक्सेन	Hexano
मिकोयान-गुरेविच मिग-21	Mikoyan-Gurevich MiG-21
जॉर्ज कार्लिन	George Carlin
हेप्टेन	Heptano
ऑक्टेन	Octano
एनिग्मा (मशीन)	Enigma (máquina)
तंग घाटी	Cañón (geomorfología)
द पियानिस्ट (2002 फ़िल्म)	El pianista
फ्रैंकनस्टाइन	Frankenstein o el moderno Prometeo
ज़ु अल-क़ादा	Du l-qa'da
कंप्यूटर ग्राफिक्स	Computación gráfica
अक्कदी सभ्यता	Agadé
बार्नेट बरो	Municipio de Barnet
चोल राजवंश	Dinastía Chola
आंद्रे मेलरॉक्स	André Malraux
इथिलीन	Etileno
टामस कार्लायल	Thomas Carlyle
जिमीकंद	Amorphophallus paeoniifolius
फ्रेड्रिक सैंगर	Frederick Sanger
वायु पुराण	Vaiú-purana
इजराइल-फिलिस्तीन संघर्ष	Conflicto israelí-palestino
विकिपीडिया:लेख को कैसे बदलें?	Ayuda:Cómo se edita una página
क्रीक्समरीन	Kriegsmarine
फ्रांसोवा आंगलेया	François Englert
अवधारणा	Concepto
पेटा	Personas por el Trato Ético de los Animales
काले धन को वैध बनाना (मनी लॉन्डरिंग)	Lavado de dinero
कसिनो रोयाल (२००६ फ़िल्म)	Casino Royale (película de 2006)
जोंस बर्जिलियस	Jöns Jacob Berzelius
यूरोपीय दक्षिणी वेधशाला	Observatorio Europeo Austral
माल्ट	Malta (cereal)
२००८ सिचुआन भूकंप	Terremoto de Sichuan de 2008
बायर	Bayer
यूसुफ रजा गिलानी	Yousaf Raza Gillani
डेनमार्क जलसन्धि	Estrecho de Dinamarca
दिवाला	Quiebra
हम्बोल्ट बर्लिन विश्वविद्यालय	Universidad Humboldt de Berlín
फ्रेंच फ्राइज़	Papas fritas
3753 क्रुथने	(3753) Cruithne
पाल इल्यार	Paul Éluard
ग्ली (टीवी शृंखला)	Glee
ड्रॉप्सी	Edema
टाटा नैनो	Tata Nano
मूत्रालय	Mingitorio
स्लॅटवॉक	Marcha de las Putas
नरगिस (समुद्री तूफान)	Ciclón Nargis
द्विघात इंजन	Motor de dos tiempos
आई टी आई एल	Information Technology Infrastructure Library
मोहम्मद नशीद	Mohamed Nasheed
जोआन मीरो	Joan Miró
मुंहपका-खुरपका रोग	Glosopeda
अवतार (अभिकलन)	Avatar (Internet)
एक्सा-	Exa
ज्या	Seno (trigonometría)
यूजेन (सवाय का)	Eugenio de Saboya
जेरॉक्स	Xerox
अल्वा म्यर्दल	Alva Myrdal
दोस्त भालुओं का सम्मेलन	Osos Buddy
गुन्नार म्यर्दल	Gunnar Myrdal
म्यूनिच (2005 फ़िल्म)	Múnich (película)
अति उच्च आवृति	VHF
वेनेरा 1	Venera 1
सैलिक क़ानून	Ley Sálica
शत-	Hecto
हेनरी वाड्सवर्थ लांगफेलो	Henry Wadsworth Longfellow
दश-	Deca
बिली ह्यूस	Billy Hughes
जिब्राल्टर लिबरल पार्टी	Partido Liberal de Gibraltar
एमिल नोल्डे	Emil Nolde
सूसन सानटाग	Susan Sontag
आसूस	ASUS
वोक्सवैगन बीटल	Volkswagen Tipo 1
मिग १७	Mikoyan-Gurevich MiG-17
जत्रोफा	Jatropha
न्यूज़ीलैंड में इस्लाम	Islam en Nueva Zelanda
मैक्सीमिलियन शेल	Maximilian Schell
लियोपोल्ड कैफ़े	Leopold Cafe
ज्योर्जेस चर्पाक	Georges Charpak
अजित केशकंबली	Ajita Kesakambalī
एडवर्ड विक्टर एप्पलटन	Edward Victor Appleton
जनसँख्या के आधार पर अफ्रीकी देशो की सूची	Anexo:Países de África por población
अल्बर्ट फर्ट	Albert Fert
दालाँवेयर	Jean le Rond d'Alembert
क्लैमाइडिया संक्रमण	Infecciones por clamidias
समय की पाबंदी (समयनिष्ठा)	Puntualidad
चाट	Chaat
किंग अब्दुल अज़ीज़ अन्तर्राष्ट्रीय विमानक्षेत्र	Aeropuerto Internacional Rey Abdulaziz
नेपाल के राष्ट्रपति	Presidente de Nepal
इलिनॉर ऑस्ट्रॉम	Elinor Ostrom
डॉयचे वेले	Deutsche Welle
सहस्रि-	Mili
सूक्ष्म (उपसर्ग)	Micro (prefijo)
सुंदा द्वीप समूह	Islas de la Sonda
सर्वांगसमता	Congruencia (geometría)
कैट स्टीवंस	Cat Stevens
क्रेग देविद	Craig David
मगलू	Muggle
पिको-	Pico (prefijo)
एमिल बोरेल	Émile Borel
अर्बि-	Nano (prefijo)
शीरा	Melaza
पाना	Llave (herramienta)
चिंता	Ansiedad
2000 के दशक के उत्तरार्द्ध की आर्थिक मंदी	Crisis económica de 2008-2015
लेओपोल्ड सदर सेंघोर	Léopold Sédar Senghor
लेवोन एरोनियन	Levon Aronian
कोशिका कंकाल	Citoesqueleto
जर्मनी का एकीकरण	Unificación alemana
स्वेन एंडर्स हेडिन	Sven Hedin
बंदर-ए-अब्बास	Bandar Abbás
श्रीलंका का ध्वज	Bandera de Sri Lanka
नॉर्मन बोरलॉग	Norman E. Borlaug
माइकलसन मोर्ले प्रयोग	Experimento de Michelson y Morley
हेपाटाइटिस सी	Hepatitis C
पीतज्वर	Fiebre amarilla
निकलोडियन	Nickelodeon
51826 कल्पनाचावला	(51826) Kalpanachawla
लेप्टोस्पाइरता	Leptospirosis
इमरान ख़ान	Imran Khan
मैराकाना स्टेडियम	Estadio Maracaná
मध्य साइबेरियाई पठार	Meseta central siberiana
इण्डोनेशियाई विकिपीडिया	Wikipedia en indonesio
नेशनल बास्केटबॉल असोसिएशन	National Basketball Association
वॉयजर कार्यक्रम	Voyager
इसराइल की भूमि	Tierra de Israel
जू-जान ख़ागानत	Rouran
ला फोंक्लादा	Foncalada
हॉस्पिटल दे लॉस रेयेस कातोलिकोस	Hospital de los Reyes Católicos
पौधशाला	Vivero (jardinería)
मार्क रावलोमनना	Marc Ravalomanana
मार्टिन शोंगावर	Martin Schongauer
मरमरा क्षेत्र	Región del Mármara
मील एमआई-8	Mil Mi-8
स्थितिज ऊर्जा	Energía potencial
रिचर्ड होलब्रूक	Richard Holbrooke
इच्छापत्र	Testamento
क्रिस ब्राउन	Chris Brown (cantante)
तनावशैथिल्य	Détente
इगोर वाइ टाम	Ígor Tam
रॉबर्ट ब्राउन (वनस्पतिशास्त्री)	Robert Brown
जोसेफ लिस्टर	Joseph Lister
मासातोशी कोशिबा	Masatoshi Koshiba
हिदेकी युकावा	Hideki Yukawa
लुइ नील	Louis Eugène Félix Néel
डैनिस गैबर	Dennis Gabor
यूजीन विग्नर	Eugene Paul Wigner
हांस बेथे	Hans Bethe
कनेर	Nerium oleander
साइपरेसी	Cyperaceae
चिनुआ अचेबे	Chinua Achebe
सुदर्शन कुल	Amaryllidaceae
करेल चपेक	Karel Čapek
अरण्डी	Ricinus communis
आंखों के काले घेरे	Ojeras
भारी जल	Agua pesada
बच्छनाभ	Aconitum
कंडाली	Urtica dioica
लार	Saliva
अल्मागेस्ट	Almagesto
टैबलेट कम्प्यूटर	Tableta (computadora)
आबनूस	Ébano
यूरोस्टार	Eurostar
पिपरमिंट	Mentha × piperita
माल्टा ज्वर	Brucelosis
जार्ज एफ केन्नन	George F. Kennan
आज़ाद हिन्द फ़ौज	Ejército Nacional Indio
रेसिडंट इविल: ऐक्स्टिन्क्शन	Resident Evil: extinción
जेटिक्स	Jetix
ल'ओरल	L'Oréal
युलीसेस	Ulysses (sonda espacial)
एक्स ला चैपल संधि (१७४८)	Tratado de Aquisgrán (1748)
तक्षशिला	Taxila
हैमबर्ग मास्टर्स	Torneo de Hamburgo
जठरांत्र शोथ	Gastroenteritis
अल्फाल्फा	Medicago sativa
पॉलीगोनेसी	Polygonaceae
स्वयंसेवकों का कदमताल	Yiyongjun Jinxingqu
कार्क	Quercus suber
पेंशन	Pensión
एके ७४	AK-74
एक्सॉन मोबिल	ExxonMobil
लिग्नाइट	Lignito
रसेल ए हल्से	Russell Hulse
अरस्तु का विरेचन सिद्धांत	Catarsis
मन्ना डे	Manna Dey
पृथ्वी का इतिहास	Historia de la Tierra
रोग हेतुविज्ञान	Etiología
चौलाई	Amaranthus
लता मंगेशकर	Lata Mangeshkar
सर्वपल्ली राधाकृष्णन	Sarvepalli Radhakrishnan
क्लीशे	Cliché
तालमान	Metrónomo
गणितीय भौतिकी	Física matemática
प्रतिन्यूट्रॉन	Antineutrón
रबड़	Hevea brasiliensis
फ़ैज़ाबाद, बदख़्शान	Fayzābād
एरण्ड कुल	Euphorbiaceae
नेओमी हैरिस	Naomie Harris
प्रायापिज़्म	Priapismo
मेन इन ब्लैक II	Hombres de negro II
द बॉर्न सुप्रमेसी (फ़िल्म)	The Bourne Supremacy
शून्य-संचय खेल	Juego de suma cero
पापारात्सी	Paparazzi
स्विस इंटरनेशनल एयरलाइंस	Swiss International Air Lines
मिशेल विलियम्स	Michelle Williams (actriz)
येहुदी मेनुहिन	Yehudi Menuhin
मोहम्मद रफ़ी	Mohammad Rafi
पीयूष ग्रन्थि	Hipófisis
ब्रैसिकेसी	Brassicaceae
एडवर्ड चार्ल्स पिकरिंग	Edward Charles Pickering
इंग्लिश विलो	Salix alba
सागौन	Tectona grandis
वर्बेनेसी	Verbenaceae
एपीजी-३ प्रणाली	Sistema de clasificación APG III
मॉनमाउथ	Monmouth
बोगनवेलिया	Bougainvillea
समबाहु त्रिभुज	Triángulo equilátero
पशु महामारी	Peste bovina
गेटे संस्थान	Instituto Goethe
सैमुएल हैनीमेन	Samuel Hahnemann
प्यूमा एजी (Puma AG)	Puma (marca)
लुईस माउंटबेटन, बर्मा के पहले अर्ल माउंटबेटन	Luis Mountbatten
नैशनल ज्यॉग्रैफिक चैनल	National Geographic Channel
प्रदर्शक	Monitor
गुड़हल	Hibiscus
लीबेन्सरॉम	Lebensraum
प्रोटियेसीए	Proteaceae
रॉबर्ट औमान्न	Robert Aumann
जेड पौधा	Crassula ovata
आग्या	Orobanche
शहतूत	Morus alba
पंचेन लामा	Panchen Lama
गोल्डन स्टेट वॉरियर्स	Golden State Warriors
हास्य फ़िल्म	Comedia cinematográfica
नीलक	Syringa
साख (लेखा)	Fondo de comercio
वाग्दान	Esponsales
चार्ल्स लूसियन बोनापार्ट	Charles Lucien Bonaparte
जर्मन एकता दिवस	Día de la Unidad Alemana
अटलांटिक की लड़ाई	Batalla del Atlántico
ज़ुबिन मेहता	Zubin Mehta
हेपेटाइटिस ए	Hepatitis A
गुण	Virtud
ग़बन (अपराध)	Desfalco
थुतमोस तृतीय	Tutmosis III
सेती प्रथम	Seti I
मिस्र का उन्नीसवां वंश	Dinastía XIX de Egipto
बहुवर्षीय पौधा	Planta perenne
अदनसोनिया	Adansonia
स्मेन्खरे	Semenejkara
बच	Acorus calamus
माक्स लीबरमान	Max Liebermann
गुटेनबर्ग बाइबिल	Biblia de Gutenberg
सूर्यानुवर्त	Heliotropium
चटगाँव विभाग	Chittagong (división)
किरण खेर	Kirron Kher
बिपाशा बसु	Bipasha Basu
डाटदार पुल	Puente en arco
आयशा टाकिया	Ayesha Takia
संरक्षित जैवमंडल	Reserva de la biosfera
भेड़ाघाट	Bhedaghat
ज़ागान	Żagań
ग्वालियर	Gwalior
अगुंग पर्वत	Monte Agung
रज्जु कर्षण सेतु	Puente atirantado
खट्टी मीठी घास	Oxalis acetosella
उष्णकटिबन्धीय एवं उपोष्ण आर्द्र पृथुपर्णी वन	Pluvisilva
एनोफ़िलीज़	Anopheles
बथुआ	Chenopodium album
रैफ्लेशिया	Rafflesia
जंगली जई	Avena fatua
अफ़ग़ानिस्तान के प्रांत	Provincias de Afganistán
समकोण त्रिभुज	Triángulo rectángulo
कपूर	Cinnamomum camphora
गोरखचिंच	Adansonia digitata
जूही चावला	Juhi Chawla
राज़क	Humulus
सैन्य अभियान्त्रिकी	Ingeniería militar
टीनेज म्यूटेंट निंजा टर्टल्स (२००३ टीवी श्रृंखला)	Las Tortugas Ninja (2003)
प्रियंका चोपड़ा	Priyanka Chopra
अपकृत्य	Responsabilidad extracontractual
डायनथस कैरीओफ़िलस	Dianthus caryophyllus
द रीडर (फिल्म)	The Reader
विद्या बालन	Vidya Balan
नर्गिस	Nargis Dutt
बरसीम	Trifolium alexandrinum
दीपिका पादुकोण	Deepika Padukone
आयाम	Amplitud (física)
एल्काइन	Alquino
दिष्ट धारा	Corriente continua
जान कांस्टेबल	John Constable
परपोषी	Nutrición heterótrofa
.com	.com
मानक विचलन	Desviación típica
भूराजनीति	Geopolítica
राथ्सचाइल्ड वंश	Familia Rothschild
रेडियो संग्राही	Radio (receptor)
शीतनिष्क्रियता	Hibernación
बचत खाता (सेविंग्स अकाउंट)	Cuenta de ahorro
३एम	3M
कमरख	Averrhoa carambola
समाजवादी इंटरनेशनल	Internacional Socialista
खाद्य शृंखला	Cadena trófica
अजमान	Ajmán (emirato)
माउज़र पिस्तौल	Mauser C96
पान	Piper betle
षड्यन्त्र का सिद्धान्त	Teoría conspirativa
सोमालिया का ध्वज	Bandera de Somalia
योहानेस विल्हेल्म जेन्सेन	Johannes Vilhelm Jensen
निश्चेतनता	Coma (medicina)
जेट ली	Jet Li
उत्पाद कर	Impuestos especiales
दूरस्थ शिक्षा	Educación a distancia
अन्नपूर्णा १	Annapurna
जोज़ेफ़ प्रीस्टलि	Joseph Priestley
निरपेक्ष कांतिमान	Magnitud absoluta
क्रुप	Krupp
हेक्टर	Héctor
उपनदी	Afluente
सिट्रिक अम्ल	Ácido cítrico
कांचबिंदु	Glaucoma
फीता कृमि	Cestoda
सैन एंटोनियो स्पर्स	San Antonio Spurs
मुख्तारनामा	Contrato de mandato
नेपाल का ध्वज	Bandera de Nepal
मोनाको का ध्वज	Bandera de Mónaco
मौनालोआ	Mauna Loa
डच इस्ट इंडिया कंपनी	Compañía Neerlandesa de las Indias Orientales
कापुचीनो	Capuchino (gastronomía)
ईसवी	Anno Dómini
सिंह राशि	Leo (astrología)
पैरामाउंट पिक्चर्स	Paramount Pictures
कैम्प नोऊ	Camp Nou
मोरोक्को का ध्वज	Bandera de Marruecos
रैम्बो (फ़िल्म)	Rambo (película)
कैमेरून का ध्वज	Bandera de Camerún
स्टेडियो ऑलिम्पिको	Estadio Olímpico de Roma
अटलांटा हॉक्स	Atlanta Hawks
डोवर जलसन्धि	Paso de Calais
हिप्पारकस	Hiparco de Nicea
रूस-जापान युद्ध	Guerra ruso-japonesa
ज्वालामुख-कुण्ड	Caldera volcánica
अक्षर कला	Tipografía
जुड़वां	Gemelos (biología)
ज़िंबाब्वे का ध्वज	Bandera de Zimbabue
लहरबाज़ी	Surf
चतुष्फलकी	Tetraedro
संयुक्त राष्ट्र के सदस्य राष्ट्र	Anexo:Estados miembros de las Naciones Unidas
छाया	Sombra
अर्थमिति	Econometría
मैग्लेव ट्रेन	Tren de levitación magnética
द किंग्स स्पीच	El discurso del rey
तृण	Paja
ट्वाइलाइट (2008 फ़िल्म)	Crepúsculo (película de 2008)
मैन बुकर पुरस्कार	Premio Booker
सिनकोना	Cinchona
मैदान (भूगोल)	Llanura
सर्वाइकल कैंसर	Cáncer cervical
प्रादो अजायबघर	Museo del Prado
दलाल	Bróker
रजनीगन्धा	Polianthes tuberosa
तजिकिस्तान का ध्वज	Bandera de Tayikistán
बॉलपेन	Bolígrafo
आन (रूसी सम्राज्ञी)	Ana de Rusia
शैर्बूर	Cherburgo-Octeville
शूमाँ घोषणा-पत्र	Declaración Schuman
राम	Rama (dios indio)
स्टैफ़िनी मेईर	Stephenie Meyer
घृणा	Odio
बोत्स्वाना का ध्वज	Bandera de Botsuana
दक्षिण अफ्रीका का ध्वज	Bandera de Sudáfrica
पेरु का ध्वज	Bandera del Perú
न्यूज़ीलैंड का ध्वज	Bandera de Nueva Zelanda
डेविड रिकार्डो	David Ricardo
दम्माम	Dammam
संवहन	Convección
थिओफ्रेस्टस	Teofrasto
पोप कॅलिक्स्टस तृतीय	Calixto III
क्रिस्टलकी	Cristalografía
बोध	Percepción
